Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Brad Close,17,24,8,13.88,1.06,0.29,1.0,53,6,0,59,29
Brandan Parfitt,5,14,5,10.8,0.2,0.0,0.8,0,0,0,20,0
Cameron Guthrie,6,28,15,22.33,0.0,0.0,0.67,100,83,33,0,0
Cooper Whyte,1,1,1,1.0,0.0,0.0,0.0,0,0,0,0,0
Esava Ratugolea,13,14,4,9.38,0.0,0.0,0.62,0,0,0,0,0
Gary Rohan,12,16,5,8.92,1.5,0.58,0.58,8,0,0,92,42
Gryan Miers,18,32,10,19.44,0.22,0.56,0.72,83,44,22,22,0
Isaac Smith,17,27,17,21.0,0.41,0.65,0.41,100,65,6,35,6
Jack Bowes,12,25,3,15.08,0.25,0.42,0.58,50,42,8,25,0
Jack Henry,9,16,8,11.78,0.44,0.0,0.78,11,0,0,33,11
Jake Kolodjashnij,14,17,7,12.21,0.0,0.14,0.43,29,0,0,0,0
Jed Bews,13,15,2,10.15,0.0,0.08,0.15,8,0,0,0,0
Jeremy Cameron,16,25,0,16.0,2.69,1.44,0.94,75,31,6,88,69
Jhye Clark,1,6,6,6.0,0.0,0.0,0.0,0,0,0,0,0
Jonathon Ceglar,6,17,7,12.67,0.0,0.0,1.0,17,0,0,0,0
Mark Blicavs,18,22,9,16.44,0.67,0.39,1.17,83,6,0,56,11
Max Holmes,16,33,8,19.81,0.31,0.19,1.12,88,50,19,31,0
Mitch Duncan,12,31,14,21.92,0.25,0.33,0.5,92,75,33,25,0
Mitchell Knevitt,7,17,3,12.43,0.29,0.29,0.57,57,0,0,29,0
Oisin Mullin,5,15,1,7.8,0.0,0.2,0.2,20,0,0,0,0
Oliver Henry,17,17,5,10.71,1.65,1.06,0.88,18,0,0,94,59
Oliver Dempsey,4,11,3,5.75,0.0,0.75,0.25,0,0,0,0,0
Patrick Dangerfield,13,31,15,21.23,0.62,0.46,1.38,100,54,31,54,8
Rhys Stanley,9,16,9,11.44,0.0,0.11,1.56,22,0,0,0,0
Sam De Koning,14,15,7,11.14,0.0,0.0,0.5,14,0,0,0,0
Sam Simpson,6,14,2,9.17,1.17,0.5,0.33,0,0,0,67,50
Tanner Bruhn,15,22,10,15.53,0.53,0.07,0.67,60,7,0,40,13
Tom Stewart,17,31,3,22.47,0.06,0.0,0.94,94,76,41,6,0
Tom Atkins,18,28,12,18.17,0.11,0.06,1.33,78,33,11,11,0
Tom Hawkins,18,16,5,11.28,2.5,1.33,0.5,17,0,0,89,67
Tyson Stengle,14,17,6,11.43,1.5,0.36,0.64,29,0,0,79,43
Zach Guthrie,18,26,10,15.78,0.06,0.06,0.44,50,17,6,6,0
Zach Tuohy,16,28,11,17.88,0.31,0.44,0.5,81,25,6,25,6
