Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Brandon Starcevich,18,20,4,11.39,0.06,0.0,0.78,22,6,0,6,0
Callum Ah Chee,4,23,0,9.5,0.5,0.5,0.25,25,25,0,50,0
Cam Rayner,18,21,8,14.39,0.89,0.61,0.72,44,11,0,61,17
Charlie Cameron,18,15,6,9.89,2.22,0.83,0.72,6,0,0,78,61
Conor McKenna,18,23,14,16.89,0.33,0.22,0.33,78,17,0,33,0
Daniel Rich,7,27,13,19.57,0.29,0.0,0.86,57,57,29,29,0
Darcy Fort,6,13,2,7.83,0.17,0.5,0.5,0,0,0,17,0
Darcy Gardiner,2,8,6,7.0,0.0,0.0,1.5,0,0,0,0,0
Darcy Wilmot,18,23,8,14.83,0.22,0.22,0.83,61,17,0,22,0
Dayne Zorko,12,25,13,18.58,0.42,0.58,0.67,92,33,8,33,8
Deven Robertson,9,19,1,8.67,0.11,0.22,0.67,33,0,0,11,0
Eric Hipwood,18,15,3,9.33,1.83,1.0,0.61,6,0,0,89,61
Harris Andrews,18,22,5,14.78,0.0,0.0,1.0,50,22,0,0,0
Harry Sharp,3,17,10,13.33,0.67,0.0,0.67,33,0,0,67,0
Hugh McCluggage,17,34,13,22.18,0.29,0.53,0.76,94,76,29,24,6
Jack Gunston,14,20,5,10.86,1.43,0.86,0.57,21,7,0,57,43
Jack Payne,17,15,4,10.53,0.0,0.0,0.53,12,0,0,0,0
James Madden,2,7,0,3.5,0.0,0.0,0.5,0,0,0,0,0
James Tunstill,1,7,7,7.0,0.0,0.0,0.0,0,0,0,0,0
Jarrod Berry,17,29,8,16.29,0.53,0.24,0.65,76,18,6,41,12
Jarryd Lyons,5,29,2,12.8,0.2,0.0,0.6,40,20,20,20,0
Jaspa Fletcher,6,19,10,14.33,0.5,0.67,0.0,33,0,0,50,0
Jaxon Prior,3,12,2,6.67,0.33,0.33,0.33,0,0,0,33,0
Joe Daniher,18,24,7,15.17,2.39,1.44,1.06,61,17,0,83,72
Josh Dunkley,16,33,19,25.62,0.12,0.25,2.0,100,94,69,12,0
Kai Lohmann,4,14,2,6.75,0.0,0.5,0.0,0,0,0,0,0
Keidean Coleman,17,23,6,15.82,0.06,0.12,0.82,59,24,0,6,0
Lachie Neale,18,37,19,28.06,0.17,0.5,1.61,100,94,72,11,6
Lincoln McCarthy,17,18,8,11.59,1.06,0.41,0.65,18,0,0,65,29
Noah Answerth,4,16,4,8.0,0.0,0.0,0.75,25,0,0,0,0
Oscar McInerney,18,18,8,12.28,0.33,0.28,0.94,17,0,0,33,0
Ryan Lester,11,19,9,13.18,0.0,0.09,0.82,27,0,0,0,0
Will Ashcroft,18,31,13,22.11,0.44,0.33,1.06,89,61,39,39,6
Zac Bailey,17,26,10,17.0,1.29,0.82,0.65,65,24,12,71,47
