Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Davies,4,20,9,13.67,0.0,0.0,1.0,33,33,0,0,0
Alex Sexton,12,20,11,15.33,0.33,0.33,0.33,67,33,0,33,0
Bailey Humphrey,16,13,6,10.33,1.0,0.67,0.0,0,0,0,67,33
Ben Ainsworth,17,28,9,17.67,1.33,0.67,0.0,67,33,33,100,33
Ben King,17,10,6,8.0,1.0,2.0,1.0,0,0,0,67,33
Ben Long,12,11,7,9.33,1.33,2.0,0.0,0,0,0,100,33
Bodhi Uwland,16,16,15,15.33,0.0,0.33,1.33,100,0,0,0,0
Brandon Ellis,4,15,7,10.0,0.33,0.67,0.33,33,0,0,33,0
Brayden Fiorini,11,18,14,16.0,0.0,0.0,0.0,67,0,0,0,0
Charlie Ballard,18,13,9,11.0,0.0,0.0,0.0,0,0,0,0,0
Connor Budarick,5,18,10,14.67,0.0,0.0,0.67,67,0,0,0,0
Darcy Macpherson,2,2,1,1.5,0.0,0.0,0.0,0,0,0,0,0
David Swallow,16,28,5,14.33,0.0,0.33,0.33,33,33,33,0,0
Ethan Read ,4,5,4,4.33,0.67,0.0,0.67,0,0,0,33,33
Jack Lukosius,18,13,6,9.67,1.67,0.0,0.33,0,0,0,100,67
Jake Rogers,6,14,2,7.33,0.33,0.0,0.33,0,0,0,33,0
Jarrod Witts,11,19,13,15.33,0.33,0.0,1.0,33,0,0,33,0
Jed Walter,12,6,1,4.0,0.0,0.67,0.67,0,0,0,0,0
Joel Jeffrey,10,20,7,14.33,0.0,0.33,0.33,67,33,0,0,0
Lachie Weller,1,16,16,16.0,1.0,2.0,1.0,100,0,0,100,0
Levi Casboult,3,10,8,9.0,0.0,0.33,1.0,0,0,0,0,0
Lloyd Johnston,5,11,6,9.0,0.67,0.67,1.0,0,0,0,67,0
Mac Andrew,15,16,10,13.33,0.33,0.0,1.33,33,0,0,33,0
Malcolm Rosas,5,11,3,8.33,1.67,0.67,1.33,0,0,0,100,67
Matt Rowell,18,24,16,20.0,0.0,0.67,0.67,100,67,0,0,0
Ned Moyle,7,18,14,16.0,0.0,0.0,2.67,67,0,0,0,0
Nick Holman,16,16,9,13.67,0.0,0.33,0.67,67,0,0,0,0
Noah Anderson,18,30,27,28.67,0.67,0.33,1.33,100,100,100,67,0
Rory Atkins,3,20,8,12.33,0.0,0.33,0.0,33,33,0,0,0
Sam Clohesy,15,16,10,13.67,0.0,0.0,1.33,67,0,0,0,0
Sam Day,5,12,8,10.33,2.0,0.67,0.0,0,0,0,100,67
Sam Flanders,17,43,27,33.33,0.67,0.0,1.67,100,100,100,67,0
Sam Collins,18,15,10,11.67,0.0,0.0,1.0,33,0,0,0,0
Thomas Berry,16,13,7,10.0,0.0,0.0,0.67,0,0,0,0,0
Touk Miller,16,33,14,26.0,0.0,0.67,0.67,67,67,67,0,0
Wil Powell,13,21,15,18.33,0.67,0.33,0.67,100,33,0,67,0
Will Graham,12,15,1,7.0,0.33,0.0,0.33,33,0,0,33,0
