Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Noah Anderson,20,29/07/2023,Lions,Win 96-55,29,1,1
2023,Noah Anderson,10,20/05/2023,Lions,Loss 64-107,19,0,0
2022,Noah Anderson,19,23/07/2022,Lions,Loss 93-110,31,0,0
2022,Noah Anderson,6,24/04/2022,Lions,Loss 80-132,33,0,2
2021,Noah Anderson,19,24/07/2021,Lions,Loss 71-120,15,0,1
2021,Noah Anderson,9,15/05/2021,Lions,Loss 51-124,26,0,0
2023,Touk Miller,20,29/07/2023,Lions,Win 96-55,29,0,0
2022,Touk Miller,19,23/07/2022,Lions,Loss 93-110,34,0,0
2022,Touk Miller,6,24/04/2022,Lions,Loss 80-132,26,1,0
2021,Touk Miller,19,24/07/2021,Lions,Loss 71-120,32,0,2
2023,Matt Rowell,20,29/07/2023,Lions,Win 96-55,19,1,0
2023,Matt Rowell,10,20/05/2023,Lions,Loss 64-107,18,0,1
2022,Matt Rowell,19,23/07/2022,Lions,Loss 93-110,21,0,1
2022,Matt Rowell,6,24/04/2022,Lions,Loss 80-132,24,0,2
2021,Matt Rowell,19,24/07/2021,Lions,Loss 71-120,14,1,0
2023,Jarrod Witts,20,29/07/2023,Lions,Win 96-55,14,0,0
2023,Jarrod Witts,10,20/05/2023,Lions,Loss 64-107,7,0,0
2022,Jarrod Witts,19,23/07/2022,Lions,Loss 93-110,14,0,0
2022,Jarrod Witts,6,24/04/2022,Lions,Loss 80-132,9,0,0
2023,Sam Flanders,20,29/07/2023,Lions,Win 96-55,32,0,0
2022,Sam Flanders,19,23/07/2022,Lions,Loss 93-110,11,0,0
2021,Sam Flanders,19,24/07/2021,Lions,Loss 71-120,12,0,0
2021,Sam Flanders,9,15/05/2021,Lions,Loss 51-124,16,1,0
2022,Lachie Weller,6,24/04/2022,Lions,Loss 80-132,19,0,0
2021,Lachie Weller,9,15/05/2021,Lions,Loss 51-124,20,0,0
2023,Wil Powell,20,29/07/2023,Lions,Win 96-55,28,0,0
2023,Wil Powell,10,20/05/2023,Lions,Loss 64-107,19,0,0
2022,Wil Powell,6,24/04/2022,Lions,Loss 80-132,6,0,0
2021,Wil Powell,19,24/07/2021,Lions,Loss 71-120,22,0,0
2021,Wil Powell,9,15/05/2021,Lions,Loss 51-124,9,0,0
2023,Darcy Macpherson,20,29/07/2023,Lions,Win 96-55,15,1,0
2023,Darcy Macpherson,10,20/05/2023,Lions,Loss 64-107,20,0,0
