Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Davies,4,20,9,14.5,0.0,0.25,1.5,50,25,0,0,0
Alex Sexton,12,32,11,20.75,0.17,0.17,0.58,83,58,25,17,0
Bailey Humphrey,16,16,3,10.25,0.81,0.94,0.69,19,0,0,50,12
Ben Ainsworth,17,28,8,15.59,0.94,0.53,0.35,59,18,6,71,24
Ben King,17,11,3,7.94,2.65,1.12,1.24,0,0,0,88,82
Ben Long,12,15,3,9.83,1.58,1.0,0.67,8,0,0,92,50
Bodhi Uwland,16,23,6,14.38,0.0,0.12,0.62,62,12,0,0,0
Brandon Ellis,4,15,7,10.5,0.25,0.5,0.25,25,0,0,25,0
Brayden Fiorini,11,27,14,19.36,0.45,0.27,0.27,82,45,9,36,9
Charlie Ballard,18,23,9,12.22,0.0,0.0,0.5,11,6,0,0,0
Connor Budarick,5,21,7,14.4,0.0,0.0,0.6,60,20,0,0,0
Darcy Macpherson,2,2,1,1.5,0.0,0.0,0.0,0,0,0,0,0
David Swallow,16,28,2,10.56,0.56,0.06,0.31,19,6,6,31,19
Ethan Read ,4,5,4,4.5,0.75,0.25,0.5,0,0,0,50,25
Jack Lukosius,18,22,6,13.22,1.17,0.83,0.67,33,11,0,56,39
Jake Rogers,6,22,2,9.5,0.33,0.0,0.17,17,17,0,33,0
Jarrod Witts,11,19,6,13.91,0.27,0.18,1.91,36,0,0,27,0
Jed Walter,12,11,1,5.5,0.75,1.0,1.0,0,0,0,50,25
Joel Jeffrey,10,29,7,17.4,0.1,0.1,0.1,70,50,10,10,0
Lachie Weller,1,16,16,16.0,1.0,2.0,1.0,100,0,0,100,0
Levi Casboult,3,10,8,9.0,0.0,0.33,1.0,0,0,0,0,0
Lloyd Johnston,5,14,6,9.8,0.6,0.6,1.0,0,0,0,60,0
Mac Andrew,15,25,8,15.67,0.07,0.07,1.33,53,20,7,7,0
Malcolm Rosas,5,13,3,8.6,2.0,1.2,1.0,0,0,0,100,80
Matt Rowell,18,35,15,22.78,0.39,0.17,2.17,100,72,33,33,6
Ned Moyle,7,18,9,14.86,0.14,0.0,1.57,57,0,0,14,0
Nick Holman,16,17,6,10.31,0.44,0.62,0.31,19,0,0,31,12
Noah Anderson,18,42,18,29.06,0.61,0.33,1.33,100,94,72,50,11
Rory Atkins,3,20,8,12.33,0.0,0.33,0.0,33,33,0,0,0
Sam Clohesy,15,23,10,15.8,0.4,0.0,0.67,60,13,0,27,13
Sam Day,5,12,7,9.0,2.0,0.8,0.2,0,0,0,100,60
Sam Flanders,17,43,22,31.94,0.24,0.12,1.35,100,100,94,24,0
Sam Collins,18,18,9,13.06,0.0,0.0,0.89,33,0,0,0,0
Thomas Berry,16,22,6,11.88,0.19,0.31,1.19,25,12,0,19,0
Touk Miller,16,33,14,25.94,0.25,0.38,1.31,88,88,69,25,0
Wil Powell,13,28,13,19.0,0.15,0.15,0.85,85,46,8,15,0
Will Graham,12,22,1,11.92,0.33,0.17,1.25,25,8,0,33,0
