Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Bailey Macdonald,1,10,10,10.0,0.0,0.0,1.0,0,0,0,0,0
Blake Hardwick,18,38,12,21.4,0.0,0.0,0.4,80,40,40,0,0
Cam Mackenzie,12,22,12,15.2,0.4,0.4,0.2,40,20,0,20,20
Chad Wingard,11,18,8,15.4,1.0,0.6,0.4,80,0,0,40,40
Changkuoth Jiath,8,21,11,15.8,0.0,0.0,1.0,80,20,0,0,0
Connor Macdonald,16,27,13,18.6,0.6,0.8,0.8,80,40,20,60,0
Conor Nash,18,32,18,23.8,0.0,0.2,0.6,100,60,40,0,0
Denver Grainger Barras,5,9,0,4.4,0.4,0.0,0.6,0,0,0,40,0
Dylan Moore,18,27,13,17.6,0.6,0.2,0.8,80,20,20,60,0
Fergus Greene,11,11,4,7.2,0.8,0.8,0.6,0,0,0,40,40
Finn Maginness,8,19,5,11.4,0.2,0.4,0.4,40,0,0,20,0
Harry Morrison,9,24,4,17.2,0.0,0.2,0.0,80,40,0,0,0
Jack Scrimshaw,12,31,13,20.4,0.0,0.0,0.2,80,40,20,0,0
Jacob Koschitzke,8,10,6,7.4,1.2,1.0,0.8,0,0,0,60,40
Jai Newcombe,18,33,20,26.4,0.2,0.2,2.2,100,100,60,20,0
James Blanck,10,11,3,6.6,0.0,0.0,0.4,0,0,0,0,0
James Sicily,14,43,17,30.0,0.0,0.2,1.6,100,80,80,0,0
James Worpel,18,32,24,27.4,0.6,0.8,1.4,100,100,80,60,0
Jarman Impey,17,29,7,20.6,0.2,0.4,1.0,80,60,40,20,0
Josh Ward,11,28,15,22.2,0.4,0.0,0.8,100,80,40,20,20
Josh Weddle,12,23,10,16.8,0.0,0.0,0.4,60,40,0,0,0
Karl Amon,18,33,18,24.8,0.2,0.0,0.6,100,60,60,20,0
Lachlan Bramble,10,24,14,19.4,0.2,0.6,0.0,80,60,0,20,0
Lloyd Meek,14,14,2,7.4,0.2,0.0,0.6,0,0,0,20,0
Luke Breust,16,11,7,9.0,2.0,0.6,0.6,0,0,0,100,80
Max Lynch,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Max Ramsden,1,6,6,6.0,0.0,0.0,0.0,0,0,0,0,0
Mitch Lewis,12,15,9,11.6,2.2,0.8,1.2,20,0,0,80,80
Ned Long,3,10,3,7.33,0.33,0.33,0.0,0,0,0,33,0
Ned Reeves,17,10,5,8.0,0.0,0.0,1.4,0,0,0,0,0
Sam Frost,17,14,7,9.4,0.0,0.0,0.4,0,0,0,0,0
Seamus Mitchell,12,24,15,19.4,0.0,0.0,0.2,100,60,0,0,0
Tyler Brockman,14,17,9,11.8,0.6,0.8,0.6,20,0,0,40,20
Will Day,16,29,18,25.4,0.0,0.6,1.4,100,80,80,0,0
