Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Anthony Caminiti,15,13,8,10.67,0.67,0.33,0.33,0,0,0,67,0
Ben Paton,12,19,7,13.33,0.0,0.0,0.0,33,0,0,0,0
Brad Crouch,18,28,26,27.0,0.0,0.67,0.33,100,100,100,0,0
Bradley Hill,17,20,4,13.33,0.0,0.0,0.0,67,33,0,0,0
Callum Wilkie,18,23,21,22.0,0.0,0.0,0.33,100,100,0,0,0
Cooper Sharman,10,13,8,10.67,1.67,0.33,1.33,0,0,0,100,33
Dan Butler,18,13,8,9.67,0.0,0.0,1.0,0,0,0,0,0
Dougal Howard,18,17,7,10.67,0.0,0.0,0.67,33,0,0,0,0
Hunter Clark,13,14,1,9.0,0.0,0.0,0.67,0,0,0,0,0
Jack Billings,2,18,12,15.0,0.5,1.5,0.5,50,0,0,50,0
Jack Bytel,6,12,4,7.67,0.0,0.33,0.0,0,0,0,0,0
Jack Higgins,16,13,9,11.0,1.33,2.67,1.33,0,0,0,100,33
Jack Peris,1,13,13,13.0,0.0,0.0,1.0,0,0,0,0,0
Jack Sinclair,18,33,23,28.33,0.33,0.33,0.33,100,100,67,33,0
Jack Steele,15,33,22,28.67,0.67,0.0,1.67,100,100,67,67,0
Jade Gresham,17,24,11,18.33,1.0,0.33,0.67,67,67,0,67,33
Jimmy Webster,11,20,15,17.33,0.0,0.0,0.33,100,33,0,0,0
Josh Battle,17,17,1,11.33,0.0,0.0,0.33,67,0,0,0,0
Marcus Windhager,13,30,19,25.33,0.0,0.33,1.33,100,67,67,0,0
Mason Wood,18,25,14,20.0,0.67,1.0,2.0,67,67,33,67,0
Mattaes Phillipou,18,15,7,12.33,0.33,0.67,1.0,67,0,0,33,0
Mitch Owens,17,17,13,14.67,1.33,0.67,2.0,33,0,0,67,67
Nasiah Wanganeen Milera,18,33,23,28.0,0.0,0.0,0.67,100,100,67,0,0
Rowan Marshall,18,30,19,22.67,0.67,0.33,2.0,100,33,33,67,0
Ryan Byrnes,17,18,12,15.0,0.0,0.0,0.33,67,0,0,0,0
Sebastian Ross,14,25,2,14.33,0.0,0.0,0.0,67,33,33,0,0
Tim Membrey,4,12,9,10.67,0.67,1.0,0.33,0,0,0,67,0
Zaine Cordy,8,7,1,3.33,0.67,0.0,0.0,0,0,0,67,0
Zak Jones,3,21,17,19.33,0.0,0.67,0.67,100,67,0,0,0
