Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Cadman,16,9,4,6.4,1.0,0.6,0.4,0,0,0,80,20
Brent Daniels,17,29,14,19.0,0.6,0.6,1.0,80,20,20,40,20
Callan Ward,13,30,13,20.6,1.6,0.0,1.2,80,40,20,80,80
Callum M. Brown,12,13,2,7.0,0.8,0.2,0.2,0,0,0,40,40
Connor Idun,18,27,20,23.0,0.0,0.0,0.2,100,100,20,0,0
Conor Stone,2,5,3,4.0,0.5,0.0,1.0,0,0,0,50,0
Darcy Jones,7,18,3,11.2,0.8,0.2,0.0,40,0,0,80,0
Finn Callaghan,17,27,21,23.2,0.0,0.2,1.2,100,100,20,0,0
Harry Himmelberg,18,22,17,20.0,0.0,0.2,0.8,100,80,0,0,0
Harry Perryman,14,26,11,19.4,0.2,0.0,0.0,80,60,20,20,0
Harvey Thomas,18,17,9,14.0,0.8,0.0,0.4,60,0,0,80,0
Isaac Cumming,4,19,6,13.0,0.75,0.0,0.25,25,0,0,50,25
Jack Buckley,16,23,11,14.6,0.0,0.0,0.6,20,20,0,0,0
Jacob Wehr,11,15,10,12.4,0.0,0.0,1.2,20,0,0,0,0
Jake Riccardi,18,18,8,11.0,1.4,0.6,0.0,20,0,0,100,40
James Peatling,12,18,2,10.0,0.2,0.0,1.4,40,0,0,20,0
Jesse Hogan,18,15,7,10.2,3.2,0.2,1.4,20,0,0,100,80
Josh Kelly,12,27,21,23.8,1.0,0.4,0.6,100,100,20,80,20
Kieren Briggs,18,22,13,15.4,0.2,0.8,0.8,40,20,0,20,0
Lachie Whitfield,18,41,25,34.2,0.0,0.0,0.6,100,100,100,0,0
Lachie Ash,13,26,20,22.2,0.0,0.0,0.2,100,100,20,0,0
Leek Aleer,8,16,6,10.2,0.0,0.0,1.2,20,0,0,0,0
Max Gruzewski,2,4,2,3.0,1.0,0.0,0.5,0,0,0,50,50
Nick Haynes,7,25,14,18.8,0.0,0.2,0.6,80,40,20,0,0
Ryan Angwin,4,19,4,12.5,0.25,0.5,1.0,50,0,0,25,0
Sam Taylor,11,16,7,12.6,0.0,0.0,0.6,40,0,0,0,0
Stephen Coniglio,11,28,12,19.4,0.2,0.4,0.8,80,40,20,20,0
Toby Bedford,18,18,11,14.6,0.4,0.2,0.8,60,0,0,40,0
Toby Greene,17,18,12,15.4,2.4,0.8,0.8,60,0,0,100,80
Toby McMullin,9,16,5,9.2,0.6,0.0,0.6,20,0,0,60,0
Tom Green,18,38,33,35.4,0.2,0.0,0.2,100,100,100,20,0
Xavier O'Halloran,13,15,9,12.2,1.0,0.8,0.6,20,0,0,40,20
