Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Adam Tomlinson,5,25,8,15.2,0.0,0.0,1.0,40,20,20,0,0
Alex Neal-Bullen,18,27,13,18.89,0.39,0.28,1.0,94,39,11,28,11
Andy Moniz-Wakefield,4,16,10,13.25,0.0,0.0,0.5,50,0,0,0,0
Bailey Laurie,4,14,1,7.0,0.5,0.0,0.25,0,0,0,25,25
Bayley Fritsch,18,17,5,9.28,1.94,1.11,0.72,6,0,0,78,61
Ben Brown,6,9,3,6.17,1.17,0.67,0.5,0,0,0,67,33
Blake Howes,12,17,7,12.75,0.0,0.08,0.92,42,0,0,0,0
Caleb Windsor,18,25,8,14.94,0.44,0.22,0.56,56,11,6,44,0
Charlie Spargo,1,12,12,12.0,0.0,1.0,1.0,0,0,0,0,0
Christian Petracca,13,29,13,23.38,1.08,0.92,0.69,92,92,38,69,15
Christian Salem,14,32,2,18.79,0.07,0.07,0.43,71,57,29,7,0
Clayton Oliver,18,35,14,23.5,0.17,0.22,0.89,89,67,50,17,0
Daniel Turner,10,13,5,8.1,1.2,0.3,0.4,0,0,0,70,30
Ed Langdon,17,31,12,19.59,0.35,0.53,0.53,88,41,12,35,0
Harrison Petty,15,15,2,8.47,0.33,0.87,0.67,13,0,0,33,0
Jack Billings,12,23,2,14.67,0.25,0.5,0.75,58,25,0,25,0
Jack Viney,18,30,14,21.28,0.39,0.11,1.61,94,61,17,28,11
Jacob van Rooyen,16,17,4,10.56,1.56,0.81,1.06,6,0,0,81,44
Jake Bowey,10,22,12,15.2,0.0,0.1,0.4,50,10,0,0,0
Jake Lever,14,26,1,13.86,0.07,0.0,0.86,50,14,7,7,0
Jake Melksham,3,12,9,10.33,1.67,0.67,0.33,0,0,0,100,67
Josh Schache,1,4,4,4.0,0.0,2.0,1.0,0,0,0,0,0
Judd McVee,18,23,10,17.06,0.0,0.06,0.61,61,44,0,0,0
Kade Chandler,18,20,6,11.89,0.83,0.39,0.56,22,6,0,61,17
Koltyn Tholstrup,6,16,6,10.83,0.33,0.5,0.67,17,0,0,17,17
Kynan Brown,2,2,1,1.5,0.0,0.0,0.5,0,0,0,0,0
Kysaiah Pickett,16,20,6,13.12,1.69,1.19,0.5,31,6,0,88,56
Lachie Hunter,2,20,7,13.5,0.5,0.0,0.0,50,50,0,50,0
Marty Hore,3,14,7,11.0,0.0,0.0,0.0,0,0,0,0,0
Max Gawn,16,27,9,19.0,0.56,0.5,2.19,81,50,19,56,0
Shane McAdam,3,11,4,8.67,0.33,0.67,0.33,0,0,0,33,0
Steven May,17,26,4,18.71,0.06,0.0,0.53,82,41,24,6,0
Taj Woewodin,13,13,1,6.77,0.0,0.15,0.23,0,0,0,0,0
Tom McDonald,17,22,7,14.12,0.18,0.0,0.53,47,6,0,12,6
Tom Sparrow,18,22,11,15.0,0.22,0.39,0.5,56,17,0,17,6
Trent Rivers,18,29,14,20.89,0.06,0.11,0.56,89,56,17,6,0
