Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aidan Corr,18,15,6,12.0,0.0,0.0,1.0,67,0,0,0,0
Bailey Scott,18,25,17,21.67,0.33,0.0,0.67,100,67,33,33,0
Bigoa Nyuon,3,19,11,14.33,0.0,0.0,0.67,33,0,0,0,0
Blake Drury,5,12,6,9.67,0.0,0.0,0.33,0,0,0,0,0
Callum Coleman-Jones,3,9,3,6.0,0.0,0.0,1.0,0,0,0,0,0
Cameron Zurhaar,17,21,9,15.67,1.0,0.67,1.67,67,33,0,67,33
Charlie Comben,15,17,8,13.33,1.0,0.0,0.67,67,0,0,33,33
Charlie Lazzaro,9,7,6,6.33,0.0,0.0,0.0,0,0,0,0,0
Colby McKercher,12,37,22,28.0,0.0,0.0,0.33,100,100,67,0,0
Cooper Harvey,3,13,5,9.33,0.33,0.0,0.33,0,0,0,33,0
Curtis Taylor,8,12,2,6.0,0.33,0.0,0.67,0,0,0,33,0
Darcy Tucker,18,24,14,18.0,0.0,0.0,0.33,67,33,0,0,0
Dylan Stephens,12,21,13,18.0,0.0,0.0,1.33,67,67,0,0,0
Eddie Ford,15,14,12,12.67,0.33,1.33,1.0,0,0,0,33,0
George Wardlaw,15,23,16,19.33,0.0,0.67,1.33,100,33,0,0,0
Griffin Logue,1,10,10,10.0,0.0,0.0,0.0,0,0,0,0,0
Harry Sheezel,18,35,29,33.0,1.0,0.0,0.33,100,100,100,67,33
Hugh Greenwood,3,12,5,9.33,0.33,0.33,0.33,0,0,0,33,0
Jackson Archer,10,16,4,10.33,0.0,0.0,1.33,33,0,0,0,0
Jaidyn Stephenson,10,14,5,10.33,0.33,0.0,0.0,0,0,0,33,0
Josh Goater,1,10,10,10.0,0.0,0.0,1.0,0,0,0,0,0
Jy Simpkin,13,28,23,25.67,0.33,0.33,0.67,100,100,67,33,0
Kallan Dawson,9,13,7,10.0,0.33,0.0,0.67,0,0,0,33,0
Liam Shiels,13,10,5,6.67,0.67,0.67,0.0,0,0,0,67,0
Luke Davies-Uniacke,18,30,23,25.67,0.33,0.33,1.33,100,100,33,33,0
Luke McDonald,17,18,11,14.67,0.0,0.0,1.0,67,0,0,0,0
Miller Bergman,1,8,8,8.0,0.0,0.0,0.0,0,0,0,0,0
Nick Larkey,18,13,6,9.33,2.67,0.67,0.67,0,0,0,100,100
Paul Curtis,18,15,10,12.33,1.33,0.33,0.67,33,0,0,67,33
Riley Hardeman,3,12,7,10.0,0.0,0.0,0.33,0,0,0,0,0
Tarryn Thomas,12,25,22,23.0,0.67,1.0,1.33,100,100,33,33,33
Toby Pink,12,7,4,5.33,1.0,0.0,0.67,0,0,0,67,33
Tom Powell,18,22,11,16.0,0.0,0.0,0.33,67,33,0,0,0
Tristan Xerri,18,18,16,17.0,0.33,0.0,3.67,100,0,0,33,0
Will Phillips,7,13,12,12.33,0.0,0.0,1.0,0,0,0,0,0
Zac Fisher,16,23,13,19.33,0.0,0.0,0.67,67,67,0,0,0
Zane Duursma,10,9,3,5.33,0.67,0.33,1.0,0,0,0,67,0
