Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Angus Hastie,5,9,0,5.0,0.2,0.0,0.2,0,0,0,20,0
Anthony Caminiti,11,12,7,9.2,0.2,0.2,0.6,0,0,0,20,0
Arie Schoenmaker,4,18,12,14.5,0.0,0.0,0.5,50,0,0,0,0
Ben Paton,4,14,2,6.75,0.0,0.0,0.5,0,0,0,0,0
Brad Crouch,1,15,15,15.0,0.0,0.0,1.0,100,0,0,0,0
Bradley Hill,17,24,15,18.8,0.2,0.0,0.2,100,20,0,20,0
Callum Wilkie,18,26,14,20.2,0.0,0.0,0.4,80,40,40,0,0
Cooper Sharman,13,12,1,7.8,1.4,0.4,0.6,0,0,0,80,60
Dan Butler,11,12,8,10.0,1.0,0.4,1.4,0,0,0,60,40
Darcy Wilson,18,18,7,11.8,0.6,0.0,1.6,20,0,0,60,0
Dougal Howard,10,17,3,11.2,0.0,0.0,1.4,20,0,0,0,0
Hugo Garcia,6,14,5,8.6,0.2,0.2,0.2,0,0,0,20,0
Hunter Clark,7,21,14,17.8,0.2,0.4,0.2,80,40,0,20,0
Jack Hayes,2,17,2,9.5,1.0,0.5,2.5,50,0,0,50,50
Jack Higgins,15,14,7,9.8,2.0,1.0,1.2,0,0,0,80,40
Jack Sinclair,17,32,20,28.4,0.0,0.0,0.6,100,100,80,0,0
Jack Steele,18,31,16,23.8,0.2,0.2,1.4,100,60,60,20,0
Jimmy Webster,10,18,7,14.0,0.0,0.0,1.0,60,0,0,0,0
Josh Battle,18,21,10,16.0,0.2,0.0,0.4,80,20,0,20,0
Lance Collard,3,4,0,2.33,0.0,0.0,0.33,0,0,0,0,0
Liam Henry,12,20,11,14.6,0.6,0.2,0.8,40,20,0,40,20
Liam Stocker,11,14,7,10.8,0.0,0.0,1.2,0,0,0,0,0
Marcus Windhager,15,18,9,12.6,0.0,0.0,1.2,40,0,0,0,0
Mason Wood,13,22,14,17.8,1.6,1.2,0.6,80,20,0,100,40
Mattaes Phillipou,11,26,4,13.2,0.8,0.8,1.0,40,40,20,80,0
Max King,12,14,8,10.0,2.0,0.6,1.0,0,0,0,80,80
Mitch Owens,18,18,4,9.2,0.6,0.6,1.6,20,0,0,40,20
Nasiah Wanganeen-Milera,17,28,23,26.6,0.0,0.4,0.6,100,100,80,0,0
Paddy Dow,6,22,7,16.6,0.0,0.4,1.2,60,60,0,0,0
Riley Bonner,17,22,12,17.0,0.0,0.6,0.4,80,40,0,0,0
Rowan Marshall,18,26,16,20.0,1.0,1.0,2.0,100,60,20,40,40
Ryan Byrnes,11,22,4,15.2,0.0,0.0,0.2,60,40,0,0,0
Sebastian Ross,13,16,6,10.8,0.2,0.2,0.2,20,0,0,20,0
Tim Membrey,14,23,4,11.2,1.4,0.0,0.4,20,20,0,60,20
Tom Campbell,2,9,6,7.5,0.0,0.0,0.0,0,0,0,0,0
Zaine Cordy,8,15,2,7.6,0.2,0.0,0.4,20,0,0,20,0
Zak Jones,8,26,6,13.6,0.2,0.0,0.6,40,40,20,20,0
