Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Rowan Marshall,3,01/04/2023,Bombers,Win 92-74,19,0,1
2022,Rowan Marshall,14,17/06/2022,Bombers,Loss 72-107,14,1,1
2023,Brad Crouch,3,01/04/2023,Bombers,Win 92-74,32,0,0
2022,Brad Crouch,14,17/06/2022,Bombers,Loss 72-107,23,0,0
2021,Brad Crouch,3,03/04/2021,Bombers,Loss 68-143,15,1,2
2023,Jack Sinclair,3,01/04/2023,Bombers,Win 92-74,26,0,0
2022,Jack Sinclair,14,17/06/2022,Bombers,Loss 72-107,31,0,0
2021,Jack Sinclair,3,03/04/2021,Bombers,Loss 68-143,14,0,0
2021,Jack Steele,3,03/04/2021,Bombers,Loss 68-143,35,1,1
2023,Mason Wood,3,01/04/2023,Bombers,Win 92-74,27,1,0
2021,Mason Wood,3,03/04/2021,Bombers,Loss 68-143,14,0,0
2023,Nasiah Wanganeen-Milera,3,01/04/2023,Bombers,Win 92-74,19,0,0
2022,Nasiah Wanganeen-Milera,14,17/06/2022,Bombers,Loss 72-107,15,0,0
2023,Callum Wilkie,3,01/04/2023,Bombers,Win 92-74,19,0,0
2022,Callum Wilkie,14,17/06/2022,Bombers,Loss 72-107,16,0,0
2021,Callum Wilkie,3,03/04/2021,Bombers,Loss 68-143,13,0,0
2023,Liam Henry,15,24/06/2023,Bombers,Win 93-61,32,0,1
2021,Liam Henry,9,16/05/2021,Bombers,Loss 61-68,8,0,1
2023,Bradley Hill,3,01/04/2023,Bombers,Win 92-74,23,1,0
2022,Bradley Hill,14,17/06/2022,Bombers,Loss 72-107,26,0,0
2021,Bradley Hill,3,03/04/2021,Bombers,Loss 68-143,16,0,0
2023,Mitch Owens,3,01/04/2023,Bombers,Win 92-74,14,1,2
2023,Liam Stocker,3,01/04/2023,Bombers,Win 92-74,17,0,0
2021,Liam Stocker,7,02/05/2021,Bombers,Win 123-107,10,0,0
2023,Sebastian Ross,3,01/04/2023,Bombers,Win 92-74,24,0,0
2022,Sebastian Ross,14,17/06/2022,Bombers,Loss 72-107,23,0,0
2021,Sebastian Ross,3,03/04/2021,Bombers,Loss 68-143,18,0,1
2023,Hunter Clark,3,01/04/2023,Bombers,Win 92-74,21,0,0
2022,Hunter Clark,14,17/06/2022,Bombers,Loss 72-107,13,0,0
2021,Hunter Clark,3,03/04/2021,Bombers,Loss 68-143,17,0,0
2023,Jack Higgins,3,01/04/2023,Bombers,Win 92-74,18,4,0
2022,Jack Higgins,14,17/06/2022,Bombers,Loss 72-107,6,2,0
2021,Jack Higgins,3,03/04/2021,Bombers,Loss 68-143,17,3,0
2023,Marcus Windhager,3,01/04/2023,Bombers,Win 92-74,14,1,0
2023,Jimmy Webster,3,01/04/2023,Bombers,Win 92-74,16,0,0
2022,Jimmy Webster,14,17/06/2022,Bombers,Loss 72-107,10,0,0
2023,Josh Battle,3,01/04/2023,Bombers,Win 92-74,14,0,0
2022,Josh Battle,14,17/06/2022,Bombers,Loss 72-107,14,0,0
2021,Josh Battle,3,03/04/2021,Bombers,Loss 68-143,10,0,1
2023,Ryan Byrnes,3,01/04/2023,Bombers,Win 92-74,23,0,1
2022,Ryan Byrnes,14,17/06/2022,Bombers,Loss 72-107,14,0,0
2023,Dan Butler,3,01/04/2023,Bombers,Win 92-74,13,4,0
2022,Dan Butler,14,17/06/2022,Bombers,Loss 72-107,10,0,0
2021,Dan Butler,3,03/04/2021,Bombers,Loss 68-143,7,0,0
2022,Max King,14,17/06/2022,Bombers,Loss 72-107,10,1,1
2021,Max King,3,03/04/2021,Bombers,Loss 68-143,8,1,2
2023,Paddy Dow,13,11/06/2023,Bombers,Loss 52-86,7,0,0
2021,Paddy Dow,7,02/05/2021,Bombers,Win 123-107,6,0,0
2022,Zak Jones,14,17/06/2022,Bombers,Loss 72-107,16,0,0
2021,Zak Jones,3,03/04/2021,Bombers,Loss 68-143,18,0,0
2023,Ben Paton,3,01/04/2023,Bombers,Win 92-74,6,0,0
2022,Ben Paton,14,17/06/2022,Bombers,Loss 72-107,8,0,0
2022,Tim Membrey,14,17/06/2022,Bombers,Loss 72-107,10,0,0
2021,Tim Membrey,3,03/04/2021,Bombers,Loss 68-143,17,1,2
2023,Dougal Howard,3,01/04/2023,Bombers,Win 92-74,13,0,0
2022,Dougal Howard,14,17/06/2022,Bombers,Loss 72-107,14,0,0
2021,Dougal Howard,3,03/04/2021,Bombers,Loss 68-143,13,0,0
2023,Mattaes Phillipou,3,01/04/2023,Bombers,Win 92-74,14,0,1
2023,Riley Bonner,16,01/07/2023,Bombers,Win 78-74,14,0,0
2023,Riley Bonner,8,07/05/2023,Bombers,Win 92-87,20,0,2
2022,Riley Bonner,22,14/08/2022,Bombers,Win 146-62,19,0,0
2022,Riley Bonner,11,29/05/2022,Bombers,Win 66-50,17,0,0
2023,Anthony Caminiti,3,01/04/2023,Bombers,Win 92-74,8,1,1
2023,Zaine Cordy,3,01/04/2023,Bombers,Win 92-74,1,0,0
2022,Zaine Cordy,7,01/05/2022,Bombers,Win 103-71,6,1,0
2021,Zaine Cordy,21,08/08/2021,Bombers,Loss 84-97,10,0,0
2021,Tom Campbell,10,23/05/2021,Bombers,Loss 69-141,13,2,0
