Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Davies,8,19,9,13.8,0.0,0.4,0.8,40,0,0,0,0
Alex Sexton,6,8,3,4.0,0.4,0.4,0.2,0,0,0,40,0
Bailey Humphrey,16,12,6,10.6,0.4,0.6,0.4,0,0,0,40,0
Ben Ainsworth,17,21,8,16.0,1.6,1.0,1.0,60,40,0,100,60
Ben King,19,12,1,6.0,1.0,1.0,0.6,0,0,0,20,20
Ben Long,15,12,6,8.8,0.0,0.0,0.2,0,0,0,0,0
Bodhi Uwland,3,20,0,8.33,0.0,0.0,0.67,33,33,0,0,0
Brandon Ellis,12,23,16,19.0,0.2,0.2,0.2,100,40,0,20,0
Brayden Fiorini,15,35,6,19.4,0.0,0.4,0.4,80,40,20,0,0
Charlie Ballard,19,18,9,12.8,0.0,0.0,0.6,40,0,0,0,0
Charlie Constable,2,26,19,22.5,0.0,0.0,0.5,100,50,50,0,0
Darcy Macpherson,19,22,15,16.6,0.4,0.0,1.2,100,20,0,40,0
David Swallow,19,23,12,16.2,0.0,0.4,0.2,60,20,0,0,0
Elijah Hollands,7,19,12,14.8,0.4,0.2,0.2,60,0,0,20,20
Hewago Paul Oea,8,16,2,7.4,0.6,0.0,0.0,20,0,0,60,0
Jack Lukosius,19,16,10,12.8,1.6,0.2,0.4,20,0,0,60,40
James Tsitas,2,4,2,3.0,1.0,0.0,0.0,0,0,0,50,50
Jarrod Witts,17,15,11,12.6,0.0,0.0,1.2,20,0,0,0,0
Joel Jeffrey,7,15,5,9.8,0.6,0.4,0.4,20,0,0,60,0
Jy Farrar,7,10,2,5.6,0.2,0.0,0.6,0,0,0,20,0
Lachie Weller,9,28,12,18.2,0.0,0.2,0.8,60,20,20,0,0
Levi Casboult,16,13,3,8.0,1.6,0.0,0.8,0,0,0,80,40
Mabior Chol,6,13,3,7.2,1.4,1.0,0.6,0,0,0,80,60
Mac Andrew,13,16,5,10.6,0.0,0.0,0.8,20,0,0,0,0
Malcolm Rosas,15,15,6,10.4,0.8,1.0,0.8,20,0,0,40,20
Matt Rowell,19,22,14,19.2,0.6,0.0,1.4,80,60,0,40,20
Ned Moyle,2,5,4,4.5,0.0,0.0,0.0,0,0,0,0,0
Nick Holman,17,18,6,10.4,0.4,0.2,0.4,20,0,0,20,20
Noah Anderson,19,35,25,28.8,0.4,0.8,0.4,100,100,100,40,0
Rory Atkins,13,32,14,25.8,0.4,0.2,0.4,80,80,80,20,20
Sam Day,2,10,2,6.0,0.5,0.5,0.5,0,0,0,50,0
Sam Flanders,10,33,24,29.4,0.0,0.6,1.0,100,100,80,0,0
Sam Collins,19,17,11,12.4,0.0,0.0,0.2,20,0,0,0,0
Sean Lemmens,7,13,6,9.2,0.0,0.2,0.2,0,0,0,0,0
Thomas Berry,6,10,1,6.0,0.0,0.4,0.6,0,0,0,0,0
Touk Miller,10,29,13,21.2,0.2,0.2,0.6,80,60,40,20,0
Wil Powell,17,28,14,23.2,0.0,0.2,1.6,80,80,60,0,0
