Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alwyn Davey,9,12,3,8.22,0.44,0.22,0.44,0,0,0,44,0
Andrew McGrath,19,31,16,22.79,0.0,0.05,0.47,100,79,37,0,0
Anthony McDonald Tipungwuti,6,13,4,7.67,0.67,0.83,0.17,0,0,0,67,0
Archie Perkins,19,24,8,15.11,0.84,0.63,0.79,53,11,0,58,21
Ben Hobbs,14,26,6,19.21,0.43,0.21,1.07,86,64,7,36,7
Brandon Zerk Thatcher,18,19,6,12.06,0.0,0.0,0.5,28,0,0,0,0
Darcy Parish,14,39,24,31.07,0.14,0.36,1.0,100,100,79,14,0
Dylan Shiel,12,28,2,18.67,0.5,0.08,0.42,75,50,25,25,25
Dyson Heppell,18,25,14,20.39,0.06,0.0,0.67,94,61,17,6,0
Jake Kelly,14,29,8,14.93,0.07,0.0,0.71,50,14,7,7,0
Jake Stringer,16,26,8,13.56,1.31,1.38,0.62,44,6,6,88,19
Jayden Laverde,15,27,8,15.27,0.07,0.0,1.0,53,27,7,7,0
Jordan Ridley,17,32,4,20.29,0.06,0.06,0.59,94,59,18,6,0
Jye Caldwell,19,31,10,19.05,0.53,0.53,1.0,79,47,21,42,11
Jye Menzie,17,17,3,8.76,1.18,0.47,0.41,6,0,0,82,35
Kaine Baldwin,2,14,13,13.5,0.0,0.0,0.5,0,0,0,0,0
Kyle Langford,19,22,7,13.74,2.11,0.79,0.58,42,5,0,89,58
Mason Redman,19,31,13,22.21,0.32,0.21,0.68,95,68,26,26,5
Matt Guelfi,10,18,6,11.8,1.3,0.3,1.1,20,0,0,90,40
Nic Martin,19,31,13,21.95,0.74,0.21,0.74,95,58,32,53,21
Nick Bryan,5,15,4,9.2,0.2,0.4,0.6,20,0,0,20,0
Nick Hind,12,23,7,15.75,0.25,0.08,0.25,58,42,0,17,8
Nik Cox,2,13,7,10.0,0.0,0.5,0.0,0,0,0,0,0
Peter Wright,7,19,6,9.71,2.29,0.86,0.71,14,0,0,71,57
Sam Draper,13,16,7,11.31,0.77,0.85,1.15,23,0,0,54,15
Sam Durham,18,24,9,15.78,0.22,0.11,0.67,67,17,0,17,6
Sam Weideman,15,14,3,9.27,0.87,1.0,0.8,0,0,0,33,33
Will Setterfield,9,28,16,21.56,0.22,0.33,0.78,100,67,22,22,0
Will Snelling,13,19,5,11.92,0.46,0.15,0.69,8,0,0,38,8
Zach Merrett,18,39,18,28.94,0.44,0.39,1.89,100,83,72,39,6
