Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Witherden,18,30,14,20.67,0.0,0.0,0.67,67,33,33,0,0
Andrew Gaff,19,30,24,26.33,0.33,0.0,1.0,100,100,67,33,0
Bailey J. Williams,19,23,14,18.0,0.67,0.0,3.0,67,33,0,67,0
Brady Hough,13,21,13,17.33,0.0,0.0,1.0,67,33,0,0,0
Callum Jamieson,4,17,5,12.0,0.0,0.33,1.33,33,0,0,0,0
Campbell Chesser,11,19,11,13.67,0.0,0.33,0.67,33,0,0,0,0
Connor West,9,13,1,8.0,0.0,0.67,2.0,0,0,0,0,0
Dom Sheed,15,28,18,24.0,0.33,0.0,0.67,100,67,67,33,0
Elijah Hewett,10,21,12,16.67,0.33,1.33,0.67,67,33,0,33,0
Elliot Yeo,7,30,7,18.67,0.0,0.0,1.33,67,33,33,0,0
Greg Clark,10,11,7,8.67,0.33,0.0,0.33,0,0,0,33,0
Harry Barnett,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Harry Edwards,2,10,6,8.0,0.0,0.0,0.0,0,0,0,0,0
Jack Darling,16,18,8,14.0,1.33,1.0,1.0,67,0,0,100,33
Jack Petruccelle,15,17,10,12.67,0.67,0.67,0.0,33,0,0,67,0
Jack Williams,6,12,6,9.0,0.0,1.0,0.0,0,0,0,0,0
Jai Culley,5,10,1,5.33,1.67,0.33,1.0,0,0,0,67,33
Jake Waterman,11,19,13,15.0,0.33,0.33,1.0,33,0,0,33,0
Jamaine Jones,10,30,4,15.33,0.33,0.67,1.0,33,33,33,33,0
Jamie Cripps,8,18,10,14.67,1.0,1.0,0.0,67,0,0,67,33
Jayden Hunt,19,25,11,19.67,0.33,0.67,0.0,67,67,33,33,0
Jeremy McGovern,5,20,10,13.67,0.0,0.0,0.67,33,33,0,0,0
Josh Rotham,9,13,2,9.0,0.0,0.0,0.33,0,0,0,0,0
Liam Duggan,18,27,18,21.67,0.33,0.33,0.33,100,67,33,33,0
Liam Ryan,3,17,9,13.0,1.33,0.33,1.33,33,0,0,67,33
Luke Edwards,10,15,3,8.67,0.0,0.0,0.0,33,0,0,0,0
Luke Foley,8,14,8,11.33,0.0,0.0,1.0,0,0,0,0,0
Luke Shuey,9,28,7,18.67,0.0,0.0,1.0,67,67,33,0,0
Noah Long,15,13,8,10.33,1.0,0.67,0.67,0,0,0,100,0
Oscar Allen,19,15,4,9.67,1.67,1.33,0.67,33,0,0,67,67
Reuben Ginbey,17,13,3,9.33,0.0,0.0,0.33,0,0,0,0,0
Rhett Bazzo,11,13,4,8.33,0.0,0.0,0.67,0,0,0,0,0
Sam Petrevski Seton,10,15,8,12.33,0.33,0.67,0.33,33,0,0,33,0
Shannon Hurn,12,24,17,20.67,0.0,0.0,0.33,100,67,0,0,0
Tim Kelly,18,27,20,24.33,0.0,0.33,0.33,100,100,67,0,0
Tom Barrass,14,20,10,13.67,0.0,0.0,0.33,33,33,0,0,0
Tom Cole,8,20,16,18.67,0.0,0.0,1.33,100,67,0,0,0
Zane Trew,3,11,9,9.67,0.0,0.0,0.0,0,0,0,0,0
