Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Pearce,19,20,4,10.42,0.0,0.0,0.89,11,5,0,0,0
Andrew Brayshaw,19,34,18,28.58,0.53,0.11,1.53,100,95,89,42,11
Bailey Banfield,13,20,2,11.92,0.85,0.62,0.46,38,8,0,62,23
Brandon Walker,14,16,2,10.36,0.0,0.0,0.5,14,0,0,0,0
Brennan Cox,16,31,8,17.31,0.06,0.0,0.25,50,31,12,6,0
Caleb Serong,18,38,24,30.61,0.22,0.44,2.0,100,100,89,22,0
Corey Wagner,5,23,12,17.6,0.0,0.0,0.6,80,40,0,0,0
Ethan Hughes,19,19,9,13.79,0.11,0.05,0.47,47,0,0,11,0
Hayden Young,18,33,14,22.06,0.06,0.06,0.78,94,67,28,6,0
Heath Chapman,3,22,6,15.0,0.0,0.0,0.67,67,33,0,0,0
Jaeger O'Meara,18,30,11,20.78,0.33,0.17,1.06,94,50,28,22,11
James Aish,16,31,11,20.0,0.19,0.19,0.94,88,38,19,19,0
Joel Hamling,3,12,8,10.33,0.0,0.0,1.0,0,0,0,0,0
Jordan Clark,19,28,14,18.42,0.05,0.05,0.84,89,32,11,5,0
Josh Corbett,3,11,4,7.33,0.67,0.67,0.33,0,0,0,33,33
Josh Treacy,13,14,3,8.46,0.92,0.23,0.69,0,0,0,62,23
Jye Amiss,18,14,2,7.33,1.83,0.61,0.72,0,0,0,89,50
Karl Worner,1,7,7,7.0,0.0,0.0,0.0,0,0,0,0,0
Lachie Schultz,19,20,10,15.0,1.32,0.74,1.11,58,11,0,74,32
Liam Henry,12,33,10,19.75,0.08,0.25,0.33,75,50,17,8,0
Luke Jackson,19,24,8,14.58,1.0,0.79,1.21,47,11,0,58,32
Luke Ryan,19,37,16,24.47,0.0,0.0,0.74,100,74,37,0,0
Matt Taberner,4,11,7,9.0,0.75,0.0,0.25,0,0,0,50,25
Michael Walters,17,15,3,9.53,1.76,0.59,0.65,6,0,0,82,53
Nat Fyfe,9,20,6,13.89,0.33,0.22,0.44,56,11,0,33,0
Nathan Wilson,4,21,10,15.25,0.0,0.0,0.5,50,25,0,0,0
Neil Erasmus,10,26,2,13.5,0.0,0.1,0.9,60,10,10,0,0
Sam Sturt,10,14,3,8.0,0.9,0.8,0.3,0,0,0,60,30
Sam Switkowski,18,21,1,13.17,0.72,0.44,1.17,44,6,0,61,11
Sean Darcy,15,20,6,13.8,0.27,0.4,1.33,47,7,0,27,0
Will Brodie,5,26,16,20.6,0.2,0.2,0.6,100,60,20,20,0
