Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Francis,11,12,9,10.33,0.0,0.0,0.67,0,0,0,0,0
Angus Sheldrick,7,29,14,21.33,0.33,1.0,1.33,67,67,33,33,0
Braeden Campbell,19,26,12,19.33,0.0,0.67,0.67,67,67,33,0,0
Callum Mills,15,20,14,16.33,0.67,0.67,0.33,67,33,0,33,33
Chad Warner,16,33,17,25.33,1.33,1.0,1.67,100,67,67,100,33
Corey Warner,3,8,1,4.0,0.33,0.0,0.33,0,0,0,33,0
Dane Rampe,12,16,10,12.0,0.0,0.0,0.67,33,0,0,0,0
Dylan Stephens,9,14,3,8.67,0.0,0.33,0.33,0,0,0,0,0
Errol Gulden,19,37,22,29.67,0.67,0.33,2.0,100,100,67,67,0
Harry Cunningham,19,21,18,20.0,0.0,0.0,0.67,100,67,0,0,0
Hayden McLean,17,16,14,15.0,0.0,0.33,0.67,67,0,0,0,0
Isaac Heeney,18,17,14,15.0,1.67,0.67,0.67,33,0,0,100,67
Jake Lloyd,18,31,11,21.67,0.0,0.0,1.33,67,67,33,0,0
James Rowbottom,19,22,17,19.33,0.33,0.0,1.0,100,33,0,33,0
Joel Amartey,11,11,6,8.33,1.67,0.67,0.67,0,0,0,67,33
Justin McInerney,18,23,15,19.33,0.33,0.33,1.33,100,67,0,33,0
Lachlan McAndrew,2,9,3,6.0,0.0,0.5,0.5,0,0,0,0,0
Lance Franklin,13,12,3,8.67,1.67,1.0,1.33,0,0,0,67,67
Lewis Melican,7,15,5,10.0,0.0,0.0,0.67,33,0,0,0,0
Logan McDonald,15,15,4,10.33,1.0,1.0,0.67,33,0,0,67,33
Luke Parker,18,31,12,22.0,0.0,0.0,1.33,67,67,33,0,0
Marc Sheather,3,5,2,3.67,0.33,0.0,0.33,0,0,0,33,0
Matt Roberts,5,14,3,6.67,0.0,0.0,0.67,0,0,0,0,0
Nick Blakey,19,23,14,18.67,0.0,0.0,0.0,67,33,0,0,0
Oliver Florent,19,23,20,21.33,0.67,0.0,0.33,100,100,0,33,33
Peter Ladhams,9,24,6,13.67,1.0,0.33,0.67,33,33,0,67,33
Robbie Fox,15,17,11,13.67,0.0,0.0,0.0,33,0,0,0,0
Ryan Clarke,8,16,7,11.33,1.0,0.67,0.33,33,0,0,67,33
Sam Wicks,6,14,7,10.33,1.0,0.33,1.0,0,0,0,33,33
Tom Hickey,7,19,7,12.0,0.0,0.67,2.0,33,0,0,0,0
Tom McCartin,10,16,10,13.67,0.0,0.0,0.67,67,0,0,0,0
Tom Papley,19,19,14,17.0,2.67,1.0,1.33,67,0,0,100,100
Will Gould,4,8,3,5.67,0.0,0.0,0.67,0,0,0,0,0
Will Hayward,18,11,9,9.67,1.0,1.0,1.67,0,0,0,33,33
