Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Brad Close,18,24,9,14.7,0.9,0.0,0.9,60,10,0,60,20
Brandan Parfitt,5,14,5,10.8,0.2,0.0,0.8,0,0,0,20,0
Cameron Guthrie,6,28,15,22.33,0.0,0.0,0.67,100,83,33,0,0
Cooper Whyte,1,1,1,1.0,0.0,0.0,0.0,0,0,0,0,0
Esava Ratugolea,13,14,4,9.9,0.0,0.0,0.8,0,0,0,0,0
Gary Rohan,13,16,5,9.9,1.3,0.7,0.7,10,0,0,80,30
Gryan Miers,19,32,10,19.3,0.3,0.4,0.4,70,50,30,30,0
Isaac Smith,18,24,17,20.0,0.5,0.6,0.4,100,50,0,40,10
Jack Bowes,13,25,3,13.3,0.2,0.3,0.5,40,30,10,20,0
Jack Henry,10,16,8,11.7,0.4,0.0,0.9,10,0,0,30,10
Jake Kolodjashnij,15,15,7,10.8,0.0,0.0,0.4,10,0,0,0,0
Jed Bews,13,15,2,9.8,0.0,0.1,0.2,10,0,0,0,0
Jeremy Cameron,17,21,0,13.6,1.4,2.0,0.8,50,20,0,80,40
Jhye Clark,1,6,6,6.0,0.0,0.0,0.0,0,0,0,0,0
Jonathon Ceglar,6,17,7,12.67,0.0,0.0,1.0,17,0,0,0,0
Mark Blicavs,19,22,5,16.5,0.6,0.4,1.0,80,10,0,50,10
Max Holmes,17,33,8,18.9,0.2,0.2,1.3,70,40,20,20,0
Mitch Duncan,13,30,16,22.9,0.3,0.4,0.4,100,90,40,30,0
Mitchell Knevitt,7,17,3,12.43,0.29,0.29,0.57,57,0,0,29,0
Oisin Mullin,5,15,1,7.8,0.0,0.2,0.2,20,0,0,0,0
Oliver Henry,18,14,5,8.9,1.7,0.8,0.5,0,0,0,100,50
Oliver Dempsey,4,11,3,5.75,0.0,0.75,0.25,0,0,0,0,0
Patrick Dangerfield,14,31,15,20.2,0.5,0.6,1.2,100,40,30,40,10
Rhys Stanley,10,16,9,11.3,0.0,0.1,1.4,20,0,0,0,0
Sam De Koning,15,17,8,12.3,0.0,0.0,0.6,30,0,0,0,0
Sam Simpson,6,14,2,9.17,1.17,0.5,0.33,0,0,0,67,50
Tanner Bruhn,16,23,11,17.4,0.4,0.1,1.0,80,20,0,30,10
Tom Stewart,18,31,17,23.4,0.1,0.0,0.9,100,70,60,10,0
Tom Atkins,19,28,12,19.1,0.0,0.0,1.2,80,40,20,0,0
Tom Hawkins,19,16,5,10.6,2.1,1.4,0.4,10,0,0,90,70
Tyson Stengle,15,16,7,12.2,1.7,0.4,0.9,40,0,0,90,40
Zach Guthrie,19,26,10,17.6,0.1,0.1,0.2,70,40,10,10,0
Zach Tuohy,17,28,15,19.5,0.1,0.6,0.3,100,30,10,10,0
