Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ash Johnson,14,14,3,6.9,1.6,0.2,0.8,0,0,0,90,40
Beau McCreery,19,12,3,8.7,0.4,0.3,0.2,0,0,0,40,0
Billy Frampton,12,15,3,9.5,0.7,0.2,0.3,20,0,0,60,10
Brayden Maynard,18,27,10,17.7,0.0,0.1,1.0,70,40,20,0,0
Brody Mihocek,17,15,8,9.3,2.0,1.4,0.3,10,0,0,70,60
Daniel McStay,8,16,1,8.38,1.12,0.62,0.75,12,0,0,75,38
Darcy Cameron,12,23,9,14.2,0.2,0.4,2.1,40,10,0,20,0
Darcy Moore,19,25,13,18.0,0.0,0.0,1.1,80,40,10,0,0
Harvey Harrison,4,12,2,7.75,0.75,0.25,0.25,0,0,0,75,0
Isaac Quaynor,19,27,7,17.4,0.0,0.1,0.6,70,30,10,0,0
Jack Crisp,19,28,14,20.7,0.5,0.2,0.4,90,60,30,50,0
Jack Ginnivan,8,15,1,9.12,1.0,0.62,0.25,12,0,0,62,38
Jamie Elliott,17,15,9,11.1,2.3,1.0,0.5,10,0,0,80,60
Jeremy Howe,7,20,8,13.71,0.43,0.0,0.14,57,14,0,14,14
John Noble,19,30,11,20.4,0.1,0.0,1.1,80,60,30,10,0
Jordan De Goey,15,35,17,24.6,0.5,0.3,0.8,100,70,50,50,0
Josh Carmichael,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Josh Daicos,19,33,17,24.9,0.9,0.2,0.9,100,80,50,70,10
Mason Cox,14,14,3,7.1,1.0,0.9,1.6,0,0,0,70,30
Nathan Kreuger,2,5,2,3.5,0.0,0.0,0.0,0,0,0,0,0
Nathan Murphy,18,14,7,10.6,0.0,0.0,1.1,0,0,0,0,0
Nick Daicos,19,37,25,30.7,1.1,0.7,1.3,100,100,100,80,20
Patrick Lipinski,7,23,14,18.43,0.57,0.14,0.71,86,57,0,43,14
Reef McInnes,5,7,1,3.6,0.6,0.2,0.2,0,0,0,40,20
Scott Pendlebury,18,28,14,22.5,0.1,0.2,0.7,90,90,30,10,0
Steele Sidebottom,14,30,4,21.4,0.2,0.1,0.4,90,70,30,20,0
Taylor Adams,18,27,12,19.0,0.8,0.1,1.0,70,50,20,70,10
Tom Mitchell,19,30,14,24.6,0.2,0.1,1.5,90,80,60,20,0
Tom Wilson,1,5,5,5.0,0.0,0.0,0.0,0,0,0,0,0
Trent Bianco,1,9,9,9.0,0.0,0.0,0.0,0,0,0,0,0
Trey Ruscoe,1,11,11,11.0,0.0,0.0,1.0,0,0,0,0,0
Will Hoskin Elliott,17,19,2,11.4,0.8,0.4,0.4,40,0,0,60,20
Will Kelly,2,8,5,6.5,0.0,0.0,0.0,0,0,0,0,0
