Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Bailey Macdonald,1,10,10,10.0,0.0,0.0,1.0,0,0,0,0,0
Blake Hardwick,19,38,12,20.7,0.0,0.1,0.4,90,40,30,0,0
Cam Mackenzie,13,22,5,13.3,0.3,0.3,0.1,40,10,0,20,10
Chad Wingard,12,26,3,15.1,0.8,0.6,1.0,70,10,10,40,30
Changkuoth Jiath,8,21,11,17.0,0.12,0.0,0.75,88,25,0,12,0
Connor Macdonald,17,28,5,17.8,0.7,0.4,0.7,70,40,20,60,10
Conor Nash,19,32,18,24.4,0.0,0.2,0.9,100,80,50,0,0
Denver Grainger Barras,5,9,0,4.4,0.4,0.0,0.6,0,0,0,40,0
Dylan Moore,19,31,13,20.8,0.8,0.7,0.9,90,60,30,70,10
Fergus Greene,11,11,4,8.3,1.4,1.0,0.5,0,0,0,60,60
Finn Maginness,9,19,5,11.11,0.11,0.22,0.33,22,0,0,11,0
Harry Morrison,9,24,4,18.11,0.0,0.22,0.33,89,33,0,0,0
Jack Scrimshaw,12,31,7,17.3,0.2,0.0,0.3,70,20,10,20,0
Jacob Koschitzke,8,11,4,7.5,0.75,1.0,1.12,0,0,0,38,25
Jai Newcombe,19,33,19,25.4,0.3,0.2,1.9,100,90,50,30,0
James Blanck,11,11,1,6.0,0.0,0.0,0.5,0,0,0,0,0
James Sicily,15,43,17,27.7,0.1,0.1,1.2,100,90,80,10,0
James Worpel,19,35,24,28.3,0.4,0.4,0.9,100,100,80,40,0
Jarman Impey,18,33,7,22.4,0.3,0.3,0.8,80,60,50,30,0
Josh Ward,12,28,15,21.6,0.2,0.1,0.9,100,80,30,10,10
Josh Weddle,13,28,10,19.1,0.2,0.0,0.5,80,40,20,10,10
Karl Amon,18,33,18,23.4,0.2,0.1,0.5,100,70,40,20,0
Lachlan Bramble,11,24,7,16.4,0.1,0.3,0.3,60,40,0,10,0
Lloyd Meek,15,18,2,10.2,0.2,0.0,0.7,10,0,0,20,0
Luke Breust,17,15,7,10.0,2.8,0.9,0.8,10,0,0,100,80
Max Lynch,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Max Ramsden,1,6,6,6.0,0.0,0.0,0.0,0,0,0,0,0
Mitch Lewis,13,24,8,13.1,2.9,1.3,0.8,30,20,0,90,90
Ned Long,3,10,3,7.33,0.33,0.33,0.0,0,0,0,33,0
Ned Reeves,17,10,5,7.9,0.0,0.1,1.1,0,0,0,0,0
Sam Frost,18,19,7,11.3,0.0,0.1,0.2,20,0,0,0,0
Seamus Mitchell,13,27,5,18.2,0.0,0.0,0.6,80,50,10,0,0
Tyler Brockman,15,17,8,11.4,0.7,0.6,0.3,30,0,0,50,20
Will Day,17,30,18,25.0,0.2,0.3,1.0,100,90,60,10,10
