Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Adam Tomlinson,7,19,7,13.71,0.0,0.0,0.86,43,0,0,0,0
Alex Neal Bullen,19,22,8,15.26,0.74,0.37,1.11,58,11,0,74,0
Angus Brayshaw,19,29,12,22.95,0.0,0.21,0.79,95,79,42,0,0
Bailey Laurie,2,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Bayley Fritsch,14,18,1,11.07,2.07,1.43,0.86,21,0,0,86,79
Ben Brown,7,15,2,9.43,1.57,0.57,0.86,29,0,0,71,29
Brodie Grundy,16,22,6,14.62,0.62,0.25,1.75,50,12,0,50,12
Charlie Spargo,13,15,1,9.69,0.85,0.38,0.54,15,0,0,54,31
Christian Petracca,19,35,20,28.42,1.11,1.37,1.0,100,100,84,58,21
Christian Salem,10,24,12,19.8,0.0,0.0,0.5,90,50,0,0,0
Clayton Oliver,10,41,25,33.0,0.5,0.1,1.6,100,100,100,40,10
Daniel Turner,1,9,9,9.0,0.0,0.0,1.0,0,0,0,0,0
Ed Langdon,19,25,12,19.89,0.21,0.47,0.68,84,63,11,21,0
Harrison Petty,13,17,3,10.46,0.77,0.08,0.54,15,0,0,31,15
Jack Viney,18,41,16,25.17,0.44,0.22,1.61,100,78,56,44,0
Jacob van Rooyen,15,16,5,9.07,1.47,0.33,0.8,7,0,0,93,27
Jake Bowey,17,22,10,16.59,0.24,0.06,0.53,82,6,0,24,0
Jake Lever,18,21,7,14.06,0.0,0.0,0.5,50,17,0,0,0
Jake Melksham,9,13,2,7.33,1.67,0.56,0.22,0,0,0,89,56
James Harmes,8,19,3,11.38,0.12,0.62,0.5,38,0,0,12,0
James Jordon,15,23,3,12.67,0.27,0.2,0.8,40,20,0,27,0
Joel Smith,8,11,0,5.5,0.5,0.5,0.38,0,0,0,38,12
Josh Schache,1,9,9,9.0,1.0,0.0,1.0,0,0,0,100,0
Judd McVee,19,18,6,12.89,0.0,0.0,0.32,32,0,0,0,0
Kade Chandler,17,21,6,12.35,1.12,0.65,0.41,24,6,0,65,24
Kysaiah Pickett,17,20,4,11.59,1.71,1.29,0.65,29,6,0,88,59
Lachie Hunter,18,30,12,22.0,0.33,0.11,1.0,94,83,22,28,6
Max Gawn,16,29,1,16.56,0.62,0.69,1.19,75,25,12,44,19
Michael Hibberd,9,23,5,12.78,0.0,0.0,0.56,44,11,0,0,0
Steven May,17,29,8,17.29,0.0,0.0,0.76,65,29,6,0,0
Taj Woewodin,4,12,7,9.25,0.5,0.25,0.75,0,0,0,50,0
Tom McDonald,6,16,6,9.83,1.33,0.5,0.67,17,0,0,67,33
Tom Sparrow,17,26,10,17.53,0.47,0.24,0.71,71,35,6,41,6
Trent Rivers,19,27,12,20.32,0.11,0.21,0.84,89,58,11,11,0
