Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Adam Cerra,18,27,17,23.6,1.0,0.4,1.6,100,80,60,60,40
Adam Saad,18,24,13,18.6,0.0,0.0,0.8,80,40,0,0,0
Alex Cincotta,12,13,10,11.4,0.4,0.0,0.4,0,0,0,40,0
Blake Acres,18,24,22,22.8,0.2,0.6,0.6,100,100,0,20,0
Brodie Kemp,11,19,9,13.6,0.0,0.0,0.0,40,0,0,0,0
Caleb Marchbank,1,15,15,15.0,0.0,0.0,1.0,100,0,0,0,0
Charlie Curnow,19,20,13,15.6,5.0,2.0,2.4,80,20,0,100,100
Corey Durdin,10,10,8,9.2,0.8,0.2,0.6,0,0,0,60,20
David Cuningham,6,16,10,14.0,0.8,0.2,0.6,40,0,0,60,20
Ed Curnow,14,21,13,15.8,0.2,0.6,0.6,60,20,0,20,0
George Hewett,15,31,5,16.0,0.2,0.0,0.8,60,20,20,20,0
Harry McKay,17,20,2,13.0,1.8,1.2,2.0,40,20,0,80,60
Jack Carroll,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Jack Martin,7,14,8,11.0,1.4,0.8,1.0,0,0,0,60,40
Jack Silvagni,16,19,6,15.0,1.2,0.4,1.2,60,0,0,60,20
Jacob Weitering,19,18,10,14.4,0.0,0.0,0.8,60,0,0,0,0
Jesse Motlop,15,14,10,11.2,1.6,0.6,0.4,0,0,0,60,60
Jordan Boyd,8,14,10,12.2,0.0,0.4,0.2,0,0,0,0,0
Josh Honey,6,10,4,7.0,0.4,0.6,0.2,0,0,0,40,0
Lachie Cowan,7,11,9,9.8,0.0,0.0,0.8,0,0,0,0,0
Lachie Fogarty,6,18,10,14.0,0.6,0.6,0.4,40,0,0,60,0
Lachie Plowman,1,12,12,12.0,0.0,0.0,2.0,0,0,0,0,0
Lewis Young,15,13,6,10.2,0.0,0.4,0.0,0,0,0,0,0
Marc Pittonet,12,13,8,9.8,0.0,0.2,1.4,0,0,0,0,0
Matthew Cottrell,10,18,10,14.0,1.0,0.6,0.2,40,0,0,60,40
Matthew Owies,12,12,9,9.8,1.4,0.6,0.8,0,0,0,100,40
Matthew Kennedy,14,27,16,20.4,0.4,0.2,1.6,100,60,20,40,0
Mitch McGovern,18,21,14,17.4,0.4,0.4,0.8,60,40,0,40,0
Nic Newman,17,27,17,22.6,0.4,0.0,0.6,100,80,20,40,0
Oliver Hollands,13,17,10,13.8,0.0,0.2,0.4,40,0,0,0,0
Paddy Dow,6,21,7,12.6,0.2,0.0,0.2,40,20,0,20,0
Patrick Cripps,18,29,20,25.6,0.8,0.6,1.8,100,100,60,40,20
Sam Docherty,17,29,18,25.4,0.4,0.4,0.8,100,80,80,40,0
Sam Walsh,14,32,14,24.6,0.2,0.6,1.4,80,80,60,20,0
Tom De Koning,12,19,5,12.0,0.4,0.8,1.8,20,0,0,20,20
Zac Fisher,8,28,14,19.8,0.2,0.8,0.6,60,60,20,20,0
