Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Anthony Caminiti,16,13,5,8.5,1.0,0.2,0.8,0,0,0,80,20
Ben Paton,12,19,6,13.5,0.0,0.0,0.7,40,0,0,0,0
Brad Crouch,19,33,19,27.5,0.4,0.4,0.9,100,90,90,20,10
Bradley Hill,17,31,4,19.3,0.1,0.1,0.7,80,50,30,10,0
Callum Wilkie,19,23,15,19.9,0.0,0.0,0.8,100,60,0,0,0
Cooper Sharman,11,13,3,7.6,0.9,0.2,0.5,0,0,0,60,20
Dan Butler,19,17,8,11.4,1.6,0.6,1.2,10,0,0,70,60
Dougal Howard,18,18,7,12.9,0.0,0.1,0.5,40,0,0,0,0
Hunter Clark,14,26,1,17.9,0.4,0.1,1.0,70,50,20,40,0
Jack Billings,3,18,12,15.0,0.33,1.0,0.33,67,0,0,33,0
Jack Bytel,6,15,3,7.83,0.17,0.17,0.33,17,0,0,17,0
Jack Higgins,17,18,9,12.6,1.7,1.4,1.2,20,0,0,90,60
Jack Peris,1,13,13,13.0,0.0,0.0,1.0,0,0,0,0,0
Jack Sinclair,19,37,18,29.5,0.4,0.2,0.8,100,90,80,30,10
Jack Steele,16,33,14,23.6,0.2,0.1,1.5,90,90,30,20,0
Jade Gresham,18,24,11,17.2,0.9,0.7,0.8,80,30,0,70,20
Jimmy Webster,12,20,13,15.8,0.0,0.0,0.6,70,10,0,0,0
Josh Battle,18,19,1,13.9,0.1,0.0,0.5,60,0,0,10,0
Marcus Windhager,14,30,4,16.9,0.0,0.2,0.9,70,40,20,0,0
Mason Wood,19,25,14,20.6,0.5,0.4,1.5,90,60,20,50,0
Mattaes Phillipou,19,18,7,12.5,0.3,0.4,0.8,30,0,0,30,0
Mitch Owens,18,21,7,13.2,1.0,0.6,1.5,20,10,0,40,40
Nasiah Wanganeen Milera,19,33,22,26.9,0.3,0.0,0.5,100,100,60,30,0
Rowan Marshall,19,30,13,20.3,0.3,0.2,1.7,90,40,20,30,0
Ryan Byrnes,18,19,7,14.5,0.4,0.1,0.5,60,0,0,40,0
Sebastian Ross,14,27,2,16.7,0.0,0.0,0.4,60,30,20,0,0
Tim Membrey,4,12,9,11.0,0.75,1.25,0.25,0,0,0,75,0
Zaine Cordy,9,13,1,5.67,0.78,0.0,0.44,0,0,0,67,11
Zak Jones,4,21,2,15.0,0.0,0.5,0.5,75,50,0,0,0
