Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ben Miller,13,13,2,6.5,0.6,0.2,0.4,0,0,0,50,10
Daniel Rioli,19,31,16,21.1,0.2,0.3,0.9,100,60,30,20,0
Dion Prestia,17,29,11,22.6,0.4,0.2,0.4,90,80,40,40,0
Dustin Martin,17,35,13,23.4,1.6,1.4,0.5,90,70,30,70,60
Dylan Grimes,19,14,6,9.1,0.0,0.0,0.6,0,0,0,0,0
Hugo Ralphsmith,13,17,1,9.4,0.0,0.0,0.0,30,0,0,0,0
Ivan Soldo,4,12,10,11.0,1.0,0.5,2.0,0,0,0,100,0
Jack Graham,16,21,9,16.0,0.5,0.2,0.2,60,30,0,40,10
Jack Riewoldt,18,15,5,9.0,1.1,1.4,0.4,10,0,0,60,20
Jack Ross,15,27,15,19.5,0.5,0.3,0.5,100,40,20,40,10
Jacob Bauer,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Jacob Hopper,13,32,10,22.8,0.5,0.2,1.3,90,80,30,40,10
Jayden Short,12,32,4,22.2,0.6,0.3,0.9,90,80,30,30,20
Judson Clarke,13,16,2,7.2,0.8,0.3,0.1,10,0,0,70,10
Kamdyn McIntosh,19,19,8,12.9,0.6,0.2,0.4,40,0,0,50,10
Liam Baker,19,20,11,17.0,0.7,0.8,0.3,80,40,0,50,20
Marlion Pickett,18,17,6,10.7,0.5,0.2,0.6,30,0,0,30,20
Maurice Rioli,8,11,3,6.75,0.25,0.62,0.5,0,0,0,12,12
Nathan Broad,15,24,8,16.1,0.0,0.0,0.5,60,30,0,0,0
Nick Vlastuin,17,26,15,19.6,0.2,0.0,0.7,100,60,10,20,0
Noah Balta,19,24,13,17.2,0.1,0.0,0.8,80,10,0,10,0
Noah Cumberland,8,21,2,7.38,0.88,0.75,1.25,12,12,0,50,25
Rhyan Mansell,14,13,4,9.2,0.8,0.3,1.0,0,0,0,60,20
Sam Banks,4,18,10,14.0,0.0,0.0,0.5,50,0,0,0,0
Samson Ryan,14,11,2,7.6,0.7,0.5,0.5,0,0,0,60,10
Shai Bolton,19,33,18,24.1,1.2,1.6,0.7,100,70,40,80,30
Tom J. Lynch,4,11,6,8.5,2.25,1.5,0.5,0,0,0,100,75
Thomson Dow,1,6,6,6.0,0.0,1.0,1.0,0,0,0,0,0
Tim Taranto,19,38,21,29.9,1.4,0.5,0.4,100,100,70,80,30
Toby Nankervis,11,22,11,16.6,0.2,0.1,1.2,70,20,0,20,0
Trent Cotchin,18,29,9,17.7,0.3,0.6,0.3,60,30,20,20,10
Tylar Young,15,19,1,9.5,0.0,0.0,0.4,10,0,0,0,0
Tyler Sonsie,3,15,4,11.33,0.0,0.0,0.33,67,0,0,0,0
