Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Naughton,19,15,6,11.47,1.95,1.32,1.32,11,0,0,100,53
Adam Treloar,15,35,22,29.4,0.6,0.2,1.2,100,100,80,47,13
Alex Keath,15,21,2,11.6,0.0,0.0,0.53,33,7,0,0,0
Anthony Scott,19,20,4,11.21,0.58,0.32,0.68,11,5,0,42,11
Arthur Jones,11,14,0,8.36,0.36,0.64,0.73,0,0,0,27,9
Bailey Dale,19,37,15,25.26,0.11,0.05,0.47,100,79,63,11,0
Bailey Smith,16,37,11,24.31,0.25,0.44,0.44,94,75,44,25,0
Bailey Williams,19,24,4,17.0,0.53,0.42,0.32,68,37,0,37,11
Buku Khamis,1,6,6,6.0,0.0,0.0,0.0,0,0,0,0,0
Caleb Daniel,19,35,12,24.16,0.42,0.26,0.63,95,84,42,42,0
Cody Weightman,15,17,3,10.67,2.0,1.13,1.13,7,0,0,87,47
Ed Richards,15,28,14,20.53,0.07,0.2,0.53,93,47,27,7,0
Hayden Crozier,3,22,5,12.33,0.0,0.33,1.33,33,33,0,0,0
Jack Macrae,19,33,21,26.53,0.37,0.11,1.0,100,100,63,32,5
Jamarra Ugle Hagan,19,16,7,11.47,1.37,1.68,1.0,21,0,0,63,37
Jason Johannisen,10,28,6,18.9,0.5,0.1,0.3,80,50,20,50,0
Josh Bruce,8,17,3,10.38,0.0,0.0,0.88,12,0,0,0,0
Lachlan McNeil,11,13,0,6.73,0.18,0.36,0.18,0,0,0,18,0
Laitham Vandermeer,7,15,10,12.57,0.14,0.57,0.29,29,0,0,14,0
Liam Jones,14,15,0,8.29,0.0,0.0,0.29,7,0,0,0,0
Luke Cleary,1,8,8,8.0,0.0,0.0,0.0,0,0,0,0,0
Marcus Bontempelli,19,32,19,27.26,0.79,0.68,1.11,100,95,79,53,21
Mitch Hannan,6,14,3,7.17,0.5,0.67,0.67,0,0,0,50,0
Oskar Baker,15,22,4,15.13,0.27,0.33,0.2,60,27,0,27,0
Rhylee West,8,16,4,9.5,0.38,0.25,0.5,12,0,0,38,0
Riley Garcia,3,12,9,10.33,0.33,0.0,0.33,0,0,0,33,0
Robbie McComb,3,8,2,4.33,0.33,0.0,0.33,0,0,0,33,0
Rory Lobb,16,14,4,9.31,0.88,0.75,1.0,0,0,0,62,25
Ryan Gardner,10,16,4,8.9,0.1,0.0,0.5,10,0,0,10,0
Sam Darcy,3,6,2,3.33,0.0,0.67,0.0,0,0,0,0,0
Taylor Duryea,17,19,7,12.47,0.0,0.06,0.94,12,0,0,0,0
Tom Liberatore,18,36,17,28.06,0.39,0.5,0.83,100,94,78,33,6
Tim English,19,27,10,19.58,0.58,0.21,1.79,89,58,11,47,11
