Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ben Keays,20,20,15,17.6,1.6,0.2,0.6,100,20,0,100,60
Brayden Cook,1,16,16,16.0,0.0,1.0,0.0,100,0,0,0,0
Brodie Smith,19,27,20,22.8,0.4,0.2,0.4,100,100,40,40,0
Chayce Jones,18,20,9,14.6,0.4,0.4,0.6,60,20,0,40,0
Darcy Fogarty,18,19,6,12.4,1.4,1.8,0.6,40,0,0,80,40
Harry Schoenberg,8,23,5,13.2,0.0,0.6,0.8,40,20,0,0,0
Izak Rankine,18,21,10,15.8,2.2,1.2,0.2,60,40,0,80,60
Jackson Hately,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Jake Soligo,18,16,4,12.6,0.4,0.4,0.0,60,0,0,40,0
James Borlase,1,18,18,18.0,0.0,0.0,1.0,100,0,0,0,0
Jordan Dawson,20,34,22,26.8,0.2,1.2,1.0,100,100,60,20,0
Jordon Butts,17,10,2,6.2,0.0,0.0,0.2,0,0,0,0,0
Josh Rachele,18,23,7,13.0,0.2,1.2,1.4,40,20,0,20,0
Josh Worrell,9,20,9,14.4,0.0,0.0,0.6,60,20,0,0,0
Lachlan Gollant,3,9,7,8.0,1.0,1.33,2.0,0,0,0,67,33
Lachlan Murphy,19,19,4,14.0,0.8,0.6,1.2,60,0,0,80,0
Lachlan Sholl,16,21,11,15.2,0.4,0.6,0.0,60,20,0,20,20
Luke Nankervis,3,16,9,13.33,0.0,0.0,0.0,67,0,0,0,0
Luke Pedlar,18,17,7,11.0,1.2,0.6,0.4,20,0,0,60,60
Matt Crouch,4,32,12,24.25,0.25,0.0,2.0,75,75,50,25,0
Max Michalanney,19,19,5,11.0,0.0,0.0,0.4,20,0,0,0,0
Mitchell Hinge,19,31,17,24.4,0.0,0.2,1.8,100,80,60,0,0
Nick Murray,17,16,2,9.0,0.0,0.2,0.2,20,0,0,0,0
Patrick Parnell,4,25,0,10.25,0.0,0.0,0.75,50,25,25,0,0
Riley Thilthorpe,18,15,8,10.6,0.4,1.0,0.8,20,0,0,40,0
Rory Laird,19,33,24,27.6,0.2,0.0,2.4,100,100,60,20,0
Rory Sloane,20,20,12,14.6,0.4,0.0,0.4,40,20,0,40,0
Sam Berry,4,12,5,10.0,0.0,0.25,1.0,0,0,0,0,0
Shane McAdam,5,13,7,9.2,1.4,0.6,0.2,0,0,0,100,20
Taylor Walker,19,20,8,12.4,3.4,1.8,0.8,20,20,0,100,100
Tom Doedee,11,24,1,13.6,0.0,0.0,0.4,60,20,0,0,0
Wayne Milera,19,32,16,21.4,0.0,0.0,0.4,100,40,20,0,0
