Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Brad Close,19,24,8,14.6,1.0,0.0,1.0,60,10,0,70,20
Brandan Parfitt,6,14,5,10.33,0.17,0.0,0.67,0,0,0,17,0
Cameron Guthrie,6,28,15,22.33,0.0,0.0,0.67,100,83,33,0,0
Cooper Whyte,1,1,1,1.0,0.0,0.0,0.0,0,0,0,0,0
Esava Ratugolea,14,14,4,9.5,0.0,0.0,0.8,0,0,0,0,0
Gary Rohan,14,16,5,10.2,1.2,0.9,1.0,10,0,0,70,30
Gryan Miers,20,32,12,20.7,0.5,0.5,0.5,80,60,30,40,10
Isaac Smith,19,24,17,19.9,0.5,0.6,0.4,100,50,0,40,10
Jack Bowes,14,25,3,13.3,0.2,0.3,0.6,40,30,10,20,0
Jack Henry,11,16,1,10.8,0.2,0.0,0.9,10,0,0,20,0
Jake Kolodjashnij,16,15,7,10.9,0.0,0.0,0.3,10,0,0,0,0
Jed Bews,13,15,2,9.8,0.0,0.1,0.2,10,0,0,0,0
Jeremy Cameron,18,21,0,13.6,1.3,2.0,1.1,50,20,0,80,40
Jhye Clark,1,6,6,6.0,0.0,0.0,0.0,0,0,0,0,0
Jonathon Ceglar,6,17,7,12.67,0.0,0.0,1.0,17,0,0,0,0
Mark Blicavs,19,22,5,16.5,0.6,0.4,1.0,80,10,0,50,10
Max Holmes,18,33,8,18.1,0.1,0.2,1.2,60,30,20,10,0
Mitch Duncan,14,30,18,23.1,0.4,0.4,0.7,100,90,40,40,0
Mitchell Knevitt,7,17,3,12.43,0.29,0.29,0.57,57,0,0,29,0
Oisin Mullin,5,15,1,7.8,0.0,0.2,0.2,20,0,0,0,0
Oliver Henry,19,14,5,9.5,1.9,0.8,0.6,0,0,0,100,50
Oliver Dempsey,4,11,3,5.75,0.0,0.75,0.25,0,0,0,0,0
Patrick Dangerfield,15,31,15,19.9,0.6,0.5,1.0,100,40,30,50,10
Rhys Stanley,11,18,9,11.5,0.0,0.2,1.6,20,0,0,0,0
Sam De Koning,16,17,8,12.4,0.0,0.0,0.6,40,0,0,0,0
Sam Simpson,6,14,2,9.17,1.17,0.5,0.33,0,0,0,67,50
Tanner Bruhn,17,23,11,17.2,0.3,0.1,0.9,80,20,0,20,10
Tom Stewart,19,31,18,24.0,0.1,0.0,1.2,100,80,60,10,0
Tom Atkins,20,28,12,20.0,0.0,0.0,1.3,90,50,20,0,0
Tom Hawkins,19,16,5,10.6,2.1,1.4,0.4,10,0,0,90,70
Tyson Stengle,16,16,7,12.2,1.6,0.5,0.8,40,0,0,90,30
Zach Guthrie,20,26,10,17.7,0.1,0.1,0.2,70,40,10,10,0
Zach Tuohy,18,28,15,19.2,0.1,0.6,0.3,100,30,10,10,0
