Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Bailey Macdonald,1,10,10,10.0,0.0,0.0,1.0,0,0,0,0,0
Blake Hardwick,20,38,12,20.6,0.0,0.1,0.3,90,40,30,0,0
Cam Mackenzie,14,22,3,12.0,0.3,0.3,0.1,30,10,0,20,10
Chad Wingard,13,26,8,17.4,0.8,0.4,1.0,80,20,20,40,30
Changkuoth Jiath,8,21,11,17.0,0.12,0.0,0.75,88,25,0,12,0
Connor Macdonald,18,28,5,18.2,0.7,0.5,0.7,80,40,20,60,10
Conor Nash,20,32,18,24.5,0.0,0.2,1.0,100,80,50,0,0
Denver Grainger Barras,5,9,0,4.4,0.4,0.0,0.6,0,0,0,40,0
Dylan Moore,20,31,13,20.8,0.9,0.6,1.3,90,60,30,70,20
Fergus Greene,11,11,4,8.3,1.4,1.0,0.5,0,0,0,60,60
Finn Maginness,10,19,5,10.6,0.1,0.2,0.3,20,0,0,10,0
Harry Morrison,10,24,4,18.4,0.2,0.2,0.3,90,40,0,10,10
Jack Scrimshaw,13,31,10,18.6,0.1,0.0,0.4,80,30,10,10,0
Jacob Koschitzke,9,11,4,7.67,0.78,0.89,1.11,0,0,0,44,22
Jai Newcombe,20,33,19,25.8,0.3,0.3,1.9,100,90,60,30,0
James Blanck,12,11,1,5.9,0.0,0.0,0.5,0,0,0,0,0
James Sicily,16,43,17,28.7,0.1,0.1,1.3,100,90,80,10,0
James Worpel,20,35,23,27.9,0.3,0.5,0.8,100,100,70,30,0
Jarman Impey,19,33,7,22.4,0.3,0.3,0.7,80,60,50,30,0
Josh Ward,13,28,15,21.2,0.2,0.1,0.8,100,80,20,10,10
Josh Weddle,14,25,10,18.1,0.1,0.0,0.5,80,30,10,10,0
Karl Amon,18,33,18,23.4,0.2,0.1,0.5,100,70,40,20,0
Lachlan Bramble,11,24,7,16.4,0.1,0.3,0.3,60,40,0,10,0
Lloyd Meek,15,18,2,10.2,0.2,0.0,0.7,10,0,0,20,0
Luke Breust,18,16,7,10.9,3.0,1.0,0.8,20,0,0,100,90
Max Lynch,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Max Ramsden,1,6,6,6.0,0.0,0.0,0.0,0,0,0,0,0
Mitch Lewis,14,20,8,12.3,2.5,1.2,0.6,30,10,0,90,90
Ned Long,3,10,3,7.33,0.33,0.33,0.0,0,0,0,33,0
Ned Reeves,18,10,5,8.0,0.1,0.0,1.2,0,0,0,10,0
Sam Frost,18,19,7,11.3,0.0,0.1,0.2,20,0,0,0,0
Seamus Mitchell,14,27,5,17.6,0.0,0.0,0.6,80,50,10,0,0
Tyler Brockman,15,17,8,11.4,0.7,0.6,0.3,30,0,0,50,20
Will Day,18,30,18,25.5,0.2,0.4,1.2,100,90,70,10,10
