Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alwyn Davey,10,12,1,7.5,0.4,0.2,0.4,0,0,0,40,0
Andrew McGrath,20,31,16,22.8,0.0,0.1,0.3,100,70,40,0,0
Anthony McDonald Tipungwuti,6,13,4,7.67,0.67,0.83,0.17,0,0,0,67,0
Archie Perkins,20,24,8,16.0,0.5,0.5,1.0,70,10,0,40,10
Ben Hobbs,15,26,12,20.3,0.4,0.3,1.8,90,70,10,30,10
Brandon Zerk Thatcher,19,18,8,12.6,0.0,0.0,0.6,30,0,0,0,0
Darcy Parish,15,39,24,30.2,0.2,0.5,1.0,100,100,70,20,0
Dylan Shiel,12,28,2,17.4,0.4,0.1,0.4,70,40,20,20,20
Dyson Heppell,19,25,20,23.1,0.0,0.0,1.0,100,100,30,0,0
Elijah Tsatas,1,14,14,14.0,0.0,1.0,0.0,0,0,0,0,0
Jake Kelly,15,21,11,14.2,0.1,0.0,0.6,40,10,0,10,0
Jake Stringer,16,18,8,13.0,0.8,1.1,0.5,40,0,0,80,0
Jayden Laverde,16,27,10,15.3,0.1,0.0,1.5,60,20,10,10,0
Jordan Ridley,17,32,4,20.7,0.0,0.1,0.5,90,60,30,0,0
Jye Caldwell,20,27,11,20.0,0.5,0.3,1.4,70,70,30,40,10
Jye Menzie,18,12,5,8.5,1.2,0.4,0.4,0,0,0,80,40
Kaine Baldwin,2,14,13,13.5,0.0,0.0,0.5,0,0,0,0,0
Kyle Langford,20,16,7,12.1,2.8,0.9,0.6,20,0,0,100,70
Mason Redman,20,31,13,21.9,0.3,0.1,0.7,90,70,20,30,0
Matt Guelfi,11,18,7,11.9,1.1,0.4,1.2,20,0,0,80,30
Nic Martin,20,31,16,22.6,0.7,0.1,0.9,100,60,40,50,20
Nick Bryan,6,15,4,9.0,0.17,0.33,0.5,17,0,0,17,0
Nick Hind,13,31,8,18.5,0.1,0.0,0.3,70,60,10,10,0
Nik Cox,3,15,7,11.67,0.0,0.67,0.33,33,0,0,0,0
Peter Wright,8,19,6,10.12,2.12,1.12,0.75,12,0,0,75,50
Sam Draper,13,16,7,12.0,0.8,0.9,1.2,30,0,0,60,10
Sam Durham,19,22,10,15.6,0.2,0.0,0.4,70,10,0,20,0
Sam Weideman,15,14,4,8.6,0.4,1.1,0.5,0,0,0,20,20
Will Setterfield,9,28,16,21.56,0.22,0.33,0.78,100,67,22,22,0
Will Snelling,13,19,7,12.6,0.5,0.0,0.6,10,0,0,40,10
Zach Merrett,19,39,18,29.3,0.6,0.2,2.4,100,80,70,50,10
