Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Hall,6,30,15,23.33,0.0,0.0,0.33,100,83,50,0,0
Aidan Corr,16,27,8,15.4,0.0,0.0,0.6,50,20,10,0,0
Aiden Bonar,2,15,9,12.0,0.0,0.0,0.0,50,0,0,0,0
Bailey Scott,20,34,12,24.1,0.4,0.3,0.4,90,80,30,40,0
Ben Cunnington,8,27,7,19.25,0.12,0.25,0.88,75,62,25,12,0
Ben McKay,16,19,5,13.5,0.0,0.0,0.4,40,0,0,0,0
Blake Drury,3,13,6,8.67,0.0,0.33,0.67,0,0,0,0,0
Callum Coleman Jones,9,16,3,9.11,0.44,0.33,0.56,11,0,0,22,22
Cameron Zurhaar,16,25,10,15.7,1.2,1.1,1.4,50,20,10,60,30
Charlie Comben,7,13,1,7.86,0.57,1.14,1.0,0,0,0,43,14
Charlie Lazzaro,4,15,1,6.25,0.0,0.0,0.0,25,0,0,0,0
Cooper Harvey,3,13,5,9.33,0.33,0.0,0.33,0,0,0,33,0
Curtis Taylor,13,18,10,14.3,0.4,0.4,1.0,50,0,0,40,0
Daniel Howe,9,23,8,15.0,0.11,0.11,0.67,44,22,0,11,0
Darcy Tucker,15,24,3,16.4,0.3,0.1,0.2,70,30,0,30,0
Eddie Ford,11,19,9,12.6,0.7,0.1,0.5,20,0,0,50,10
Flynn Perez,3,16,7,12.33,0.33,0.0,0.33,33,0,0,33,0
George Wardlaw,7,22,5,14.71,0.14,0.14,1.29,57,29,0,14,0
Griffin Logue,15,17,1,11.8,0.1,0.1,0.4,30,0,0,10,0
Harry Sheezel,20,32,15,24.8,0.0,0.3,0.4,100,80,50,0,0
Hugh Greenwood,12,25,7,14.5,0.2,0.2,0.5,40,30,10,10,10
Jack Mahony,2,16,9,12.5,0.0,0.0,0.0,50,0,0,0,0
Jack Ziebell,20,32,4,18.7,0.1,0.2,0.7,70,50,20,10,0
Jackson Archer,4,11,4,8.5,0.0,0.0,1.5,0,0,0,0,0
Jaidyn Stephenson,20,14,7,10.5,0.9,0.6,0.2,0,0,0,50,30
Josh Goater,7,20,5,13.14,0.0,0.14,0.57,57,14,0,0,0
Jy Simpkin,15,28,3,18.7,0.5,0.1,1.2,70,60,30,40,10
Kayne Turner,9,15,5,8.56,0.22,0.22,0.33,11,0,0,22,0
Lachie Young,4,17,9,13.0,0.0,0.25,0.5,25,0,0,0,0
Liam Shiels,16,29,11,19.8,0.1,0.2,0.7,80,40,30,10,0
Luke Davies Uniacke,13,33,20,26.3,0.5,0.4,1.0,100,100,70,40,10
Luke McDonald,20,25,5,17.3,0.1,0.0,1.1,70,30,20,10,0
Miller Bergman,11,18,4,11.1,0.0,0.0,0.5,20,0,0,0,0
Nick Larkey,20,13,5,9.8,2.6,1.3,1.1,0,0,0,100,80
Paul Curtis,18,15,2,9.0,0.9,0.6,0.4,10,0,0,50,20
Phoenix Spicer,6,10,2,6.5,0.17,0.33,0.67,0,0,0,17,0
Tarryn Thomas,9,24,10,18.44,1.0,0.11,0.78,67,44,0,44,33
Todd Goldstein,17,24,4,14.7,0.4,0.1,1.5,60,10,0,30,10
Tom Powell,12,21,8,14.7,0.6,0.2,0.2,60,20,0,50,10
Tristan Xerri,6,19,5,12.17,0.5,0.0,1.67,17,0,0,33,17
Will Phillips,14,29,8,19.0,0.1,0.1,0.6,90,40,20,10,0
