Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Hall,6,30,15,23.33,0.0,0.0,0.33,100,83,50,0,0
Aidan Corr,16,27,6,15.0,0.0,0.0,0.75,50,19,6,0,0
Aiden Bonar,2,15,9,12.0,0.0,0.0,0.0,50,0,0,0,0
Bailey Scott,20,34,11,21.1,0.25,0.25,0.25,85,55,20,25,0
Ben Cunnington,8,27,7,19.25,0.12,0.25,0.88,75,62,25,12,0
Ben McKay,16,19,5,12.38,0.0,0.0,0.44,31,0,0,0,0
Blake Drury,3,13,6,8.67,0.0,0.33,0.67,0,0,0,0,0
Callum Coleman Jones,9,16,3,9.11,0.44,0.33,0.56,11,0,0,22,22
Cameron Zurhaar,16,26,9,16.12,1.25,1.19,1.25,56,25,12,62,38
Charlie Comben,7,13,1,7.86,0.57,1.14,1.0,0,0,0,43,14
Charlie Lazzaro,4,15,1,6.25,0.0,0.0,0.0,25,0,0,0,0
Cooper Harvey,3,13,5,9.33,0.33,0.0,0.33,0,0,0,33,0
Curtis Taylor,13,18,10,14.23,0.54,0.46,0.85,46,0,0,46,8
Daniel Howe,9,23,8,15.0,0.11,0.11,0.67,44,22,0,11,0
Darcy Tucker,15,24,3,16.2,0.33,0.13,0.33,73,27,0,33,0
Eddie Ford,11,21,9,13.36,0.73,0.09,0.55,27,9,0,55,9
Flynn Perez,3,16,7,12.33,0.33,0.0,0.33,33,0,0,33,0
George Wardlaw,7,22,5,14.71,0.14,0.14,1.29,57,29,0,14,0
Griffin Logue,15,17,1,12.47,0.07,0.07,0.4,33,0,0,7,0
Harry Sheezel,20,37,11,26.2,0.15,0.3,0.5,95,85,65,10,5
Hugh Greenwood,12,25,7,14.5,0.17,0.17,0.58,42,25,8,8,8
Jack Mahony,2,16,9,12.5,0.0,0.0,0.0,50,0,0,0,0
Jack Ziebell,20,36,4,21.9,0.05,0.1,1.1,85,70,35,5,0
Jackson Archer,4,11,4,8.5,0.0,0.0,1.5,0,0,0,0,0
Jaidyn Stephenson,20,14,5,10.65,1.2,0.5,0.3,0,0,0,60,40
Josh Goater,7,20,5,13.14,0.0,0.14,0.57,57,14,0,0,0
Jy Simpkin,15,29,3,20.13,0.47,0.07,1.13,73,67,40,40,7
Kayne Turner,9,15,5,8.56,0.22,0.22,0.33,11,0,0,22,0
Lachie Young,4,17,9,13.0,0.0,0.25,0.5,25,0,0,0,0
Liam Shiels,16,29,3,17.69,0.19,0.19,0.75,69,25,19,19,0
Luke Davies Uniacke,13,33,20,27.31,0.54,0.46,1.38,100,100,77,46,8
Luke McDonald,20,25,5,18.35,0.05,0.0,0.8,85,40,10,5,0
Miller Bergman,11,18,4,11.27,0.0,0.0,0.64,18,0,0,0,0
Nick Larkey,20,14,4,8.75,2.55,0.95,1.05,0,0,0,95,75
Paul Curtis,18,17,2,9.11,0.78,0.67,0.39,11,0,0,50,17
Phoenix Spicer,6,10,2,6.5,0.17,0.33,0.67,0,0,0,17,0
Tarryn Thomas,9,24,10,18.44,1.0,0.11,0.78,67,44,0,44,33
Todd Goldstein,17,24,4,14.12,0.24,0.12,1.76,53,6,0,18,6
Tom Powell,12,24,8,15.83,0.58,0.25,0.17,67,25,0,50,8
Tristan Xerri,6,19,5,12.17,0.5,0.0,1.67,17,0,0,33,17
Will Phillips,14,29,8,18.5,0.21,0.14,0.86,93,29,14,21,0
