Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Anthony Caminiti,17,13,5,8.76,1.12,0.47,0.82,0,0,0,76,35
Ben Paton,12,21,6,13.5,0.0,0.0,0.75,42,8,0,0,0
Brad Crouch,20,34,18,27.8,0.35,0.25,0.95,100,90,80,20,10
Bradley Hill,18,31,4,20.0,0.22,0.17,0.67,89,61,17,17,6
Callum Wilkie,20,28,8,20.15,0.0,0.05,0.8,95,60,5,0,0
Cooper Sharman,12,18,3,8.75,0.83,0.33,0.5,8,0,0,58,17
Dan Butler,20,17,6,11.1,1.5,0.55,1.0,10,0,0,70,50
Dougal Howard,18,18,7,12.83,0.0,0.06,0.44,33,0,0,0,0
Hunter Clark,15,27,1,19.4,0.27,0.13,0.93,80,60,27,27,0
Jack Billings,3,18,12,15.0,0.33,1.0,0.33,67,0,0,33,0
Jack Bytel,6,15,3,7.83,0.17,0.17,0.33,17,0,0,17,0
Jack Higgins,18,22,8,13.28,1.78,1.17,1.06,28,6,0,89,50
Jack Peris,1,13,13,13.0,0.0,0.0,1.0,0,0,0,0,0
Jack Sinclair,20,37,18,28.35,0.3,0.15,0.7,100,95,75,25,5
Jack Steele,17,33,11,23.06,0.24,0.12,1.29,88,82,35,24,0
Jade Gresham,19,24,7,17.0,0.89,0.63,0.74,79,32,0,63,26
Jimmy Webster,13,20,13,15.77,0.0,0.0,0.54,69,8,0,0,0
Josh Battle,19,24,1,14.47,0.05,0.0,0.74,63,5,0,5,0
Marcus Windhager,15,30,4,15.2,0.13,0.27,0.73,47,27,13,13,0
Mason Wood,20,36,14,21.75,0.7,0.45,1.25,95,65,20,60,10
Mattaes Phillipou,20,19,7,13.15,0.5,0.4,0.6,35,0,0,40,5
Mitch Owens,19,27,7,15.05,1.21,0.79,1.79,47,16,5,58,47
Nasiah Wanganeen Milera,20,33,15,23.55,0.15,0.1,0.4,100,75,35,15,0
Rowan Marshall,20,30,10,19.55,0.25,0.35,1.85,85,45,20,25,0
Ryan Byrnes,19,27,7,16.79,0.26,0.21,0.53,68,32,5,26,0
Sebastian Ross,14,30,2,19.36,0.07,0.0,0.57,71,50,29,7,0
Tim Membrey,4,12,9,11.0,0.75,1.25,0.25,0,0,0,75,0
Zaine Cordy,10,13,1,5.8,0.7,0.0,0.4,0,0,0,60,10
Zak Jones,4,21,2,15.0,0.0,0.5,0.5,75,50,0,0,0
