Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ben Keays,21,19,15,17.0,1.67,0.67,1.0,100,0,0,100,67
Brayden Cook,1,16,16,16.0,0.0,1.0,0.0,100,0,0,0,0
Brodie Smith,20,26,16,20.67,0.0,0.33,0.33,100,67,33,0,0
Chayce Jones,18,15,9,12.33,0.0,0.67,0.33,33,0,0,0,0
Darcy Fogarty,19,19,10,15.67,1.67,1.67,0.0,67,0,0,67,67
Harry Schoenberg,9,21,14,16.67,0.33,0.67,0.67,67,33,0,33,0
Izak Rankine,18,20,10,13.67,1.67,1.67,0.0,33,33,0,67,67
Jackson Hately,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Jake Soligo,19,20,16,17.33,0.33,0.67,0.33,100,33,0,33,0
James Borlase,2,18,3,10.5,0.0,0.0,0.5,50,0,0,0,0
Jordan Dawson,21,34,23,27.0,0.33,1.33,2.0,100,100,33,33,0
Jordon Butts,17,10,2,6.67,0.0,0.0,0.33,0,0,0,0,0
Josh Rachele,19,9,7,7.67,0.67,0.67,1.33,0,0,0,67,0
Josh Worrell,10,20,9,14.0,0.0,0.0,0.33,33,33,0,0,0
Lachlan Gollant,3,9,7,8.0,1.0,1.33,2.0,0,0,0,67,33
Lachlan Murphy,20,17,12,15.33,0.67,0.33,1.0,67,0,0,67,0
Lachlan Sholl,16,21,11,16.0,0.0,0.67,0.0,67,33,0,0,0
Luke Nankervis,4,15,9,12.67,0.0,0.0,0.0,33,0,0,0,0
Luke Pedlar,19,12,7,9.67,1.33,1.0,0.67,0,0,0,67,67
Matt Crouch,5,33,31,32.0,0.33,0.0,3.33,100,100,100,33,0
Max Michalanney,20,19,8,12.67,0.0,0.0,0.33,33,0,0,0,0
Mitchell Hinge,20,31,17,23.33,0.0,0.33,2.33,100,67,33,0,0
Nick Murray,17,16,9,12.33,0.0,0.33,0.33,33,0,0,0,0
Patrick Parnell,4,25,0,13.67,0.0,0.0,0.67,67,33,33,0,0
Riley Thilthorpe,19,15,7,11.0,0.33,1.67,0.33,33,0,0,33,0
Rory Laird,20,34,24,28.0,0.0,0.67,2.33,100,100,67,0,0
Rory Sloane,21,13,12,12.33,0.33,0.33,1.0,0,0,0,33,0
Sam Berry,4,12,5,9.33,0.0,0.0,1.0,0,0,0,0,0
Shane McAdam,6,13,8,10.33,2.67,0.67,0.33,0,0,0,100,67
Taylor Walker,20,20,13,17.33,3.67,2.67,1.67,67,33,0,100,100
Tom Doedee,11,17,1,9.0,0.0,0.0,0.0,33,0,0,0,0
Wayne Milera,20,32,19,26.33,0.0,0.0,0.33,100,67,67,0,0
