Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ash Johnson,15,11,6,8.0,2.0,0.33,0.67,0,0,0,67,67
Beau McCreery,21,11,10,10.33,1.33,1.0,0.33,0,0,0,100,33
Billy Frampton,13,13,3,7.0,0.67,0.0,0.0,0,0,0,67,0
Brayden Maynard,20,26,16,21.33,0.0,0.67,0.67,100,67,33,0,0
Brody Mihocek,19,12,8,9.67,1.67,1.0,0.67,0,0,0,33,33
Daniel McStay,10,13,6,9.33,2.0,1.0,0.33,0,0,0,100,100
Darcy Cameron,14,12,6,9.67,0.33,0.0,1.67,0,0,0,33,0
Darcy Moore,21,16,3,10.33,0.0,0.0,0.33,33,0,0,0,0
Harvey Harrison,4,12,2,7.67,0.67,0.0,0.0,0,0,0,67,0
Isaac Quaynor,21,22,7,15.67,0.0,0.33,0.67,67,33,0,0,0
Jack Crisp,21,27,20,23.33,0.0,0.33,0.67,100,100,33,0,0
Jack Ginnivan,9,15,9,11.33,0.67,0.67,0.33,33,0,0,33,33
Jamie Elliott,19,11,11,11.0,1.67,2.0,0.67,0,0,0,67,67
Jeremy Howe,9,17,9,13.33,1.67,0.33,0.67,33,0,0,67,67
John Noble,21,22,16,18.33,0.0,0.0,0.33,100,33,0,0,0
Jordan De Goey,17,25,17,20.67,1.0,0.0,0.33,100,67,33,67,33
Josh Carmichael,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Josh Daicos,21,38,19,28.0,0.33,0.0,1.33,100,67,67,33,0
Mason Cox,14,8,3,5.67,0.33,0.33,0.33,0,0,0,33,0
Nathan Kreuger,2,5,2,3.5,0.0,0.0,0.0,0,0,0,0,0
Nathan Murphy,20,13,9,10.67,0.0,0.0,0.67,0,0,0,0,0
Nick Daicos,20,28,5,19.33,0.67,0.67,1.0,67,67,67,67,0
Patrick Lipinski,9,25,18,21.33,0.0,0.0,0.67,100,67,33,0,0
Reef McInnes,5,7,2,4.33,0.0,0.0,0.0,0,0,0,0,0
Scott Pendlebury,20,23,20,21.33,0.67,0.0,0.67,100,100,0,67,0
Steele Sidebottom,15,26,19,22.0,0.33,0.0,0.67,100,67,33,33,0
Taylor Adams,20,22,12,15.67,0.67,0.67,0.67,33,33,0,67,0
Tom Mitchell,21,24,11,18.67,0.0,0.0,1.33,67,67,0,0,0
Tom Wilson,1,5,5,5.0,0.0,0.0,0.0,0,0,0,0,0
Trent Bianco,1,9,9,9.0,0.0,0.0,0.0,0,0,0,0,0
Trey Ruscoe,1,11,11,11.0,0.0,0.0,1.0,0,0,0,0,0
Will Hoskin Elliott,18,15,2,6.67,0.0,0.0,0.0,33,0,0,0,0
Will Kelly,2,8,5,6.5,0.0,0.0,0.0,0,0,0,0,0
