Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aliir Aliir,20,16,10,12.7,0.0,0.0,0.4,20,0,0,0,0
Brynn Teakle,4,14,7,10.25,0.25,0.5,1.25,0,0,0,25,0
Charlie Dixon,13,18,7,12.7,1.3,0.6,0.7,40,0,0,70,40
Connor Rozee,21,29,23,26.6,1.1,1.0,0.9,100,100,80,60,40
Dan Houston,21,41,9,25.3,0.5,0.0,0.5,90,80,60,40,10
Dante Visentini,3,10,4,7.33,0.0,0.0,1.33,0,0,0,0,0
Darcy Byrne Jones,19,17,7,12.1,0.8,1.0,0.5,30,0,0,70,10
Dylan Williams,18,22,3,15.2,0.0,0.1,0.3,80,10,0,0,0
Francis Evans,9,14,2,7.33,0.78,0.44,0.22,0,0,0,33,22
Jackson Mead,7,10,4,7.43,0.29,0.14,0.43,0,0,0,29,0
Jase Burgoyne,5,15,2,8.8,0.0,0.0,0.2,20,0,0,0,0
Jason Horne Francis,20,27,10,17.2,1.0,0.6,1.8,60,30,10,70,20
Jed McEntee,18,12,4,8.2,0.6,0.0,0.4,0,0,0,50,10
Jeremy Finlayson,18,17,8,12.7,2.0,1.9,0.5,30,0,0,90,50
Josh Sinn,3,7,4,5.33,0.0,0.33,0.0,0,0,0,0,0
Kane Farrell,18,25,9,17.2,0.1,0.1,0.3,80,30,10,10,0
Lachie Jones,11,19,1,10.6,0.1,0.1,0.4,20,0,0,10,0
Miles Bergman,20,17,6,11.5,0.3,0.3,0.6,20,0,0,10,10
Mitch Georgiades,2,14,13,13.5,1.0,2.5,1.0,0,0,0,100,0
Ollie Wines,21,29,13,21.1,0.3,0.2,1.3,80,60,30,30,0
Ollie Lord,9,10,3,7.89,0.78,0.89,0.89,0,0,0,67,11
Orazio Fantasia,3,9,5,7.67,0.67,1.67,0.67,0,0,0,67,0
Riley Bonner,11,20,2,12.7,0.2,0.7,0.1,40,10,0,10,10
Ryan Burton,18,25,7,15.4,0.4,0.4,1.2,50,30,10,40,0
Sam Hayes,2,13,10,11.5,0.0,0.0,1.5,0,0,0,0,0
Sam Powell Pepper,21,18,8,12.5,1.2,1.1,0.8,20,0,0,70,40
Scott Lycett,12,18,2,10.9,0.0,0.0,2.2,10,0,0,0,0
Tom Jonas,11,10,2,6.9,0.1,0.0,0.8,0,0,0,10,0
Todd Marshall,18,16,6,10.5,2.1,0.9,0.8,20,0,0,80,70
Tom Clurey,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0
Travis Boak,17,26,7,15.3,0.4,0.0,0.7,50,20,10,40,0
Trent McKenzie,17,13,2,8.1,0.0,0.0,0.2,0,0,0,0,0
Willem Drew,21,27,12,17.0,0.1,0.4,0.7,60,20,10,10,0
Willie Rioli,15,15,7,11.1,2.0,0.9,0.6,10,0,0,80,70
Xavier Duursma,12,22,5,14.5,0.5,0.0,1.2,40,20,0,50,0
Zak Butters,21,34,17,27.1,0.6,0.3,1.2,100,90,70,60,0
