Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aliir Aliir,20,16,7,11.75,0.0,0.0,0.8,20,0,0,0,0
Brynn Teakle,4,14,7,10.25,0.25,0.5,1.25,0,0,0,25,0
Charlie Dixon,13,18,7,12.77,1.69,0.92,0.77,31,0,0,77,54
Connor Rozee,21,31,19,25.81,0.9,0.62,1.19,100,90,71,62,24
Dan Houston,21,41,9,23.52,0.38,0.14,0.71,95,76,43,33,5
Dante Visentini,3,10,4,7.33,0.0,0.0,1.33,0,0,0,0,0
Darcy Byrne Jones,19,27,5,13.47,0.74,0.74,0.53,42,5,5,53,21
Dylan Williams,18,24,3,15.5,0.0,0.06,0.44,72,17,0,0,0
Francis Evans,9,14,2,7.33,0.78,0.44,0.22,0,0,0,33,22
Jackson Mead,7,10,4,7.43,0.29,0.14,0.43,0,0,0,29,0
Jase Burgoyne,5,15,2,8.8,0.0,0.0,0.2,20,0,0,0,0
Jason Horne Francis,20,27,10,18.05,0.7,0.45,1.65,75,35,15,55,10
Jed McEntee,18,13,4,8.94,0.72,0.11,0.5,0,0,0,61,11
Jeremy Finlayson,18,20,8,13.33,2.0,1.83,0.72,39,6,0,83,56
Josh Sinn,3,7,4,5.33,0.0,0.33,0.0,0,0,0,0,0
Kane Farrell,18,25,9,16.0,0.11,0.17,0.44,67,22,6,11,0
Lachie Jones,11,19,1,10.73,0.36,0.09,0.36,18,0,0,18,9
Miles Bergman,20,23,6,13.55,0.15,0.35,0.75,40,15,0,5,5
Mitch Georgiades,2,14,13,13.5,1.0,2.5,1.0,0,0,0,100,0
Ollie Wines,21,29,13,22.29,0.29,0.24,1.19,90,76,38,29,0
Ollie Lord,9,10,3,7.89,0.78,0.89,0.89,0,0,0,67,11
Orazio Fantasia,3,9,5,7.67,0.67,1.67,0.67,0,0,0,67,0
Riley Bonner,11,20,2,12.91,0.18,0.64,0.09,45,9,0,9,9
Ryan Burton,18,25,7,15.22,0.44,0.33,0.89,50,28,6,39,6
Sam Hayes,2,13,10,11.5,0.0,0.0,1.5,0,0,0,0,0
Sam Powell Pepper,21,21,7,13.62,1.19,1.19,0.76,33,10,0,76,33
Scott Lycett,12,18,2,11.0,0.0,0.0,2.0,8,0,0,0,0
Tom Jonas,11,12,2,7.36,0.09,0.0,0.82,0,0,0,9,0
Todd Marshall,18,16,0,9.22,1.78,0.78,0.67,11,0,0,78,56
Tom Clurey,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0
Travis Boak,17,30,7,16.47,0.41,0.24,0.65,59,29,12,41,0
Trent McKenzie,17,16,2,9.53,0.0,0.0,0.29,6,0,0,0,0
Willem Drew,21,27,10,17.05,0.19,0.38,0.81,67,29,10,19,0
Willie Rioli,15,16,6,10.8,1.6,0.93,0.6,13,0,0,67,53
Xavier Duursma,12,22,5,15.0,0.42,0.0,1.0,42,25,0,42,0
Zak Butters,21,41,15,27.24,0.57,0.33,1.43,100,86,71,52,5
