Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Davies,8,17,9,13.33,0.0,0.0,0.33,33,0,0,0,0
Alex Sexton,6,8,3,4.67,0.0,0.33,0.0,0,0,0,0,0
Bailey Humphrey,18,16,11,13.0,0.0,0.67,0.0,33,0,0,0,0
Ben Ainsworth,19,20,17,18.67,0.67,1.0,0.67,100,33,0,33,33
Ben King,20,9,4,6.67,2.33,1.0,0.33,0,0,0,67,67
Ben Long,15,12,6,8.33,0.0,0.0,0.33,0,0,0,0,0
Bodhi Uwland,3,20,0,8.33,0.0,0.0,0.67,33,33,0,0,0
Brandon Ellis,14,23,15,19.67,1.0,0.0,0.0,100,67,0,100,0
Brayden Fiorini,15,21,6,15.33,0.0,0.33,0.33,67,33,0,0,0
Charlie Ballard,21,13,7,10.33,0.0,0.0,1.0,0,0,0,0,0
Charlie Constable,2,26,19,22.5,0.0,0.0,0.5,100,50,50,0,0
Darcy Macpherson,21,17,15,15.67,0.67,0.33,0.33,100,0,0,67,0
David Swallow,21,23,11,16.67,0.0,0.33,0.0,67,33,0,0,0
Elijah Hollands,9,12,7,9.0,0.0,0.0,0.67,0,0,0,0,0
Hewago Paul Oea,8,16,2,8.67,0.67,0.0,0.0,33,0,0,67,0
Jack Lukosius,21,14,10,11.67,1.33,0.33,0.0,0,0,0,67,67
James Tsitas,4,8,4,5.67,1.0,0.0,0.0,0,0,0,67,33
Jarrod Witts,19,19,14,16.67,0.0,0.0,0.33,67,0,0,0,0
Joel Jeffrey,7,15,6,11.67,0.33,0.0,0.33,33,0,0,33,0
Jy Farrar,9,11,2,6.33,0.33,0.0,1.0,0,0,0,33,0
Lachie Weller,9,19,12,15.0,0.0,0.33,1.0,33,0,0,0,0
Levi Casboult,18,13,9,11.33,2.0,1.0,0.0,0,0,0,100,100
Mabior Chol,6,7,3,5.0,1.33,0.67,0.33,0,0,0,67,67
Mac Andrew,15,15,8,12.33,0.0,0.0,1.33,33,0,0,0,0
Malcolm Rosas,17,11,8,9.33,1.33,0.67,0.33,0,0,0,67,33
Matt Rowell,21,25,16,20.0,0.67,0.0,1.0,100,33,33,67,0
Ned Moyle,2,5,4,4.5,0.0,0.0,0.0,0,0,0,0,0
Nick Holman,19,9,6,7.67,0.33,0.33,0.67,0,0,0,33,0
Noah Anderson,21,29,22,24.33,0.67,0.67,0.67,100,100,33,67,0
Rory Atkins,15,28,22,25.0,0.0,0.0,0.67,100,100,67,0,0
Sam Day,3,10,2,6.33,0.33,0.33,0.33,0,0,0,33,0
Sam Flanders,12,32,23,27.33,0.33,0.0,1.0,100,100,67,33,0
Sam Collins,21,15,8,11.33,0.0,0.0,0.67,33,0,0,0,0
Sean Lemmens,9,10,6,8.0,0.0,0.0,0.67,0,0,0,0,0
Thomas Berry,6,9,1,6.0,0.0,0.67,0.0,0,0,0,0,0
Touk Miller,11,29,19,23.33,0.33,0.0,0.33,100,67,33,33,0
Wil Powell,18,28,20,23.0,0.0,0.33,2.33,100,100,33,0,0
