Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Davies,8,19,9,13.38,0.0,0.25,0.75,38,0,0,0,0
Alex Sexton,6,8,3,4.17,0.5,0.5,0.17,0,0,0,50,0
Bailey Humphrey,18,26,1,12.67,0.61,0.67,0.61,33,11,6,50,11
Ben Ainsworth,19,27,8,16.89,1.0,0.79,0.63,63,26,5,68,32
Ben King,20,15,1,7.9,2.0,1.05,1.2,5,0,0,80,60
Ben Long,15,19,6,11.4,0.0,0.07,0.27,13,0,0,0,0
Bodhi Uwland,3,20,0,8.33,0.0,0.0,0.67,33,33,0,0,0
Brandon Ellis,14,25,11,17.71,0.43,0.36,0.29,79,36,7,43,0
Brayden Fiorini,15,35,6,17.2,0.2,0.47,0.6,67,40,7,20,0
Charlie Ballard,21,24,6,13.29,0.05,0.0,0.67,38,5,0,5,0
Charlie Constable,2,26,19,22.5,0.0,0.0,0.5,100,50,50,0,0
Darcy Macpherson,21,31,12,19.86,0.14,0.1,0.86,90,48,19,14,0
David Swallow,21,25,10,16.95,0.43,0.24,0.67,76,29,5,29,10
Elijah Hollands,9,19,7,12.67,0.33,0.22,0.33,44,0,0,22,11
Hewago Paul Oea,8,16,2,8.88,0.38,0.12,0.25,12,0,0,38,0
Jack Lukosius,21,20,8,13.43,1.81,1.05,0.71,33,5,0,76,48
James Tsitas,4,8,2,4.75,0.75,0.0,0.0,0,0,0,50,25
Jarrod Witts,19,25,6,14.0,0.21,0.11,1.58,42,5,5,21,0
Joel Jeffrey,7,15,5,9.57,0.71,0.57,0.57,14,0,0,71,0
Jy Farrar,9,18,2,8.56,0.11,0.11,1.11,11,0,0,11,0
Lachie Weller,9,30,12,21.56,0.0,0.22,0.44,78,56,33,0,0
Levi Casboult,18,18,3,9.94,1.22,0.61,0.5,6,0,0,67,44
Mabior Chol,6,13,3,7.0,1.17,1.0,0.5,0,0,0,67,50
Mac Andrew,15,16,5,11.0,0.0,0.0,0.6,27,0,0,0,0
Malcolm Rosas,17,15,3,9.06,0.88,1.0,0.53,6,0,0,47,18
Matt Rowell,21,29,12,20.67,0.33,0.1,1.76,90,57,24,29,5
Ned Moyle,2,5,4,4.5,0.0,0.0,0.0,0,0,0,0,0
Nick Holman,19,19,6,12.26,0.68,0.42,0.68,32,0,0,53,16
Noah Anderson,21,38,17,26.95,0.67,0.67,0.57,100,90,76,52,14
Rory Atkins,15,32,6,20.8,0.13,0.2,0.47,80,67,40,7,7
Sam Day,3,10,2,6.33,0.33,0.33,0.33,0,0,0,33,0
Sam Flanders,12,33,7,22.83,0.25,0.25,0.75,75,67,50,17,8
Sam Collins,21,17,8,12.29,0.0,0.0,0.52,24,0,0,0,0
Sean Lemmens,9,13,6,9.44,0.0,0.11,0.67,0,0,0,0,0
Thomas Berry,6,10,1,6.67,0.0,0.33,0.67,0,0,0,0,0
Touk Miller,11,32,13,24.18,0.18,0.09,1.0,91,82,55,18,0
Wil Powell,18,28,13,20.28,0.0,0.17,1.11,89,50,28,0,0
