Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Hall,6,27,15,22.33,0.0,0.0,0.33,100,67,67,0,0
Aidan Corr,17,18,9,12.33,0.0,0.0,1.0,33,0,0,0,0
Aiden Bonar,2,15,9,12.0,0.0,0.0,0.0,50,0,0,0,0
Bailey Scott,21,31,24,27.0,0.33,0.33,0.67,100,100,67,33,0
Ben Cunnington,9,27,7,19.33,1.0,0.0,0.33,67,67,33,67,33
Ben McKay,17,16,11,12.67,0.0,0.0,1.33,33,0,0,0,0
Blake Drury,3,13,6,8.67,0.0,0.33,0.67,0,0,0,0,0
Callum Coleman Jones,9,9,5,7.67,0.0,0.0,1.0,0,0,0,0,0
Cameron Zurhaar,16,25,14,17.67,0.33,0.67,1.0,33,33,33,33,0
Charlie Comben,7,10,1,6.67,0.67,1.67,0.67,0,0,0,33,33
Charlie Lazzaro,5,15,2,7.0,0.0,0.0,0.0,33,0,0,0,0
Cooper Harvey,3,13,5,9.33,0.33,0.0,0.33,0,0,0,33,0
Curtis Taylor,14,18,8,13.33,0.33,0.0,1.0,33,0,0,33,0
Daniel Howe,9,19,11,14.33,0.33,0.33,1.0,33,0,0,33,0
Darcy Tucker,16,17,13,15.0,0.0,0.0,1.33,67,0,0,0,0
Eddie Ford,12,11,10,10.33,1.33,0.33,0.67,0,0,0,67,33
Flynn Perez,3,16,7,12.33,0.33,0.0,0.33,33,0,0,33,0
George Wardlaw,8,22,5,13.67,0.0,0.0,1.67,33,33,0,0,0
Griffin Logue,15,16,1,9.67,0.0,0.0,0.33,33,0,0,0,0
Harry Sheezel,21,32,15,26.0,0.0,0.33,0.0,100,67,67,0,0
Hugh Greenwood,12,20,7,13.0,0.67,0.33,0.67,33,33,0,33,33
Jack Mahony,2,16,9,12.5,0.0,0.0,0.0,50,0,0,0,0
Jack Ziebell,21,32,8,22.33,0.0,0.0,0.33,67,67,67,0,0
Jackson Archer,5,11,4,7.67,0.0,0.0,0.33,0,0,0,0,0
Jaidyn Stephenson,21,13,8,10.33,0.67,0.67,0.33,0,0,0,33,33
Josh Goater,8,13,5,9.67,0.0,0.0,0.67,0,0,0,0,0
Jy Simpkin,16,28,20,23.33,0.67,0.33,0.33,100,100,33,67,0
Kayne Turner,10,15,7,12.33,0.33,0.0,0.33,67,0,0,33,0
Lachie Young,4,14,9,11.67,0.0,0.0,0.67,0,0,0,0,0
Liam Shiels,16,22,11,16.33,0.0,0.33,0.67,67,33,0,0,0
Luke Davies Uniacke,14,30,27,28.33,0.67,0.33,1.0,100,100,100,67,0
Luke McDonald,21,17,5,11.67,0.0,0.0,0.0,33,0,0,0,0
Miller Bergman,11,12,4,7.0,0.0,0.0,0.33,0,0,0,0,0
Nick Larkey,21,9,7,7.67,2.67,1.67,1.0,0,0,0,100,67
Paul Curtis,19,15,7,10.67,1.67,1.33,0.0,33,0,0,67,33
Phoenix Spicer,6,8,4,6.67,0.33,0.33,1.33,0,0,0,33,0
Tarryn Thomas,10,23,10,18.33,0.0,0.0,0.67,67,67,0,0,0
Todd Goldstein,18,18,5,12.67,0.67,0.0,2.0,67,0,0,33,33
Tom Powell,12,16,8,12.0,1.0,0.0,0.67,33,0,0,67,33
Tristan Xerri,7,12,11,11.67,0.67,0.0,1.67,0,0,0,33,33
Will Phillips,14,20,16,17.67,0.0,0.33,0.67,100,33,0,0,0
