Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Brad Close,20,24,8,13.55,1.05,0.3,0.95,50,5,0,65,25
Brandan Parfitt,7,14,5,10.71,0.14,0.0,0.57,0,0,0,14,0
Cameron Guthrie,6,28,15,22.33,0.0,0.0,0.67,100,83,33,0,0
Cooper Whyte,1,1,1,1.0,0.0,0.0,0.0,0,0,0,0,0
Esava Ratugolea,15,14,4,9.27,0.0,0.0,0.67,0,0,0,0,0
Gary Rohan,15,16,2,8.93,1.2,0.6,0.73,7,0,0,73,33
Gryan Miers,21,32,10,18.95,0.29,0.57,0.67,76,43,19,24,5
Isaac Smith,20,27,17,21.0,0.45,0.55,0.35,100,65,5,40,5
Jack Bowes,15,25,3,14.53,0.27,0.33,0.53,47,33,7,27,0
Jack Henry,11,16,1,10.73,0.36,0.0,0.82,9,0,0,27,9
Jake Kolodjashnij,17,17,7,11.59,0.0,0.12,0.35,24,0,0,0,0
Jed Bews,13,15,2,10.15,0.0,0.08,0.15,8,0,0,0,0
Jeremy Cameron,19,25,0,15.68,2.79,1.79,1.16,68,26,5,89,68
Jhye Clark,1,6,6,6.0,0.0,0.0,0.0,0,0,0,0,0
Jonathon Ceglar,6,17,7,12.67,0.0,0.0,1.0,17,0,0,0,0
Mark Blicavs,19,22,5,15.84,0.63,0.37,1.11,79,5,0,53,11
Max Holmes,19,33,8,18.84,0.32,0.16,1.0,74,42,16,32,0
Mitch Duncan,15,31,14,22.13,0.27,0.33,0.73,93,73,33,27,0
Mitchell Knevitt,7,17,3,12.43,0.29,0.29,0.57,57,0,0,29,0
Oisin Mullin,5,15,1,7.8,0.0,0.2,0.2,20,0,0,0,0
Oliver Henry,20,17,5,10.6,1.9,0.9,0.85,15,0,0,95,65
Oliver Dempsey,4,11,3,5.75,0.0,0.75,0.25,0,0,0,0,0
Patrick Dangerfield,16,31,15,21.12,0.62,0.44,1.44,100,56,31,56,6
Rhys Stanley,12,18,9,11.83,0.0,0.17,1.67,25,0,0,0,0
Sam De Koning,17,17,7,12.0,0.0,0.0,0.47,29,0,0,0,0
Sam Simpson,6,14,2,9.17,1.17,0.5,0.33,0,0,0,67,50
Shannon Neale,1,10,10,10.0,0.0,2.0,0.0,0,0,0,0,0
Tanner Bruhn,18,23,10,16.17,0.44,0.06,0.72,67,11,0,33,11
Tom Stewart,20,31,3,22.4,0.05,0.0,1.0,95,75,40,5,0
Tom Atkins,21,34,12,19.24,0.1,0.05,1.38,81,43,14,10,0
Tom Hawkins,19,16,5,10.95,2.47,1.26,0.47,16,0,0,89,68
Tyson Stengle,17,17,6,11.65,1.41,0.41,0.59,29,0,0,82,35
Zach Guthrie,21,26,10,15.86,0.1,0.05,0.48,52,19,5,10,0
Zach Tuohy,19,28,11,17.79,0.26,0.47,0.47,84,21,5,21,5
