Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Nick Daicos,Grand Final,30/09/2023,Lions,Win 90-86,29,1,1
2023,Nick Daicos,4,06/04/2023,Lions,Loss 83-116,38,2,2
2022,Nick Daicos,5,14/04/2022,Lions,Loss 91-98,27,0,0
2023,Josh Daicos,Grand Final,30/09/2023,Lions,Win 90-86,17,0,0
2023,Josh Daicos,23,18/08/2023,Lions,Loss 100-124,26,1,2
2023,Josh Daicos,4,06/04/2023,Lions,Loss 83-116,23,0,0
2022,Josh Daicos,5,14/04/2022,Lions,Loss 91-98,22,1,0
2021,Josh Daicos,22,14/08/2021,Lions,Loss 57-142,22,0,0
2021,Josh Daicos,3,01/04/2021,Lions,Loss 72-73,15,2,2
2023,Tom Mitchell,Grand Final,30/09/2023,Lions,Win 90-86,24,0,0
2023,Tom Mitchell,23,18/08/2023,Lions,Loss 100-124,31,0,0
2023,Tom Mitchell,4,06/04/2023,Lions,Loss 83-116,20,0,0
2022,Tom Mitchell,10,22/05/2022,Lions,Win 117-112,36,1,0
2021,Tom Mitchell,20,01/08/2021,Lions,Win 92-80,34,1,0
2023,Scott Pendlebury,Grand Final,30/09/2023,Lions,Win 90-86,24,1,0
2023,Scott Pendlebury,23,18/08/2023,Lions,Loss 100-124,31,1,1
2023,Scott Pendlebury,4,06/04/2023,Lions,Loss 83-116,26,0,0
2022,Scott Pendlebury,5,14/04/2022,Lions,Loss 91-98,27,0,0
2021,Scott Pendlebury,3,01/04/2021,Lions,Loss 72-73,30,0,0
2023,Jordan De Goey,Grand Final,30/09/2023,Lions,Win 90-86,18,2,0
2023,Jordan De Goey,4,06/04/2023,Lions,Loss 83-116,21,1,1
2022,Jordan De Goey,5,14/04/2022,Lions,Loss 91-98,21,4,1
2021,Jordan De Goey,22,14/08/2021,Lions,Loss 57-142,27,1,2
2021,Jordan De Goey,3,01/04/2021,Lions,Loss 72-73,18,1,0
2023,Darcy Cameron,Grand Final,30/09/2023,Lions,Win 90-86,12,0,0
2023,Darcy Cameron,23,18/08/2023,Lions,Loss 100-124,17,1,0
2022,Darcy Cameron,5,14/04/2022,Lions,Loss 91-98,7,1,0
2021,Darcy Cameron,22,14/08/2021,Lions,Loss 57-142,12,1,0
2023,Jack Crisp,Grand Final,30/09/2023,Lions,Win 90-86,25,2,1
2023,Jack Crisp,23,18/08/2023,Lions,Loss 100-124,24,0,0
2023,Jack Crisp,4,06/04/2023,Lions,Loss 83-116,15,1,0
2022,Jack Crisp,5,14/04/2022,Lions,Loss 91-98,36,0,0
2021,Jack Crisp,22,14/08/2021,Lions,Loss 57-142,30,0,0
2021,Jack Crisp,3,01/04/2021,Lions,Loss 72-73,21,0,0
2023,John Noble,23,18/08/2023,Lions,Loss 100-124,15,1,0
2023,John Noble,4,06/04/2023,Lions,Loss 83-116,19,0,1
2022,John Noble,5,14/04/2022,Lions,Loss 91-98,6,0,0
2021,John Noble,22,14/08/2021,Lions,Loss 57-142,6,0,0
2021,John Noble,3,01/04/2021,Lions,Loss 72-73,20,0,0
2023,Steele Sidebottom,Grand Final,30/09/2023,Lions,Win 90-86,20,1,0
2023,Steele Sidebottom,23,18/08/2023,Lions,Loss 100-124,17,0,0
2023,Steele Sidebottom,4,06/04/2023,Lions,Loss 83-116,12,0,1
2022,Steele Sidebottom,5,14/04/2022,Lions,Loss 91-98,14,0,0
2021,Steele Sidebottom,22,14/08/2021,Lions,Loss 57-142,29,0,1
2021,Steele Sidebottom,3,01/04/2021,Lions,Loss 72-73,28,1,0
2023,Lachie Schultz,21,06/08/2023,Lions,Loss 74-77,13,2,0
2023,Lachie Schultz,7,29/04/2023,Lions,Loss 67-115,16,0,0
2022,Lachie Schultz,12,05/06/2022,Lions,Win 99-85,8,0,0
2021,Lachie Schultz,21,08/08/2021,Lions,Loss 54-118,8,0,1
2021,Lachie Schultz,8,09/05/2021,Lions,Loss 71-95,10,0,0
2023,Brayden Maynard,Grand Final,30/09/2023,Lions,Win 90-86,13,0,1
2023,Brayden Maynard,23,18/08/2023,Lions,Loss 100-124,20,0,0
2023,Brayden Maynard,4,06/04/2023,Lions,Loss 83-116,25,0,0
2022,Brayden Maynard,5,14/04/2022,Lions,Loss 91-98,19,0,0
2021,Brayden Maynard,22,14/08/2021,Lions,Loss 57-142,18,0,0
2021,Brayden Maynard,3,01/04/2021,Lions,Loss 72-73,15,0,0
2023,Patrick Lipinski,Grand Final,30/09/2023,Lions,Win 90-86,16,0,0
2023,Patrick Lipinski,23,18/08/2023,Lions,Loss 100-124,15,0,0
2022,Patrick Lipinski,5,14/04/2022,Lions,Loss 91-98,22,0,0
2023,Isaac Quaynor,Grand Final,30/09/2023,Lions,Win 90-86,12,0,0
2023,Isaac Quaynor,23,18/08/2023,Lions,Loss 100-124,7,0,0
2023,Isaac Quaynor,4,06/04/2023,Lions,Loss 83-116,20,0,0
2022,Isaac Quaynor,5,14/04/2022,Lions,Loss 91-98,14,0,0
2021,Isaac Quaynor,3,01/04/2021,Lions,Loss 72-73,24,0,0
2023,Jamie Elliott,Grand Final,30/09/2023,Lions,Win 90-86,14,0,1
2023,Jamie Elliott,23,18/08/2023,Lions,Loss 100-124,12,3,1
2023,Jamie Elliott,4,06/04/2023,Lions,Loss 83-116,13,0,3
2021,Jamie Elliott,22,14/08/2021,Lions,Loss 57-142,23,0,0
2023,Darcy Moore,Grand Final,30/09/2023,Lions,Win 90-86,7,0,0
2023,Darcy Moore,4,06/04/2023,Lions,Loss 83-116,13,0,0
2022,Darcy Moore,5,14/04/2022,Lions,Loss 91-98,17,2,0
2021,Darcy Moore,3,01/04/2021,Lions,Loss 72-73,14,0,0
2023,Jeremy Howe,Grand Final,30/09/2023,Lions,Win 90-86,24,0,0
2023,Jeremy Howe,23,18/08/2023,Lions,Loss 100-124,9,2,0
2022,Jeremy Howe,5,14/04/2022,Lions,Loss 91-98,14,0,0
2021,Jeremy Howe,3,01/04/2021,Lions,Loss 72-73,22,1,0
2023,Brody Mihocek,Grand Final,30/09/2023,Lions,Win 90-86,10,1,0
2023,Brody Mihocek,23,18/08/2023,Lions,Loss 100-124,15,2,3
2023,Brody Mihocek,4,06/04/2023,Lions,Loss 83-116,13,3,1
2021,Brody Mihocek,22,14/08/2021,Lions,Loss 57-142,11,1,4
2021,Brody Mihocek,3,01/04/2021,Lions,Loss 72-73,13,2,0
2023,Mason Cox,Grand Final,30/09/2023,Lions,Win 90-86,7,0,2
2023,Mason Cox,23,18/08/2023,Lions,Loss 100-124,5,1,0
2022,Mason Cox,5,14/04/2022,Lions,Loss 91-98,4,0,1
2021,Mason Cox,3,01/04/2021,Lions,Loss 72-73,12,2,1
2023,Will Hoskin-Elliott,Grand Final,30/09/2023,Lions,Win 90-86,12,0,0
2023,Will Hoskin-Elliott,23,18/08/2023,Lions,Loss 100-124,12,0,0
2023,Will Hoskin-Elliott,4,06/04/2023,Lions,Loss 83-116,15,0,0
2022,Will Hoskin-Elliott,5,14/04/2022,Lions,Loss 91-98,15,1,0
2021,Will Hoskin-Elliott,22,14/08/2021,Lions,Loss 57-142,14,0,0
2021,Will Hoskin-Elliott,3,01/04/2021,Lions,Loss 72-73,6,0,0
2023,Daniel McStay,23,18/08/2023,Lions,Loss 100-124,13,2,0
2023,Daniel McStay,4,06/04/2023,Lions,Loss 83-116,10,0,0
2023,Beau McCreery,Grand Final,30/09/2023,Lions,Win 90-86,13,0,3
2023,Beau McCreery,23,18/08/2023,Lions,Loss 100-124,12,0,0
2023,Beau McCreery,4,06/04/2023,Lions,Loss 83-116,12,0,1
2021,Beau McCreery,22,14/08/2021,Lions,Loss 57-142,6,0,0
2023,Billy Frampton,Grand Final,30/09/2023,Lions,Win 90-86,2,0,1
2023,Billy Frampton,23,18/08/2023,Lions,Loss 100-124,8,0,0
2023,Billy Frampton,4,06/04/2023,Lions,Loss 83-116,8,0,0
2021,Billy Frampton,16,03/07/2021,Lions,Loss 59-111,9,0,2
2023,Bobby Hill,Grand Final,30/09/2023,Lions,Win 90-86,18,4,2
2023,Bobby Hill,4,06/04/2023,Lions,Loss 83-116,10,2,1
2022,Bobby Hill,11,28/05/2022,Lions,Loss 96-110,6,1,0
2021,Bobby Hill,11,29/05/2021,Lions,Loss 65-129,7,2,1
2023,Oleg Markov,Grand Final,30/09/2023,Lions,Win 90-86,12,0,0
2023,Oleg Markov,23,18/08/2023,Lions,Loss 100-124,12,0,0
2023,Oleg Markov,4,06/04/2023,Lions,Loss 83-116,9,0,1
2022,Oleg Markov,19,23/07/2022,Lions,Loss 93-110,7,0,0
2022,Oleg Markov,6,24/04/2022,Lions,Loss 80-132,15,1,0
2021,Oleg Markov,19,24/07/2021,Lions,Loss 71-120,2,0,0
2021,Oleg Markov,9,15/05/2021,Lions,Loss 51-124,19,0,1
2021,Finlay Macrae,22,14/08/2021,Lions,Loss 57-142,16,0,0
2023,Ash Johnson,4,06/04/2023,Lions,Loss 83-116,12,1,1
2023,Nathan Murphy,Grand Final,30/09/2023,Lions,Win 90-86,4,0,0
2023,Nathan Murphy,23,18/08/2023,Lions,Loss 100-124,4,0,0
2023,Nathan Murphy,4,06/04/2023,Lions,Loss 83-116,14,0,0
2021,Nathan Murphy,22,14/08/2021,Lions,Loss 57-142,12,0,0
2023,Reef McInnes,4,06/04/2023,Lions,Loss 83-116,2,0,0
2022,Reef McInnes,5,14/04/2022,Lions,Loss 91-98,10,2,2
2023,Jakob Ryan,23,18/08/2023,Lions,Loss 100-124 ,5,0,0
2022,Nathan Kreuger,5,14/04/2022,Lions,Loss 91-98,12,2,2
