Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Jordan Dawson,4,08/04/2023,Dockers,Win 111-72,27,1,0
2022,Jordan Dawson,1,20/03/2022,Dockers,Loss 82-83,17,1,1
2021,Jordan Dawson,19,25/07/2021,Dockers,Win 98-58,23,0,0
2021,Jordan Dawson,10,22/05/2021,Dockers,Loss 84-86,31,0,0
2023,Rory Laird,4,08/04/2023,Dockers,Win 111-72,28,0,1
2021,Rory Laird,5,18/04/2021,Dockers,Loss 72-84,29,0,0
2022,Matt Crouch,1,20/03/2022,Dockers,Loss 82-83,30,0,0
2023,Reilly O'Brien,4,08/04/2023,Dockers,Win 111-72,11,0,0
2022,Reilly O'Brien,1,20/03/2022,Dockers,Loss 82-83,12,0,2
2021,Reilly O'Brien,5,18/04/2021,Dockers,Loss 72-84,17,0,0
2023,Brodie Smith,4,08/04/2023,Dockers,Win 111-72,24,0,0
2022,Brodie Smith,1,20/03/2022,Dockers,Loss 82-83,18,1,1
2021,Brodie Smith,5,18/04/2021,Dockers,Loss 72-84,27,0,0
2023,Taylor Walker,4,08/04/2023,Dockers,Win 111-72,10,4,0
2021,Taylor Walker,5,18/04/2021,Dockers,Loss 72-84,13,2,3
2023,Ben Keays,4,08/04/2023,Dockers,Win 111-72,19,0,2
2022,Ben Keays,1,20/03/2022,Dockers,Loss 82-83,37,0,1
2021,Ben Keays,5,18/04/2021,Dockers,Loss 72-84,31,0,1
2023,Mitchell Hinge,4,08/04/2023,Dockers,Win 111-72,16,0,0
2022,Mitchell Hinge,1,20/03/2022,Dockers,Loss 82-83,14,0,0
2023,Rory Sloane,4,08/04/2023,Dockers,Win 111-72,23,0,0
2022,Rory Sloane,1,20/03/2022,Dockers,Loss 82-83,20,0,0
2023,Izak Rankine,4,08/04/2023,Dockers,Win 111-72,15,3,2
2022,Izak Rankine,9,15/05/2022,Dockers,Win 69-33,18,0,2
2021,Izak Rankine,13,12/06/2021,Dockers,Loss 49-76,8,2,0
2023,Josh Rachele,4,08/04/2023,Dockers,Win 111-72,20,3,1
2022,Josh Rachele,1,20/03/2022,Dockers,Loss 82-83,14,5,1
2023,Wayne Milera,4,08/04/2023,Dockers,Win 111-72,18,1,0
2022,Wayne Milera,1,20/03/2022,Dockers,Loss 82-83,14,0,1
2023,Lachlan Sholl,4,08/04/2023,Dockers,Win 111-72,14,0,0
2022,Lachlan Sholl,1,20/03/2022,Dockers,Loss 82-83,23,0,0
2021,Lachlan Sholl,5,18/04/2021,Dockers,Loss 72-84,23,1,0
2023,Jake Soligo,4,08/04/2023,Dockers,Win 111-72,21,2,0
2022,Jake Soligo,1,20/03/2022,Dockers,Loss 82-83,5,0,0
2023,Chayce Jones,4,08/04/2023,Dockers,Win 111-72,21,0,0
2022,Chayce Jones,1,20/03/2022,Dockers,Loss 82-83,16,0,0
2023,Lachlan Murphy,4,08/04/2023,Dockers,Win 111-72,14,0,0
2021,Lachlan Murphy,5,18/04/2021,Dockers,Loss 72-84,15,1,0
2022,Darcy Fogarty,1,20/03/2022,Dockers,Loss 82-83,7,2,0
2021,Darcy Fogarty,5,18/04/2021,Dockers,Loss 72-84,11,1,0
2023,Riley Thilthorpe,4,08/04/2023,Dockers,Win 111-72,18,1,0
2022,Riley Thilthorpe,1,20/03/2022,Dockers,Loss 82-83,7,1,1
2023,Lachlan Gollant,4,08/04/2023,Dockers,Win 111-72,8,2,1
2023,Max Michalanney,4,08/04/2023,Dockers,Win 111-72,16,0,0
2023,Harry Schoenberg,4,08/04/2023,Dockers,Win 111-72,5,0,0
2022,Harry Schoenberg,1,20/03/2022,Dockers,Loss 82-83,23,0,0
2021,Harry Schoenberg,5,18/04/2021,Dockers,Loss 72-84,16,0,0
2021,Sam Berry,5,18/04/2021,Dockers,Loss 72-84,13,0,0
2022,Elliott Himmelberg,1,20/03/2022,Dockers,Loss 82-83,6,0,0
2023,Ned McHenry,4,08/04/2023,Dockers,Win 111-72,22,0,0
2022,Ned McHenry,1,20/03/2022,Dockers,Loss 82-83,12,0,1
2021,Ned McHenry,5,18/04/2021,Dockers,Loss 72-84,12,1,0
2023,Nick Murray,4,08/04/2023,Dockers,Win 111-72,8,0,0
2022,Nick Murray,1,20/03/2022,Dockers,Loss 82-83,13,0,0
2023,Jordon Butts,4,08/04/2023,Dockers,Win 111-72,4,0,0
2022,Jordon Butts,1,20/03/2022,Dockers,Loss 82-83,8,0,0
2021,Jordon Butts,5,18/04/2021,Dockers,Loss 72-84,17,0,0
2021,Chris Burgess,13,12/06/2021,Dockers,Loss 49-76,11,2,2
2021,Will Hamill,5,18/04/2021,Dockers,Loss 72-84,13,0,0
