Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Clayton Oliver,10,19/05/2023,Power,Loss 76-80,30,0,0
2022,Clayton Oliver,4,07/04/2022,Power,Win 68-36,19,0,0
2021,Clayton Oliver,17,08/07/2021,Power,Win 86-55,31,0,1
2023,Christian Petracca,10,19/05/2023,Power,Loss 76-80,22,1,2
2022,Christian Petracca,18,17/07/2022,Power,Win 83-69,30,0,0
2022,Christian Petracca,4,07/04/2022,Power,Win 68-36,24,0,1
2021,Christian Petracca,17,08/07/2021,Power,Win 86-55,33,3,1
2023,Jack Viney,10,19/05/2023,Power,Loss 76-80,18,0,0
2022,Jack Viney,18,17/07/2022,Power,Win 83-69,28,0,0
2022,Jack Viney,4,07/04/2022,Power,Win 68-36,21,1,0
2021,Jack Viney,17,08/07/2021,Power,Win 86-55,18,0,0
2023,Max Gawn,10,19/05/2023,Power,Loss 76-80,12,0,0
2022,Max Gawn,18,17/07/2022,Power,Win 83-69,16,0,0
2022,Max Gawn,4,07/04/2022,Power,Win 68-36,25,1,1
2021,Max Gawn,17,08/07/2021,Power,Win 86-55,18,0,2
2023,Lachie Hunter,10,19/05/2023,Power,Loss 76-80,24,1,0
2021,Lachie Hunter,Preliminary Final,11/09/2021,Power,Win 116-45,22,0,1
2021,Lachie Hunter,23,20/08/2021,Power,Loss 64-66,22,1,2
2023,Christian Salem,10,19/05/2023,Power,Loss 76-80,18,0,0
2022,Christian Salem,18,17/07/2022,Power,Win 83-69,16,0,0
2021,Christian Salem,17,08/07/2021,Power,Win 86-55,26,0,0
2023,Trent Rivers,10,19/05/2023,Power,Loss 76-80,19,0,0
2022,Trent Rivers,18,17/07/2022,Power,Win 83-69,11,0,0
2022,Trent Rivers,4,07/04/2022,Power,Win 68-36,10,0,0
2021,Trent Rivers,17,08/07/2021,Power,Win 86-55,9,0,0
2023,Alex Neal-Bullen,10,19/05/2023,Power,Loss 76-80,12,0,0
2022,Alex Neal-Bullen,18,17/07/2022,Power,Win 83-69,14,0,0
2022,Alex Neal-Bullen,4,07/04/2022,Power,Win 68-36,20,0,0
2021,Alex Neal-Bullen,17,08/07/2021,Power,Win 86-55,11,0,0
2023,Ed Langdon,10,19/05/2023,Power,Loss 76-80,15,0,1
2022,Ed Langdon,18,17/07/2022,Power,Win 83-69,24,0,0
2022,Ed Langdon,4,07/04/2022,Power,Win 68-36,26,1,0
2021,Ed Langdon,17,08/07/2021,Power,Win 86-55,24,0,2
2023,Steven May,10,19/05/2023,Power,Loss 76-80,23,0,0
2022,Steven May,18,17/07/2022,Power,Win 83-69,18,0,0
2022,Steven May,4,07/04/2022,Power,Win 68-36,23,0,1
2021,Steven May,17,08/07/2021,Power,Win 86-55,21,0,1
2022,Tom Sparrow,18,17/07/2022,Power,Win 83-69,18,0,0
2022,Tom Sparrow,4,07/04/2022,Power,Win 68-36,19,0,0
2023,Kysaiah Pickett,10,19/05/2023,Power,Loss 76-80,6,1,0
2022,Kysaiah Pickett,18,17/07/2022,Power,Win 83-69,14,6,1
2022,Kysaiah Pickett,4,07/04/2022,Power,Win 68-36,8,0,0
2021,Kysaiah Pickett,17,08/07/2021,Power,Win 86-55,9,3,0
2023,Bayley Fritsch,10,19/05/2023,Power,Loss 76-80,13,2,1
2022,Bayley Fritsch,18,17/07/2022,Power,Win 83-69,15,2,2
2022,Bayley Fritsch,4,07/04/2022,Power,Win 68-36,9,3,0
2021,Bayley Fritsch,17,08/07/2021,Power,Win 86-55,8,1,1
2023,Jake Bowey,10,19/05/2023,Power,Loss 76-80,10,0,0
2022,Jake Bowey,4,07/04/2022,Power,Win 68-36,11,0,0
2021,Jack Billings,18,17/07/2021,Power,Loss 61-74,16,0,0
2021,Jack Billings,6,25/04/2021,Power,Loss 39-93,14,0,1
2023,Shane McAdam,20,29/07/2023,Power,Win 112-65,13,1,1
2023,Kade Chandler,10,19/05/2023,Power,Loss 76-80,13,1,1
2023,Jake Lever,10,19/05/2023,Power,Loss 76-80,10,0,0
2022,Jake Lever,18,17/07/2022,Power,Win 83-69,7,0,0
2022,Jake Lever,4,07/04/2022,Power,Win 68-36,7,0,0
2021,Jake Lever,17,08/07/2021,Power,Win 86-55,10,0,0
2022,Adam Tomlinson,18,17/07/2022,Power,Win 83-69,15,0,0
2022,Adam Tomlinson,4,07/04/2022,Power,Win 68-36,7,0,0
2023,Tom McDonald,10,19/05/2023,Power,Loss 76-80,8,2,1
2022,Tom McDonald,4,07/04/2022,Power,Win 68-36,8,1,0
2021,Tom McDonald,17,08/07/2021,Power,Win 86-55,19,3,2
2021,Harrison Petty,17,08/07/2021,Power,Win 86-55,12,0,0
2023,Jacob van Rooyen,10,19/05/2023,Power,Loss 76-80,10,1,1
2022,Ben Brown,18,17/07/2022,Power,Win 83-69,14,2,1
2021,Ben Brown,17,08/07/2021,Power,Win 86-55,10,0,0
2022,Jake Melksham,18,17/07/2022,Power,Win 83-69,6,1,0
2023,Judd McVee,10,19/05/2023,Power,Loss 76-80,6,0,0
2023,Charlie Spargo,10,19/05/2023,Power,Loss 76-80,12,1,0
2022,Charlie Spargo,18,17/07/2022,Power,Win 83-69,17,0,0
2022,Charlie Spargo,4,07/04/2022,Power,Win 68-36,16,0,1
2021,Charlie Spargo,17,08/07/2021,Power,Win 86-55,13,1,0
2021,Josh Schache,Preliminary Final,11/09/2021,Power,Win 116-45,10,1,3
