Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aliir Aliir,2,13,11,12.0,0.0,0.0,0.0,0,0,0,0,0
Brandon Zerk-Thatcher,2,15,12,13.5,0.0,0.0,2.0,50,0,0,0,0
Charlie Dixon,2,15,13,14.0,2.5,3.0,2.0,50,0,0,100,100
Connor Rozee,2,28,27,27.5,1.0,1.0,1.0,100,100,100,50,50
Dan Houston,2,25,18,21.5,0.5,0.5,1.0,100,50,50,50,0
Dante Visentini,3,10,4,7.33,0.0,0.0,1.33,0,0,0,0,0
Darcy Byrne-Jones,2,13,11,12.0,2.0,0.5,0.5,0,0,0,100,50
Dylan Williams,1,6,6,6.0,0.0,0.0,0.0,0,0,0,0,0
Esava Ratugolea,2,10,6,8.0,0.0,0.5,0.0,0,0,0,0,0
Francis Evans,2,10,2,6.0,0.5,0.0,0.5,0,0,0,50,0
Ivan Soldo,2,14,9,11.5,1.0,0.5,0.5,0,0,0,50,50
Jackson Mead,2,13,12,12.5,0.5,0.5,0.5,0,0,0,50,0
Jase Burgoyne,1,13,13,13.0,0.0,0.0,1.0,0,0,0,0,0
Jason Horne-Francis,1,20,20,20.0,2.0,0.0,2.0,100,100,0,100,100
Jed McEntee,1,1,1,1.0,0.0,0.0,0.0,0,0,0,0,0
Jeremy Finlayson,2,15,14,14.5,1.5,2.5,1.5,50,0,0,50,50
Josh Sinn,3,7,4,5.33,0.0,0.33,0.0,0,0,0,0,0
Kane Farrell,2,27,17,22.0,1.0,1.0,0.0,100,50,50,50,50
Lachie Jones,2,12,6,9.0,0.0,0.0,0.5,0,0,0,0,0
Miles Bergman,2,21,14,17.5,0.5,1.5,0.5,50,50,0,50,0
Mitch Georgiades,2,14,13,13.5,1.0,2.5,1.0,0,0,0,100,0
Ollie Wines,2,26,23,24.5,0.0,1.0,1.0,100,100,50,0,0
Ollie Lord,13,7,3,5.4,1.8,0.4,0.6,0,0,0,100,40
Quinton Narkle,3,13,7,10.67,1.33,0.33,0.33,0,0,0,100,33
Ryan Burton,2,23,22,22.5,0.0,0.5,0.5,100,100,0,0,0
Sam Powell-Pepper,25,19,8,13.0,1.4,1.6,1.2,40,0,0,80,60
Todd Marshall,2,15,15,15.0,2.0,2.5,1.0,100,0,0,50,50
Tom Clurey,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0
Travis Boak,2,16,15,15.5,0.0,1.0,0.5,100,0,0,0,0
Trent McKenzie,19,9,3,6.6,0.0,0.0,0.0,0,0,0,0,0
Willem Drew,2,27,16,21.5,1.5,0.5,1.5,100,50,50,100,50
Willie Rioli,2,13,7,10.0,0.5,1.5,0.5,0,0,0,50,0
Zak Butters,2,34,27,30.5,1.0,0.0,2.5,100,100,100,100,0
