Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ben Miller,1,11,11,11.0,0.0,0.0,0.0,0,0,0,0,0
Daniel Rioli,3,21,13,16.33,0.33,0.0,0.0,67,33,0,33,0
Dion Prestia,2,18,7,12.5,0.0,0.5,0.0,50,0,0,0,0
Dustin Martin,2,16,16,16.0,1.0,0.5,0.0,100,0,0,50,50
Dylan Grimes,3,8,6,7.0,0.0,0.0,0.0,0,0,0,0,0
Jack Ross,3,26,10,17.67,0.33,0.0,0.0,67,33,33,33,0
Jacob Hopper,2,25,23,24.0,1.0,0.0,2.0,100,100,50,50,50
Jacob Koschitzke,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
James Trezise,1,14,14,14.0,0.0,0.0,0.0,0,0,0,0,0
Jayden Short,3,23,19,21.0,0.33,0.33,0.33,100,67,0,33,0
Josh Gibcus,2,9,1,5.0,0.0,0.0,1.0,0,0,0,0,0
Judson Clarke,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Kamdyn McIntosh,3,16,9,13.33,0.0,0.0,0.0,67,0,0,0,0
Liam Baker,3,23,16,19.0,1.33,0.33,1.0,100,33,0,67,33
Marlion Pickett,3,18,11,14.0,0.67,0.33,0.33,33,0,0,67,0
Maurice Rioli,2,7,4,5.5,0.5,0.5,1.0,0,0,0,50,0
Nathan Broad,2,9,9,9.0,0.0,0.5,0.0,0,0,0,0,0
Nick Vlastuin,3,24,16,20.0,0.0,0.0,2.0,100,67,0,0,0
Noah Balta,3,23,11,16.33,1.67,0.67,1.0,67,33,0,100,33
Rhyan Mansell,2,13,6,9.5,1.0,1.0,1.5,0,0,0,50,50
Sam Banks,2,11,5,8.0,0.0,0.0,0.0,0,0,0,0,0
Sam Naismith,1,11,11,11.0,0.0,0.0,4.0,0,0,0,0,0
Samson Ryan,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Seth Campbell,3,14,9,12.0,1.0,0.67,0.33,0,0,0,67,33
Shai Bolton,3,22,8,16.0,1.67,1.0,0.33,67,33,0,67,67
Tom Lynch,2,10,7,8.5,1.5,1.0,1.5,0,0,0,100,50
Thomson Dow,3,16,6,11.33,0.0,0.33,0.67,33,0,0,0,0
Tim Taranto,3,26,15,20.67,0.67,1.33,0.67,100,67,33,67,0
Toby Nankervis,2,19,17,18.0,0.0,0.5,1.5,100,0,0,0,0
Tom Brown,1,13,13,13.0,0.0,0.0,2.0,0,0,0,0,0
Tylar Young,2,6,3,4.5,0.0,0.0,0.0,0,0,0,0,0
