Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Braeden Campbell,3,16,9,13.0,0.0,0.33,0.67,33,0,0,0,0
Brodie Grundy,3,23,8,16.67,0.0,0.0,3.0,67,33,0,0,0
Chad Warner,3,28,26,27.0,2.0,0.67,1.0,100,100,100,100,67
Corey Warner,1,11,11,11.0,0.0,3.0,0.0,0,0,0,0,0
Dane Rampe,3,19,9,14.0,0.0,0.0,0.33,33,0,0,0,0
Errol Gulden,3,30,20,24.67,0.67,0.67,0.33,100,100,33,33,33
Harry Cunningham,3,18,0,12.0,0.0,0.0,0.0,67,0,0,0,0
Hayden McLean,3,15,5,10.67,1.67,1.33,1.0,33,0,0,100,67
Isaac Heeney,3,32,26,29.0,1.33,1.33,1.33,100,100,100,100,33
Jake Lloyd,3,22,13,17.0,0.0,0.33,0.67,67,33,0,0,0
James Jordon,3,19,18,18.33,0.33,0.0,0.67,100,0,0,33,0
James Rowbottom,3,21,10,15.67,0.33,1.0,2.33,67,33,0,33,0
Joel Amartey,3,7,3,5.0,1.0,1.0,0.33,0,0,0,67,33
Justin McInerney,3,22,20,21.0,0.67,0.0,1.33,100,100,0,67,0
Lewis Melican,3,9,5,7.67,0.0,0.0,0.0,0,0,0,0,0
Logan McDonald,3,15,7,10.0,2.0,1.0,0.33,33,0,0,100,33
Matt Roberts,3,19,15,17.67,0.0,0.0,0.67,100,0,0,0,0
Nick Blakey,3,26,18,21.0,0.33,0.33,1.33,100,33,33,33,0
Oliver Florent,3,21,18,19.67,0.33,0.33,0.0,100,67,0,33,0
Robbie Fox,2,12,9,10.5,0.5,0.5,2.0,0,0,0,50,0
Sam Wicks,3,11,2,6.0,0.67,0.0,0.33,0,0,0,67,0
Tom McCartin,3,15,9,11.67,0.0,0.0,1.0,33,0,0,0,0
Tom Papley,3,24,17,20.33,2.0,1.0,1.33,100,67,0,100,33
Will Hayward,3,10,9,9.67,1.67,0.67,0.67,0,0,0,67,67
