Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Cadman,4,9,6,7.67,2.0,0.67,0.33,0,0,0,100,67
Brent Daniels,4,22,13,17.33,0.67,1.0,0.67,67,33,0,33,33
Callan Ward,1,8,8,8.0,0.0,0.0,0.0,0,0,0,0,0
Callum M. Brown,4,15,5,9.67,1.67,1.0,0.33,33,0,0,67,67
Connor Idun,4,28,13,20.0,0.0,0.33,0.0,67,33,33,0,0
Finn Callaghan,3,24,16,20.33,0.33,0.0,0.67,100,67,0,33,0
Harry Himmelberg,4,26,16,21.0,0.0,0.0,1.0,100,67,33,0,0
Harry Perryman,3,19,15,17.0,0.0,0.0,1.67,100,0,0,0,0
Harvey Thomas,4,21,6,12.0,0.33,1.0,0.67,33,33,0,33,0
Jack Buckley,4,17,15,16.0,0.0,0.0,1.0,100,0,0,0,0
Jacob Wehr,4,18,14,15.67,0.0,0.33,0.67,67,0,0,0,0
Jake Riccardi,4,19,6,11.67,2.0,0.67,1.0,33,0,0,100,67
James Peatling,2,8,3,5.5,0.5,0.0,0.5,0,0,0,50,0
Jesse Hogan,4,18,14,15.67,4.0,1.67,2.0,67,0,0,100,100
Josh Kelly,4,28,24,26.33,1.33,0.67,0.33,100,100,67,67,67
Kieren Briggs,4,21,9,16.0,0.0,0.67,0.67,67,33,0,0,0
Lachie Whitfield,4,36,29,31.33,0.0,0.0,0.67,100,100,100,0,0
Lachie Ash,4,20,6,15.0,0.0,0.0,0.33,67,33,0,0,0
Nick Haynes,2,23,6,14.5,0.0,0.0,0.0,50,50,0,0,0
Sam Taylor,4,17,10,13.33,0.0,0.0,1.0,33,0,0,0,0
Stephen Coniglio,4,31,27,29.33,0.67,0.0,1.0,100,100,100,33,33
Toby Bedford,4,11,5,7.67,1.0,0.33,0.33,0,0,0,67,33
Toby Greene,4,21,16,18.0,2.0,2.0,1.33,100,33,0,67,33
Toby McMullin,1,11,11,11.0,0.0,0.0,0.0,0,0,0,0,0
Tom Green,4,37,23,31.33,0.33,0.33,0.33,100,100,67,33,0
Xavier O'Halloran,4,16,11,13.33,0.33,0.0,0.0,33,0,0,33,0
