Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Angus Hastie,2,4,0,2.0,0.0,0.0,0.0,0,0,0,0,0
Anthony Caminiti,2,11,6,8.5,1.5,1.0,0.5,0,0,0,100,50
Ben Paton,12,19,6,13.5,0.0,0.0,0.7,40,0,0,0,0
Brad Crouch,1,15,15,15.0,0.0,0.0,1.0,100,0,0,0,0
Bradley Hill,4,27,12,20.75,0.25,0.5,0.25,75,50,50,25,0
Callum Wilkie,4,20,14,17.25,0.0,0.0,1.0,75,25,0,0,0
Cooper Sharman,4,17,8,12.5,0.5,1.25,1.0,25,0,0,50,0
Dan Butler,2,10,7,8.5,0.5,0.0,1.5,0,0,0,50,0
Darcy Wilson,4,17,9,12.25,0.75,0.75,0.5,25,0,0,50,25
Dougal Howard,18,18,7,12.9,0.0,0.1,0.5,40,0,0,0,0
Hunter Clark,19,20,1,13.8,0.1,0.1,0.5,50,10,0,10,0
Jack Hayes,1,8,8,8.0,1.0,0.0,2.0,0,0,0,100,0
Jack Higgins,4,16,13,14.25,2.25,1.25,0.75,50,0,0,75,75
Jack Sinclair,3,30,21,26.67,0.33,0.0,1.0,100,100,67,33,0
Jack Steele,4,33,25,28.25,0.0,0.25,1.75,100,100,100,0,0
Jimmy Webster,17,20,11,15.1,0.0,0.0,0.2,50,10,0,0,0
Josh Battle,4,25,17,21.0,0.0,0.0,1.0,100,50,25,0,0
Lance Collard,1,0,0,0.0,0.0,0.0,1.0,0,0,0,0,0
Liam Henry,2,19,14,16.5,1.0,1.5,0.5,50,0,0,50,50
Liam Stocker,4,15,11,12.75,0.0,0.0,0.5,25,0,0,0,0
Marcus Windhager,3,24,18,20.0,0.0,0.0,1.0,100,33,0,0,0
Mason Wood,2,15,3,9.0,0.0,0.0,0.0,50,0,0,0,0
Mattaes Phillipou,4,18,12,14.5,0.5,0.5,0.75,50,0,0,50,0
Max King,3,17,14,15.33,2.0,1.67,2.67,67,0,0,100,67
Mitch Owens,4,22,11,15.25,0.5,0.75,1.75,50,25,0,50,0
Nasiah Wanganeen-Milera,4,32,20,26.0,0.0,0.5,0.5,100,100,75,0,0
Paddy Dow,10,24,7,15.9,0.2,0.1,0.7,60,50,0,20,0
Riley Bonner,4,32,17,25.25,0.25,0.5,0.5,100,75,50,25,0
Rowan Marshall,4,24,19,21.5,0.25,0.25,2.25,100,75,0,25,0
Ryan Byrnes,4,21,14,16.5,0.0,0.0,0.75,50,25,0,0,0
Sebastian Ross,4,28,10,21.25,0.25,0.25,0.5,75,75,50,25,0
Tim Membrey,4,12,9,11.25,1.5,0.75,0.75,0,0,0,75,50
Zaine Cordy,4,15,8,10.5,0.0,0.0,0.5,25,0,0,0,0
Zak Jones,3,16,11,14.0,0.0,0.0,0.33,67,0,0,0,0
