Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Pearce,4,13,7,9.33,0.0,0.0,0.33,0,0,0,0,0
Andrew Brayshaw,4,38,21,28.67,0.33,0.0,1.0,100,100,67,33,0
Bailey Banfield,4,18,15,16.67,1.33,0.33,1.33,100,0,0,100,33
Brandon Walker,3,12,9,10.67,0.0,0.0,1.33,0,0,0,0,0
Brennan Cox,1,4,4,4.0,1.0,0.0,0.0,0,0,0,100,0
Caleb Serong,4,35,26,29.67,0.0,0.67,1.0,100,100,100,0,0
Corey Wagner,9,20,14,18.0,0.0,0.0,0.67,67,67,0,0,0
Ethan Hughes,4,18,10,14.0,0.0,0.0,1.0,33,0,0,0,0
Ethan Stanley,2,5,3,4.0,0.0,0.5,0.5,0,0,0,0,0
Hayden Young,4,32,21,26.0,0.0,0.0,1.0,100,100,67,0,0
Heath Chapman,3,22,6,15.0,0.0,0.0,0.67,67,33,0,0,0
Jaeger O'Meara,3,7,4,5.67,0.0,0.67,0.0,0,0,0,0,0
James Aish,4,29,21,25.67,0.0,0.33,0.67,100,100,67,0,0
Jeremy Sharp,4,29,13,19.0,0.67,0.33,0.67,67,33,33,67,0
Jordan Clark,4,30,26,28.0,0.0,0.0,1.33,100,100,100,0,0
Josh Corbett,5,11,4,7.33,1.0,0.67,0.0,0,0,0,67,33
Joshua Draper,3,14,4,8.33,0.0,0.0,0.33,0,0,0,0,0
Josh Treacy,4,13,10,11.0,1.0,0.67,1.33,0,0,0,100,0
Jye Amiss,4,13,4,8.0,1.33,2.0,1.33,0,0,0,100,33
Karl Worner,1,12,12,12.0,0.0,0.0,0.0,0,0,0,0,0
Luke Jackson,4,24,21,22.67,0.67,0.0,0.67,100,100,0,33,33
Luke Ryan,4,27,22,24.0,0.0,0.0,0.33,100,100,33,0,0
Matthew Johnson,4,22,13,17.33,0.0,0.33,0.67,67,33,0,0,0
Matt Taberner,3,10,4,8.0,1.67,0.67,0.67,0,0,0,100,67
Michael Walters,4,21,7,12.67,1.33,1.67,1.0,33,33,0,100,33
Michael Frederick,4,10,8,9.0,1.0,1.33,0.33,0,0,0,67,33
Nat Fyfe,4,26,19,22.0,0.33,0.33,0.33,100,67,33,33,0
Nathan O'Driscoll,10,15,7,12.0,0.0,0.0,0.33,33,0,0,0,0
Neil Erasmus,1,5,5,5.0,0.0,0.0,0.0,0,0,0,0,0
Oscar McDonald,1,10,10,10.0,0.0,0.0,0.0,0,0,0,0,0
Sam Sturt,14,12,9,10.0,1.67,0.33,0.33,0,0,0,67,33
Sam Switkowski,4,13,8,10.33,0.67,0.33,0.67,0,0,0,67,0
Sean Darcy,15,18,9,13.67,0.33,0.33,0.67,33,0,0,33,0
Tom Emmett,4,9,8,8.67,0.67,0.33,1.0,0,0,0,33,33
Will Brodie,5,26,16,22.0,0.0,0.0,0.67,100,67,33,0,0
