Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ben Miller,3,17,10,12.67,0.0,0.0,0.0,33,0,0,0,0
Daniel Rioli,5,27,13,19.4,0.2,0.0,0.6,80,60,20,20,0
Dion Prestia,2,18,7,12.5,0.0,0.5,0.0,50,0,0,0,0
Dustin Martin,3,30,16,20.67,0.67,0.33,0.0,100,33,33,33,33
Dylan Grimes,3,8,6,7.0,0.0,0.0,0.0,0,0,0,0,0
Jack Graham,1,18,18,18.0,0.0,0.0,0.0,100,0,0,0,0
Jack Ross,5,26,10,18.8,0.2,0.0,0.4,80,40,20,20,0
Jacob Hopper,2,25,23,24.0,1.0,0.0,2.0,100,100,50,50,50
Jacob Koschitzke,2,9,4,6.5,0.5,0.0,1.5,0,0,0,50,0
James Trezise,1,14,14,14.0,0.0,0.0,0.0,0,0,0,0,0
Jayden Short,5,24,19,21.2,0.2,0.2,0.4,100,60,0,20,0
Josh Gibcus,2,9,1,5.0,0.0,0.0,1.0,0,0,0,0,0
Judson Clarke,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Kamdyn McIntosh,5,16,9,13.4,0.0,0.2,0.0,40,0,0,0,0
Kane McAuliffe,1,4,4,4.0,0.0,0.0,1.0,0,0,0,0,0
Liam Baker,4,23,16,19.5,1.5,0.5,1.25,100,50,0,75,50
Marlion Pickett,5,22,11,15.4,0.4,0.2,0.6,40,20,0,40,0
Maurice Rioli,4,17,4,9.0,0.75,0.5,1.5,25,0,0,50,25
Nathan Broad,4,11,9,9.75,0.0,0.25,0.0,0,0,0,0,0
Nick Vlastuin,5,29,16,21.0,0.0,0.0,1.6,100,60,20,0,0
Noah Balta,4,23,6,13.75,1.25,0.5,0.75,50,25,0,75,25
Rhyan Mansell,4,17,6,11.75,0.75,0.75,1.25,25,0,0,50,25
Sam Banks,3,11,5,7.0,0.0,0.0,0.0,0,0,0,0,0
Sam Naismith,1,11,11,11.0,0.0,0.0,4.0,0,0,0,0,0
Samson Ryan,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Seth Campbell,5,18,9,13.6,0.6,0.6,0.4,20,0,0,40,20
Shai Bolton,5,25,8,18.4,2.2,1.0,0.4,80,40,20,80,80
Tom Lynch,3,11,7,9.33,2.0,1.33,1.33,0,0,0,100,67
Thomson Dow,5,18,6,12.6,0.0,0.2,0.8,40,0,0,0,0
Tim Taranto,5,35,15,25.0,0.6,1.2,1.8,100,80,60,60,0
Toby Nankervis,4,21,13,17.5,0.0,0.25,1.25,75,25,0,0,0
Tom Brown,3,18,10,13.67,0.0,0.33,1.0,33,0,0,0,0
Tylar Young,4,11,3,7.25,0.0,0.0,0.0,0,0,0,0,0
Tyler Sonsie,2,13,9,11.0,0.5,1.0,0.0,0,0,0,50,0
