Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alwyn Davey Jnr,2,9,1,5.0,0.5,0.0,0.0,0,0,0,50,0
Andrew McGrath,5,33,16,25.4,0.2,0.0,1.2,100,80,60,20,0
Archie Perkins,4,24,16,20.25,0.75,0.5,1.75,100,75,0,50,25
Ben Hobbs,4,18,13,16.0,0.0,0.25,0.75,75,0,0,0,0
Ben McKay,5,18,9,13.6,0.0,0.0,0.8,40,0,0,0,0
Darcy Parish,3,26,21,23.0,0.0,0.33,0.33,100,100,33,0,0
Dylan Shiel,12,28,2,18.67,0.5,0.08,0.42,75,50,25,25,25
Dyson Heppell,5,30,18,23.0,0.0,0.0,0.6,100,80,40,0,0
Elijah Tsatas,2,14,12,13.0,0.0,0.5,0.0,0,0,0,0,0
Harrison Jones,4,13,4,10.25,1.25,0.25,0.5,0,0,0,75,50
Jade Gresham,5,23,8,13.0,1.6,0.4,0.8,20,20,0,80,40
Jake Kelly,4,20,12,15.5,0.0,0.0,0.5,75,25,0,0,0
Jake Stringer,5,14,9,11.4,2.6,0.8,0.4,0,0,0,100,80
Jayden Laverde,4,14,10,12.0,0.0,0.0,0.25,0,0,0,0,0
Jordan Ridley,17,32,4,20.29,0.06,0.06,0.59,94,59,18,6,0
Jye Caldwell,5,24,13,19.2,0.4,0.0,0.8,80,60,0,40,0
Jye Menzie,5,10,4,6.2,0.2,0.6,0.4,0,0,0,20,0
Kaine Baldwin,4,14,0,8.75,0.0,0.0,0.5,0,0,0,0,0
Kyle Langford,5,14,7,11.0,2.2,1.0,0.6,0,0,0,80,80
Mason Redman,4,25,15,20.75,0.0,0.25,1.25,100,75,25,0,0
Matt Guelfi,1,12,12,12.0,2.0,0.0,1.0,0,0,0,100,100
Nic Martin,5,44,25,32.0,0.2,0.4,0.4,100,100,100,20,0
Nick Bryan,8,15,4,9.0,0.12,0.25,0.62,12,0,0,12,0
Nick Hind,4,10,5,6.25,0.0,0.5,0.25,0,0,0,0,0
Nik Cox,5,18,12,14.2,0.2,0.2,0.6,40,0,0,20,0
Peter Wright,2,9,8,8.5,2.0,0.0,0.0,0,0,0,100,100
Sam Draper,4,12,8,9.75,0.25,0.75,1.25,0,0,0,25,0
Sam Durham,4,21,11,16.5,0.5,0.25,1.5,75,25,0,50,0
Sam Weideman,16,14,3,9.12,0.94,0.94,0.81,0,0,0,38,38
Todd Goldstein,5,12,7,9.0,0.4,0.0,1.8,0,0,0,40,0
Will Setterfield,3,29,19,24.0,0.0,0.33,1.0,100,67,33,0,0
Xavier Duursma,5,26,12,19.2,0.6,0.0,1.4,80,60,20,40,20
Zach Reid,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0
Zach Merrett,5,36,27,31.2,0.4,0.2,1.6,100,100,100,20,20
