Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Josh Dunkley,19,22/07/2023,Cats,Win 64-53,27,0,0
2022,Josh Dunkley,20,30/07/2022,Cats,Loss 66-94,25,2,1
2022,Josh Dunkley,12,03/06/2022,Cats,Loss 70-83,19,0,0
2023,Lachie Neale,19,22/07/2023,Cats,Win 64-53,25,0,0
2022,Lachie Neale,Preliminary Final,16/09/2022,Cats,Loss 49-120,20,0,0
2022,Lachie Neale,4,08/04/2022,Cats,Loss 70-80,30,0,1
2021,Lachie Neale,15,24/06/2021,Cats,Win 94-50,24,0,0
2021,Lachie Neale,2,26/03/2021,Cats,Loss 80-81,16,0,0
2023,Hugh McCluggage,19,22/07/2023,Cats,Win 64-53,26,0,0
2022,Hugh McCluggage,Preliminary Final,16/09/2022,Cats,Loss 49-120,17,0,1
2022,Hugh McCluggage,4,08/04/2022,Cats,Loss 70-80,22,0,1
2021,Hugh McCluggage,15,24/06/2021,Cats,Win 94-50,17,0,0
2021,Hugh McCluggage,2,26/03/2021,Cats,Loss 80-81,18,1,2
2023,Dayne Zorko,19,22/07/2023,Cats,Win 64-53,15,0,0
2022,Dayne Zorko,Preliminary Final,16/09/2022,Cats,Loss 49-120,11,0,0
2022,Dayne Zorko,4,08/04/2022,Cats,Loss 70-80,11,0,0
2021,Dayne Zorko,15,24/06/2021,Cats,Win 94-50,24,0,0
2021,Dayne Zorko,2,26/03/2021,Cats,Loss 80-81,22,0,1
2023,Will Ashcroft,19,22/07/2023,Cats,Win 64-53 ,16,0,1
2023,Oscar McInerney,19,22/07/2023,Cats,Win 64-53,11,0,0
2022,Oscar McInerney,Preliminary Final,16/09/2022,Cats,Loss 49-120,10,0,0
2021,Oscar McInerney,15,24/06/2021,Cats,Win 94-50,18,0,0
2021,Oscar McInerney,2,26/03/2021,Cats,Loss 80-81,6,0,0
2023,Joe Daniher,19,22/07/2023,Cats,Win 64-53,21,2,1
2022,Joe Daniher,Preliminary Final,16/09/2022,Cats,Loss 49-120,14,0,1
2022,Joe Daniher,4,08/04/2022,Cats,Loss 70-80,12,3,0
2021,Joe Daniher,15,24/06/2021,Cats,Win 94-50,14,4,1
2021,Joe Daniher,2,26/03/2021,Cats,Loss 80-81,14,1,2
2023,Jarrod Berry,19,22/07/2023,Cats,Win 64-53,17,0,0
2022,Jarrod Berry,Preliminary Final,16/09/2022,Cats,Loss 49-120,19,1,0
2022,Jarrod Berry,4,08/04/2022,Cats,Loss 70-80,21,0,0
2022,Zac Bailey,Preliminary Final,16/09/2022,Cats,Loss 49-120,19,1,2
2022,Zac Bailey,4,08/04/2022,Cats,Loss 70-80,15,0,0
2021,Zac Bailey,15,24/06/2021,Cats,Win 94-50,15,0,1
2021,Zac Bailey,2,26/03/2021,Cats,Loss 80-81,16,0,0
2023,Keidean Coleman,19,22/07/2023,Cats,Win 64-53,21,0,0
2022,Keidean Coleman,Preliminary Final,16/09/2022,Cats,Loss 49-120,14,0,0
2021,Keidean Coleman,15,24/06/2021,Cats,Win 94-50,6,1,0
2021,Keidean Coleman,2,26/03/2021,Cats,Loss 80-81,2,0,0
2023,Harris Andrews,19,22/07/2023,Cats,Win 64-53,12,0,0
2022,Harris Andrews,Preliminary Final,16/09/2022,Cats,Loss 49-120,9,0,0
2022,Harris Andrews,4,08/04/2022,Cats,Loss 70-80,16,0,0
2021,Harris Andrews,15,24/06/2021,Cats,Win 94-50,13,0,0
2021,Harris Andrews,2,26/03/2021,Cats,Loss 80-81,11,0,0
2023,Conor McKenna,19,22/07/2023,Cats,Win 64-53,23,1,0
2023,Cam Rayner,19,22/07/2023,Cats,Win 64-53,14,0,0
2022,Cam Rayner,Preliminary Final,16/09/2022,Cats,Loss 49-120,8,0,0
2022,Cam Rayner,4,08/04/2022,Cats,Loss 70-80,13,1,0
2023,Charlie Cameron,19,22/07/2023,Cats,Win 64-53,11,1,0
2022,Charlie Cameron,Preliminary Final,16/09/2022,Cats,Loss 49-120,8,1,1
2022,Charlie Cameron,4,08/04/2022,Cats,Loss 70-80,16,2,0
2021,Charlie Cameron,15,24/06/2021,Cats,Win 94-50,14,3,3
2021,Charlie Cameron,2,26/03/2021,Cats,Loss 80-81,7,2,1
2023,Ryan Lester,19,22/07/2023,Cats,Win 64-53,11,0,0
2021,Ryan Lester,2,26/03/2021,Cats,Loss 80-81,12,0,0
2023,Darcy Wilmot,19,22/07/2023,Cats,Win 64-53,23,0,1
2022,Darcy Wilmot,Preliminary Final,16/09/2022,Cats,Loss 49-120,12,0,0
2023,Eric Hipwood,19,22/07/2023,Cats,Win 64-53,8,2,0
2022,Eric Hipwood,Preliminary Final,16/09/2022,Cats,Loss 49-120,9,2,1
2021,Eric Hipwood,15,24/06/2021,Cats,Win 94-50,7,2,2
2021,Eric Hipwood,2,26/03/2021,Cats,Loss 80-81,12,4,3
2021,Harry Sharp,2,26/03/2021,Cats,Loss 80-81,4,0,0
2023,Tom Doedee,8,06/05/2023,Cats,Loss 72-98,17,0,0
2022,Tom Doedee,11,28/05/2022,Cats,Loss 55-97,16,0,0
2021,Tom Doedee,1,20/03/2021,Cats,Win 103-91,13,0,0
2023,Lincoln McCarthy,19,22/07/2023,Cats,Win 64-53,16,2,0
2022,Lincoln McCarthy,Preliminary Final,16/09/2022,Cats,Loss 49-120,11,1,0
2022,Lincoln McCarthy,4,08/04/2022,Cats,Loss 70-80,14,0,0
2021,Lincoln McCarthy,15,24/06/2021,Cats,Win 94-50,14,2,2
2021,Lincoln McCarthy,2,26/03/2021,Cats,Loss 80-81,7,1,0
2023,Callum Ah Chee,19,22/07/2023,Cats,Win 64-53,23,1,1
2022,Callum Ah Chee,Preliminary Final,16/09/2022,Cats,Loss 49-120,8,1,0
2022,Callum Ah Chee,4,08/04/2022,Cats,Loss 70-80,13,0,1
2021,Callum Ah Chee,15,24/06/2021,Cats,Win 94-50,2,0,0
2021,Callum Ah Chee,2,26/03/2021,Cats,Loss 80-81,7,0,0
2022,Jarryd Lyons,4,08/04/2022,Cats,Loss 70-80,21,0,0
2021,Jarryd Lyons,15,24/06/2021,Cats,Win 94-50,24,1,0
2021,Jarryd Lyons,2,26/03/2021,Cats,Loss 80-81,20,1,0
2023,Jaspa Fletcher,19,22/07/2023,Cats,Win 64-53,19,0,1
2023,Brandon Starcevich,19,22/07/2023,Cats,Win 64-53,8,0,0
2022,Brandon Starcevich,Preliminary Final,16/09/2022,Cats,Loss 49-120,13,0,0
2022,Brandon Starcevich,4,08/04/2022,Cats,Loss 70-80,10,1,0
2021,Brandon Starcevich,15,24/06/2021,Cats,Win 94-50,9,0,0
2021,Brandon Starcevich,2,26/03/2021,Cats,Loss 80-81,9,0,0
2023,Jack Payne,19,22/07/2023,Cats,Win 64-53,12,0,0
2022,Jack Payne,Preliminary Final,16/09/2022,Cats,Loss 49-120,11,0,0
2021,Jack Payne,15,24/06/2021,Cats,Win 94-50,8,0,0
2021,Jack Payne,2,26/03/2021,Cats,Loss 80-81,9,0,0
2022,Darcy Fort,4,08/04/2022,Cats,Loss 70-80,15,0,0
2021,Jaxon Prior,15,24/06/2021,Cats,Win 94-50,5,0,0
2021,Jaxon Prior,2,26/03/2021,Cats,Loss 80-81,9,0,1
2022,Darcy Gardiner,Preliminary Final,16/09/2022,Cats,Loss 49-120,16,0,0
2022,Darcy Gardiner,4,08/04/2022,Cats,Loss 70-80,10,0,0
2022,Deven Robertson,Preliminary Final,16/09/2022,Cats,Loss 49-120,17,0,0
2021,Deven Robertson,15,24/06/2021,Cats,Win 94-50,16,0,0
2022,Noah Answerth,Preliminary Final,16/09/2022,Cats,Loss 49-120,10,0,0
2022,Noah Answerth,4,08/04/2022,Cats,Loss 70-80,13,0,0
2021,Darragh Joyce,22,14/08/2021,Cats,Loss 71-85,9,0,0
2023,Kai Lohmann,19,22/07/2023,Cats,Win 64-53,2,0,0
2021,James Madden,15,24/06/2021,Cats,Win 94-50,7,0,0
