Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aidan Corr,5,16,10,13.67,0.0,0.0,0.33,67,0,0,0,0
Bailey Scott,5,27,15,21.0,0.0,0.0,0.0,100,67,33,0,0
Bigoa Nyuon,1,19,19,19.0,0.0,0.0,2.0,100,0,0,0,0
Blake Drury,1,17,17,17.0,2.0,0.0,1.0,100,0,0,100,100
Callum Coleman-Jones,3,9,3,6.0,0.0,0.0,1.0,0,0,0,0,0
Cameron Zurhaar,4,19,11,14.33,1.0,0.67,1.67,33,0,0,67,33
Charlie Comben,2,25,14,19.5,0.0,0.0,1.5,50,50,50,0,0
Charlie Lazzaro,4,16,13,15.0,0.33,0.0,0.67,67,0,0,33,0
Colby McKercher,5,19,1,11.0,0.0,0.0,0.33,33,0,0,0,0
Cooper Harvey,3,13,5,9.33,0.33,0.0,0.33,0,0,0,33,0
Curtis Taylor,16,16,8,12.0,0.67,0.33,0.33,33,0,0,67,0
Darcy Tucker,5,21,8,16.0,0.0,0.0,0.33,67,33,0,0,0
Dylan Stephens,5,15,5,11.0,0.0,0.0,1.0,33,0,0,0,0
Eddie Ford,5,20,6,12.67,2.0,0.0,0.33,33,33,0,100,67
George Wardlaw,5,17,11,14.67,0.33,0.0,1.33,67,0,0,33,0
Griffin Logue,15,16,1,9.67,0.0,0.0,0.33,33,0,0,0,0
Harry Sheezel,5,38,32,35.0,0.33,0.0,0.67,100,100,100,33,0
Hugh Greenwood,2,12,5,8.5,0.5,0.5,0.5,0,0,0,50,0
Jackson Archer,5,11,4,7.67,0.0,0.0,0.33,0,0,0,0,0
Jaidyn Stephenson,4,11,9,10.0,0.33,0.0,0.0,0,0,0,33,0
Josh Goater,1,10,10,10.0,0.0,0.0,1.0,0,0,0,0,0
Jy Simpkin,4,19,14,16.33,0.0,0.67,1.0,67,0,0,0,0
Kallan Dawson,4,13,8,11.0,0.0,0.0,0.67,0,0,0,0,0
Liam Shiels,2,12,4,8.0,0.5,0.0,0.0,0,0,0,50,0
Luke Davies-Uniacke,5,27,25,26.33,0.33,0.0,0.33,100,100,100,33,0
Luke McDonald,4,21,14,16.33,0.0,0.0,1.33,33,33,0,0,0
Miller Bergman,12,14,5,10.33,0.0,0.0,0.33,0,0,0,0,0
Nick Larkey,5,10,6,7.67,2.0,0.33,1.0,0,0,0,100,67
Paul Curtis,5,13,5,9.33,1.67,1.33,1.0,0,0,0,100,33
Tarryn Thomas,12,25,22,23.0,0.67,1.0,1.33,100,100,33,33,33
Toby Pink,3,10,5,8.33,0.0,0.0,0.67,0,0,0,0,0
Tom Powell,5,29,14,23.0,0.33,0.0,0.67,67,67,67,33,0
Tristan Xerri,5,13,9,11.67,0.33,0.0,2.0,0,0,0,33,0
Will Phillips,16,26,16,19.67,0.0,0.33,0.33,100,33,33,0,0
Zac Fisher,5,22,20,21.33,0.0,0.33,0.67,100,100,0,0,0
Zane Duursma,5,12,7,9.67,0.33,0.67,1.0,0,0,0,33,0
