Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Tim English,2,25/03/2023,Saints,Loss 41-92,21,1,0
2022,Tim English,18,15/07/2022,Saints,Win 84-56,8,0,0
2023,Marcus Bontempelli,2,25/03/2023,Saints,Loss 41-92,24,0,0
2022,Marcus Bontempelli,18,15/07/2022,Saints,Win 84-56,34,2,1
2021,Marcus Bontempelli,10,22/05/2021,Saints,Win 144-33,26,4,3
2022,Adam Treloar,18,15/07/2022,Saints,Win 84-56,25,1,0
2021,Adam Treloar,10,22/05/2021,Saints,Win 144-33,14,0,0
2023,Tom Liberatore,2,25/03/2023,Saints,Loss 41-92,24,0,0
2022,Tom Liberatore,18,15/07/2022,Saints,Win 84-56,31,0,0
2021,Tom Liberatore,10,22/05/2021,Saints,Win 144-33,31,1,0
2023,Jack Macrae,2,25/03/2023,Saints,Loss 41-92,25,0,0
2022,Jack Macrae,18,15/07/2022,Saints,Win 84-56,31,0,0
2021,Jack Macrae,10,22/05/2021,Saints,Win 144-33,41,0,0
2023,Caleb Daniel,2,25/03/2023,Saints,Loss 41-92,23,0,1
2021,Caleb Daniel,10,22/05/2021,Saints,Win 144-33,25,0,0
2023,Bailey Dale,2,25/03/2023,Saints,Loss 41-92,21,0,0
2022,Bailey Dale,18,15/07/2022,Saints,Win 84-56,30,1,0
2021,Bailey Dale,10,22/05/2021,Saints,Win 144-33,34,2,0
2023,Bailey Smith,2,25/03/2023,Saints,Loss 41-92,28,0,0
2022,Bailey Smith,18,15/07/2022,Saints,Win 84-56,29,0,0
2021,Bailey Smith,10,22/05/2021,Saints,Win 144-33,26,0,1
2023,Ed Richards,2,25/03/2023,Saints,Loss 41-92,19,0,0
2022,Ed Richards,18,15/07/2022,Saints,Win 84-56,22,0,0
2022,Jason Johannisen,18,15/07/2022,Saints,Win 84-56,16,1,1
2021,Jason Johannisen,10,22/05/2021,Saints,Win 144-33,19,1,1
2023,Bailey Williams,2,25/03/2023,Saints,Loss 41-92,11,0,1
2022,Bailey Williams,18,15/07/2022,Saints,Win 84-56,14,0,0
2021,Bailey Williams,10,22/05/2021,Saints,Win 144-33,14,0,1
2023,Aaron Naughton,2,25/03/2023,Saints,Loss 41-92,11,2,2
2021,Aaron Naughton,10,22/05/2021,Saints,Win 144-33,15,5,4
2023,Lachlan Bramble,20,30/07/2023,Saints,Loss 93-122,15,0,0
2023,Lachlan Bramble,11,27/05/2023,Saints,Win 88-78,23,0,0
2023,Oskar Baker,2,25/03/2023,Saints,Loss 41-92,13,1,1
2023,Jamarra Ugle-Hagan,2,25/03/2023,Saints,Loss 41-92,8,0,2
2022,Jamarra Ugle-Hagan,18,15/07/2022,Saints,Win 84-56,6,3,0
2022,Rory Lobb,17,09/07/2022,Saints,Win 111-70,14,2,2
2022,Rory Lobb,2,27/03/2022,Saints,Loss 55-65,13,2,0
2022,Cody Weightman,18,15/07/2022,Saints,Win 84-56,7,1,0
2021,Cody Weightman,10,22/05/2021,Saints,Win 144-33,14,2,2
2021,Caleb Poulter,16,04/07/2021,Saints,Loss 61-70,14,0,0
2023,Rhylee West,2,25/03/2023,Saints,Loss 41-92,4,0,0
2022,Rhylee West,18,15/07/2022,Saints,Win 84-56,11,1,1
2023,Alex Keath,2,25/03/2023,Saints,Loss 41-92,17,0,0
2022,Alex Keath,18,15/07/2022,Saints,Win 84-56,5,0,0
2021,Alex Keath,10,22/05/2021,Saints,Win 144-33,15,0,0
2023,Taylor Duryea,2,25/03/2023,Saints,Loss 41-92,19,0,0
2021,Taylor Duryea,10,22/05/2021,Saints,Win 144-33,17,0,0
2023,Anthony Scott,2,25/03/2023,Saints,Loss 41-92,10,0,1
2021,Anthony Scott,10,22/05/2021,Saints,Win 144-33,5,0,1
2022,James Harmes,8,08/05/2022,Saints,Win 93-55,16,2,0
2023,Liam Jones,2,25/03/2023,Saints,Loss 41-92,12,0,0
2022,Liam Jones,20,30/07/2022,Saints,Win 112-81,11,0,0
2021,Liam Jones,20,30/07/2021,Saints,Win 112-81,11,0,0
2022,Ryan Gardner,18,15/07/2022,Saints,Win 84-56,15,0,0
2023,Riley Garcia,2,25/03/2023,Saints,Loss 41-92,12,1,0
2022,Riley Garcia,18,15/07/2022,Saints,Win 84-56,17,1,1
2022,Lachlan McNeil,18,15/07/2022,Saints,Win 84-56,14,0,1
2021,Lachlan McNeil,10,22/05/2021,Saints,Win 144-33,6,0,0
2023,Sam Darcy,2,25/03/2023,Saints,Loss 41-92,2,0,0
2022,Buku Khamis,18,15/07/2022,Saints,Win 84-56,18,0,1
