Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Sexton,3,21,14,17.33,0.0,0.33,0.67,67,33,0,0,0
Bailey Humphrey,4,16,9,13.25,0.25,1.0,1.0,50,0,0,25,0
Ben Ainsworth,5,22,12,17.0,0.8,0.4,0.2,60,40,0,60,20
Ben King,5,10,3,6.8,2.8,1.2,1.0,0,0,0,80,80
Ben Long,1,4,4,4.0,0.0,2.0,0.0,0,0,0,0,0
Bodhi Uwland,5,15,8,10.6,0.0,0.0,0.6,20,0,0,0,0
Brandon Ellis,3,15,8,11.67,0.0,0.67,0.33,33,0,0,0,0
Brayden Fiorini,5,24,15,20.2,0.6,0.4,0.2,100,60,0,40,20
Charlie Ballard,5,19,10,13.0,0.0,0.0,1.0,20,0,0,0,0
Connor Budarick,3,21,7,15.33,0.0,0.0,0.67,67,33,0,0,0
Darcy Macpherson,2,2,1,1.5,0.0,0.0,0.0,0,0,0,0,0
David Swallow,5,16,4,10.6,0.8,0.0,0.6,20,0,0,40,20
Ethan Read ,2,5,5,5.0,1.5,0.5,1.0,0,0,0,100,50
Jack Lukosius,5,22,9,16.0,0.8,0.6,0.4,60,40,0,40,20
Jarrod Witts,4,17,9,13.5,0.0,0.5,1.5,25,0,0,0,0
Jed Walter,3,7,4,5.33,1.0,0.67,2.0,0,0,0,67,33
Levi Casboult,3,10,8,9.0,0.0,0.33,1.0,0,0,0,0,0
Mac Andrew,2,24,17,20.5,0.0,0.0,0.5,100,50,0,0,0
Malcolm Rosas,4,13,3,8.0,2.0,1.0,1.0,0,0,0,100,75
Matt Rowell,5,33,22,27.0,0.6,0.2,3.4,100,100,80,60,0
Ned Moyle,1,14,14,14.0,1.0,0.0,2.0,0,0,0,100,0
Nick Holman,5,13,6,9.6,0.8,0.6,0.2,0,0,0,60,20
Noah Anderson,5,36,25,30.8,0.6,0.8,1.4,100,100,100,60,0
Rory Atkins,1,8,8,8.0,0.0,0.0,0.0,0,0,0,0,0
Sam Clohesy,2,22,18,20.0,1.5,0.0,0.0,100,50,0,100,50
Sam Flanders,5,35,26,30.0,0.2,0.0,0.6,100,100,100,20,0
Sam Collins,5,16,11,13.0,0.0,0.0,0.6,20,0,0,0,0
Thomas Berry,5,17,6,11.6,0.4,0.4,1.8,40,0,0,40,0
Touk Miller,5,30,23,27.6,0.0,0.2,1.0,100,100,80,0,0
Wil Powell,5,28,13,19.2,0.0,0.0,0.8,60,60,20,0,0
Will Graham,2,17,14,15.5,0.0,0.0,3.0,50,0,0,0,0
