Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Pearce,5,20,7,13.4,0.0,0.0,1.0,40,20,0,0,0
Andrew Brayshaw,5,38,18,27.2,0.4,0.2,1.4,100,80,60,40,0
Bailey Banfield,5,18,14,15.6,1.2,0.2,1.2,60,0,0,100,20
Brandon Walker,4,12,9,11.0,0.0,0.0,1.25,0,0,0,0,0
Brennan Cox,1,4,4,4.0,1.0,0.0,0.0,0,0,0,100,0
Caleb Serong,5,46,26,32.8,0.0,0.6,1.2,100,100,100,0,0
Corey Wagner,9,23,14,18.4,0.0,0.0,1.2,80,60,0,0,0
Ethan Hughes,5,18,10,12.8,0.0,0.0,0.8,20,0,0,0,0
Ethan Stanley,2,5,3,4.0,0.0,0.5,0.5,0,0,0,0,0
Hayden Young,5,32,21,25.8,0.0,0.0,0.6,100,100,60,0,0
Heath Chapman,3,22,6,15.0,0.0,0.0,0.67,67,33,0,0,0
Jaeger O'Meara,4,14,4,7.75,0.0,0.75,0.25,0,0,0,0,0
James Aish,5,29,16,23.8,0.0,0.4,0.8,100,80,60,0,0
Jeremy Sharp,5,29,13,18.8,0.4,0.2,0.6,80,20,20,40,0
Jordan Clark,5,30,21,25.8,0.0,0.2,1.2,100,100,60,0,0
Josh Corbett,5,11,4,6.6,0.6,0.6,0.2,0,0,0,40,20
Joshua Draper,4,14,4,8.75,0.0,0.0,0.25,0,0,0,0,0
Josh Treacy,5,16,10,12.2,1.8,0.4,1.0,20,0,0,100,40
Jye Amiss,5,13,4,7.8,2.0,1.4,1.2,0,0,0,100,60
Karl Worner,1,12,12,12.0,0.0,0.0,0.0,0,0,0,0,0
Luke Jackson,5,24,18,21.4,0.8,0.0,0.4,100,80,0,40,40
Luke Ryan,5,33,22,25.8,0.0,0.0,0.8,100,100,40,0,0
Matthew Johnson,5,22,11,14.8,0.0,0.4,0.6,40,20,0,0,0
Matt Taberner,4,10,3,6.75,1.5,0.5,0.5,0,0,0,100,50
Michael Walters,5,21,5,9.8,1.0,1.2,0.8,20,20,0,80,20
Michael Frederick,4,15,8,10.5,1.0,1.25,0.25,25,0,0,75,25
Nat Fyfe,5,26,17,20.8,0.2,0.4,1.0,100,60,20,20,0
Nathan O'Driscoll,10,20,7,14.2,0.0,0.0,0.6,60,20,0,0,0
Neil Erasmus,2,5,2,3.5,0.0,0.0,0.0,0,0,0,0,0
Oscar McDonald,1,10,10,10.0,0.0,0.0,0.0,0,0,0,0,0
Sam Sturt,14,14,9,10.6,1.8,0.8,0.4,0,0,0,80,40
Sam Switkowski,5,13,8,11.0,0.6,0.8,1.4,0,0,0,60,0
Sean Darcy,15,18,6,12.2,0.2,0.4,0.6,20,0,0,20,0
Tom Emmett,5,9,5,7.4,0.6,0.2,0.8,0,0,0,40,20
Will Brodie,5,26,16,20.6,0.2,0.2,0.6,100,60,20,20,0
