Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Witherden,2,18,15,16.5,0.0,0.0,0.5,100,0,0,0,0
Andrew Gaff,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Bailey J. Williams,5,17,13,14.33,0.0,0.67,2.67,33,0,0,0,0
Brady Hough,5,12,8,10.67,0.0,0.0,0.33,0,0,0,0,0
Callum Jamieson,4,12,11,11.33,0.0,0.0,1.67,0,0,0,0,0
Campbell Chesser,5,13,7,10.0,0.33,0.0,0.0,0,0,0,33,0
Dom Sheed,15,28,18,24.0,0.33,0.0,0.67,100,67,67,33,0
Elijah Hewett,14,20,12,17.0,0.0,0.33,0.33,67,33,0,0,0
Elliot Yeo,5,29,27,28.0,0.67,1.33,2.0,100,100,100,33,33
Harley Reid,5,27,12,19.0,0.67,0.0,2.33,67,33,33,67,0
Harry Barnett,1,6,6,6.0,0.0,0.0,1.0,0,0,0,0,0
Harry Edwards,2,10,6,8.0,0.0,0.0,0.0,0,0,0,0,0
Jack Darling,5,14,8,11.0,0.33,0.33,1.0,0,0,0,33,0
Jack Petruccelle,5,16,10,13.0,1.0,1.0,1.33,33,0,0,67,33
Jack Williams,3,6,3,4.67,1.0,0.0,0.33,0,0,0,100,0
Jai Culley,5,10,1,5.33,1.67,0.33,1.0,0,0,0,67,33
Jake Waterman,5,18,14,16.67,3.0,1.33,1.0,67,0,0,100,67
Jamaine Jones,2,14,13,13.5,0.0,0.0,0.0,0,0,0,0,0
Jamie Cripps,5,18,10,13.67,1.67,2.33,1.0,33,0,0,100,67
Jayden Hunt,5,21,10,15.33,0.33,0.33,0.33,67,33,0,33,0
Jeremy McGovern,5,26,15,21.67,0.0,0.0,1.0,100,67,33,0,0
Josh Rotham,2,11,9,10.0,0.0,0.0,0.0,0,0,0,0,0
Liam Duggan,5,30,21,24.33,0.0,0.0,0.67,100,100,33,0,0
Liam Ryan,3,17,9,13.0,1.33,0.33,1.33,33,0,0,67,33
Loch Rawlinson,1,4,4,4.0,0.0,1.0,0.0,0,0,0,0,0
Luke Edwards,5,7,2,5.33,0.0,0.0,0.67,0,0,0,0,0
Matt Flynn,9,16,8,13.33,0.0,0.33,1.67,67,0,0,0,0
Noah Long,5,13,10,11.33,0.33,1.0,0.33,0,0,0,33,0
Oscar Allen,1,9,9,9.0,0.0,3.0,1.0,0,0,0,0,0
Reuben Ginbey,5,16,12,13.67,0.0,0.33,0.67,33,0,0,0,0
Rhett Bazzo,11,13,4,8.33,0.0,0.0,0.67,0,0,0,0,0
Ryan Maric,4,7,5,6.0,0.33,0.0,0.67,0,0,0,33,0
Tim Kelly,5,29,18,25.0,0.33,0.67,1.0,100,67,67,33,0
Tom Barrass,5,16,6,11.67,0.0,0.0,0.33,33,0,0,0,0
Tom Cole,5,20,10,14.33,0.0,0.67,1.0,33,33,0,0,0
Tyler Brockman,4,12,7,9.67,0.0,0.67,0.67,0,0,0,0,0
Zane Trew,4,11,7,9.0,0.33,0.0,0.0,0,0,0,33,0
