Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Witherden,2,18,15,16.5,0.0,0.0,0.5,100,0,0,0,0
Andrew Gaff,1,4,4,4.0,0.0,0.0,0.0,0,0,0,0,0
Bailey J. Williams,5,17,11,13.4,0.2,0.6,2.0,20,0,0,20,0
Brady Hough,5,18,8,13.0,0.0,0.0,1.0,40,0,0,0,0
Callum Jamieson,4,12,11,11.25,0.0,0.0,1.25,0,0,0,0,0
Campbell Chesser,5,16,7,10.8,0.4,0.0,0.2,20,0,0,40,0
Dom Sheed,15,43,17,24.4,0.33,0.27,0.93,100,73,53,27,7
Elijah Hewett,14,21,3,13.43,0.29,0.5,0.43,43,14,0,21,7
Elliot Yeo,5,29,20,26.2,0.6,0.8,1.4,100,100,80,40,20
Harley Reid,5,27,12,18.0,0.4,0.0,2.4,80,20,20,40,0
Harry Barnett,1,6,6,6.0,0.0,0.0,1.0,0,0,0,0,0
Harry Edwards,2,10,6,8.0,0.0,0.0,0.0,0,0,0,0,0
Jack Darling,5,14,4,9.8,0.4,0.6,0.6,0,0,0,40,0
Jack Petruccelle,5,16,8,12.0,1.2,1.2,1.4,20,0,0,60,40
Jack Williams,3,6,3,4.67,1.0,0.0,0.33,0,0,0,100,0
Jai Culley,5,14,1,8.4,1.0,0.4,0.6,0,0,0,40,20
Jake Waterman,5,18,11,14.6,2.4,1.4,0.6,40,0,0,100,60
Jamaine Jones,2,14,13,13.5,0.0,0.0,0.0,0,0,0,0,0
Jamie Cripps,5,18,10,13.8,1.4,1.8,0.6,20,0,0,100,40
Jayden Hunt,5,22,10,17.6,0.4,0.2,0.4,80,60,0,40,0
Jeremy McGovern,5,26,15,22.0,0.0,0.0,1.0,100,60,40,0,0
Josh Rotham,2,11,9,10.0,0.0,0.0,0.0,0,0,0,0,0
Liam Duggan,5,30,17,23.6,0.2,0.0,0.8,100,80,40,20,0
Liam Ryan,3,17,9,13.0,1.33,0.33,1.33,33,0,0,67,33
Loch Rawlinson,1,4,4,4.0,0.0,1.0,0.0,0,0,0,0,0
Luke Edwards,5,16,2,8.8,0.0,0.0,0.4,20,0,0,0,0
Matt Flynn,9,17,7,11.78,0.11,0.22,1.44,33,0,0,11,0
Noah Long,5,13,9,10.6,0.2,0.8,0.4,0,0,0,20,0
Oscar Allen,1,9,9,9.0,0.0,3.0,1.0,0,0,0,0,0
Reuben Ginbey,5,22,12,15.0,0.0,0.6,0.8,40,20,0,0,0
Rhett Bazzo,11,13,3,8.64,0.0,0.0,0.36,0,0,0,0,0
Ryan Maric,4,7,5,5.75,0.25,0.0,0.5,0,0,0,25,0
Tim Kelly,5,29,16,22.6,0.4,0.4,0.8,100,60,40,40,0
Tom Barrass,5,16,4,10.2,0.0,0.0,0.4,20,0,0,0,0
Tom Cole,5,21,10,16.0,0.0,0.4,1.4,60,40,0,0,0
Tyler Brockman,4,12,7,9.5,0.0,0.5,0.75,0,0,0,0,0
Zane Trew,4,11,7,9.0,0.25,0.0,0.0,0,0,0,25,0
