Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alwyn Davey Jnr,3,9,1,6.33,0.33,0.0,0.67,0,0,0,33,0
Andrew McGrath,6,23,16,19.67,0.0,0.0,1.0,100,67,0,0,0
Archie Perkins,4,21,16,19.0,0.33,0.67,1.67,100,67,0,33,0
Ben Hobbs,5,21,13,17.0,0.33,0.0,1.67,67,33,0,33,0
Ben McKay,6,18,11,14.0,0.0,0.0,1.67,33,0,0,0,0
Darcy Parish,4,23,21,22.0,0.33,0.67,0.0,100,100,0,33,0
Dylan Shiel,12,10,2,6.0,0.0,0.0,0.0,0,0,0,0,0
Dyson Heppell,6,25,13,18.67,0.0,0.0,0.67,67,33,33,0,0
Elijah Tsatas,3,14,4,10.0,0.0,0.33,0.0,0,0,0,0,0
Harrison Jones,5,13,11,12.33,1.67,0.33,1.0,0,0,0,100,67
Jade Gresham,6,26,10,16.0,1.67,0.33,1.0,33,33,33,100,33
Jake Kelly,5,20,12,16.33,0.0,0.0,0.33,67,33,0,0,0
Jake Stringer,6,12,9,10.67,1.33,1.0,0.67,0,0,0,100,33
Jayden Laverde,5,17,10,13.0,0.0,0.0,0.33,33,0,0,0,0
Jordan Ridley,17,29,16,21.0,0.0,0.0,0.67,100,33,33,0,0
Jye Caldwell,6,26,23,24.33,0.33,0.33,1.0,100,100,33,33,0
Jye Menzie,5,7,4,5.0,0.0,0.67,0.0,0,0,0,0,0
Kaine Baldwin,4,14,0,7.33,0.0,0.0,0.33,0,0,0,0,0
Kyle Langford,6,13,9,11.33,1.67,1.33,2.0,0,0,0,67,67
Mason Redman,5,21,15,19.0,0.0,0.33,0.67,100,67,0,0,0
Matt Guelfi,1,12,12,12.0,2.0,0.0,1.0,0,0,0,100,100
Nic Martin,6,35,25,29.33,0.67,0.33,0.33,100,100,100,67,0
Nick Bryan,8,11,7,8.67,0.0,0.0,0.67,0,0,0,0,0
Nick Hind,5,11,5,7.0,0.0,0.67,0.33,0,0,0,0,0
Nik Cox,6,16,13,15.0,0.0,0.0,0.33,67,0,0,0,0
Peter Wright,2,9,8,8.5,2.0,0.0,0.0,0,0,0,100,100
Sam Draper,5,9,5,7.33,0.0,1.0,0.67,0,0,0,0,0
Sam Durham,5,22,11,18.0,0.33,0.0,1.0,67,67,0,33,0
Sam Weideman,16,10,6,7.67,0.67,0.0,0.33,0,0,0,33,33
Todd Goldstein,6,12,8,9.67,0.33,0.0,2.33,0,0,0,33,0
Will Setterfield,3,29,19,24.0,0.0,0.33,1.0,100,67,33,0,0
Xavier Duursma,6,26,13,19.67,0.67,0.0,1.67,67,67,33,33,33
Zach Reid,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0
Zach Merrett,6,36,27,30.33,0.33,0.67,1.67,100,100,100,33,0
