Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Cadman,6,12,6,9.33,1.67,0.67,0.5,0,0,0,100,50
Brent Daniels,6,22,13,17.67,1.33,1.17,1.0,83,33,0,67,33
Callan Ward,2,13,8,10.5,0.0,0.0,0.5,0,0,0,0,0
Callum M. Brown,6,15,5,8.67,1.67,0.67,0.33,17,0,0,50,50
Connor Idun,6,28,13,18.67,0.0,0.17,0.17,67,33,17,0,0
Finn Callaghan,5,24,16,20.4,0.2,0.0,0.4,100,60,0,20,0
Harry Himmelberg,6,26,16,20.83,0.0,0.0,0.83,100,67,17,0,0
Harry Perryman,5,20,15,17.6,0.0,0.0,1.2,100,20,0,0,0
Harvey Thomas,6,21,6,12.33,0.33,0.5,0.33,33,17,0,33,0
Jack Buckley,6,17,8,14.83,0.17,0.0,1.0,83,0,0,17,0
Jacob Wehr,6,20,11,15.17,0.0,0.33,0.5,50,17,0,0,0
Jake Riccardi,6,19,4,9.83,1.67,0.67,0.5,17,0,0,83,50
James Peatling,4,14,3,8.0,0.5,0.0,0.5,0,0,0,50,0
Jesse Hogan,6,18,10,13.67,3.5,1.17,1.17,33,0,0,100,100
Josh Kelly,6,32,21,25.83,1.5,0.33,0.5,100,100,50,83,50
Kieren Briggs,6,21,8,14.5,0.0,0.5,0.83,50,17,0,0,0
Lachie Whitfield,6,36,29,31.67,0.0,0.17,0.5,100,100,100,0,0
Lachie Ash,6,26,6,19.83,0.0,0.17,0.33,83,67,33,0,0
Leek Aleer,1,5,5,5.0,0.0,0.0,0.0,0,0,0,0,0
Nick Haynes,2,23,6,14.5,0.0,0.0,0.0,50,50,0,0,0
Sam Taylor,5,17,2,11.4,0.0,0.0,1.0,40,0,0,0,0
Stephen Coniglio,5,31,20,27.2,0.6,0.0,1.2,100,100,80,40,20
Toby Bedford,6,13,5,9.67,0.83,0.33,1.0,0,0,0,50,33
Toby Greene,6,21,15,17.17,1.5,1.33,0.83,100,17,0,67,33
Toby McMullin,1,11,11,11.0,0.0,0.0,0.0,0,0,0,0,0
Tom Green,6,37,23,29.67,0.5,0.17,0.33,100,100,67,50,0
Xavier O'Halloran,6,16,6,12.83,0.17,0.17,0.0,50,0,0,17,0
