Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Noah Anderson,9,12/05/2023,Eagles,Win 113-43,27,0,1
2022,Noah Anderson,20,31/07/2022,Eagles,Win 107-104,29,1,0
2022,Noah Anderson,1,20/03/2022,Eagles,Win 107-80,23,0,0
2021,Noah Anderson,1,21/03/2021,Eagles,Loss 58-83,19,0,0
2022,Touk Miller,20,31/07/2022,Eagles,Win 107-104,31,0,1
2022,Touk Miller,1,20/03/2022,Eagles,Win 107-80,29,1,0
2021,Touk Miller,1,21/03/2021,Eagles,Loss 58-83,20,1,1
2023,Matt Rowell,9,12/05/2023,Eagles,Win 113-43,29,1,0
2022,Matt Rowell,20,31/07/2022,Eagles,Win 107-104,19,0,0
2022,Matt Rowell,1,20/03/2022,Eagles,Win 107-80,33,0,1
2021,Matt Rowell,1,21/03/2021,Eagles,Loss 58-83,4,0,0
2023,Jarrod Witts,9,12/05/2023,Eagles,Win 113-43,15,0,0
2022,Jarrod Witts,20,31/07/2022,Eagles,Win 107-104,10,0,1
2022,Jarrod Witts,1,20/03/2022,Eagles,Win 107-80,15,1,1
2021,Jarrod Witts,1,21/03/2021,Eagles,Loss 58-83,12,0,0
2022,Lachie Weller,1,20/03/2022,Eagles,Win 107-80,20,0,0
2021,Lachie Weller,1,21/03/2021,Eagles,Loss 58-83,21,1,0
2023,Wil Powell,9,12/05/2023,Eagles,Win 113-43,20,0,0
2022,Wil Powell,1,20/03/2022,Eagles,Win 107-80,16,0,0
2021,Wil Powell,1,21/03/2021,Eagles,Loss 58-83,18,0,0
2023,Darcy Macpherson,9,12/05/2023,Eagles,Win 113-43,14,0,0
2022,Darcy Macpherson,20,31/07/2022,Eagles,Win 107-104,16,0,1
2022,Darcy Macpherson,1,20/03/2022,Eagles,Win 107-80,14,0,0
2021,Darcy Macpherson,1,21/03/2021,Eagles,Loss 58-83,17,0,0
2023,Brandon Ellis,9,12/05/2023,Eagles,Win 113-43,12,0,0
2022,Brandon Ellis,1,20/03/2022,Eagles,Win 107-80,19,0,1
2021,Brandon Ellis,1,21/03/2021,Eagles,Loss 58-83,19,0,0
2023,Rory Atkins,9,12/05/2023,Eagles,Win 113-43,18,0,0
2022,Rory Atkins,20,31/07/2022,Eagles,Win 107-104,17,0,0
2022,Ben Ainsworth,20,31/07/2022,Eagles,Win 107-104,12,1,1
2022,Ben Ainsworth,1,20/03/2022,Eagles,Win 107-80,18,2,0
2021,Connor Budarick,1,21/03/2021,Eagles,Loss 58-83,12,0,0
2023,David Swallow,9,12/05/2023,Eagles,Win 113-43,20,2,0
2022,David Swallow,20,31/07/2022,Eagles,Win 107-104,22,0,0
2022,David Swallow,1,20/03/2022,Eagles,Win 107-80,14,0,0
2021,David Swallow,1,21/03/2021,Eagles,Loss 58-83,29,1,1
2023,Jack Lukosius,9,12/05/2023,Eagles,Win 113-43,10,2,1
2022,Jack Lukosius,20,31/07/2022,Eagles,Win 107-104,13,0,2
2022,Jack Lukosius,1,20/03/2022,Eagles,Win 107-80,12,1,2
2021,Jack Lukosius,1,21/03/2021,Eagles,Loss 58-83,23,0,2
2023,Brayden Fiorini,9,12/05/2023,Eagles,Win 113-43,17,0,0
2022,Brayden Fiorini,1,20/03/2022,Eagles,Win 107-80,24,0,0
2023,Charlie Ballard,9,12/05/2023,Eagles,Win 113-43,15,0,0
2022,Charlie Ballard,1,20/03/2022,Eagles,Win 107-80,13,0,0
2021,Charlie Ballard,1,21/03/2021,Eagles,Loss 58-83,21,0,0
2022,Nick Holman,20,31/07/2022,Eagles,Win 107-104,7,1,1
2022,Nick Holman,1,20/03/2022,Eagles,Win 107-80,14,1,1
2021,Nick Holman,1,21/03/2021,Eagles,Loss 58-83,9,1,0
2022,Levi Casboult,20,31/07/2022,Eagles,Win 107-104,6,1,2
2022,Levi Casboult,1,20/03/2022,Eagles,Win 107-80,7,2,1
2023,Alex Davies,9,12/05/2023,Eagles,Win 113-43,19,0,1
2022,Alex Davies,1,20/03/2022,Eagles,Win 107-80,12,1,0
2023,Sam Collins,9,12/05/2023,Eagles,Win 113-43,8,0,0
2022,Sam Collins,20,31/07/2022,Eagles,Win 107-104,11,0,0
2022,Sam Collins,1,20/03/2022,Eagles,Win 107-80,10,0,0
2021,Sam Collins,1,21/03/2021,Eagles,Loss 58-83,18,0,0
2023,Bailey Humphrey,9,12/05/2023,Eagles,Win 113-43,20,1,1
2023,Mac Andrew,9,12/05/2023,Eagles,Win 113-43,7,0,0
2022,Mac Andrew,20,31/07/2022,Eagles,Win 107-104,9,0,0
2022,Jack Mahony,2,27/03/2022,Eagles,Win 74-59,17,1,1
2021,Jack Mahony,17,12/07/2021,Eagles,Win 70-60,6,0,0
2023,Ben King,9,12/05/2023,Eagles,Win 113-43,15,4,3
2021,Ben King,1,21/03/2021,Eagles,Loss 58-83,12,3,1
2023,Malcolm Rosas,9,12/05/2023,Eagles,Win 113-43,13,1,3
2022,Malcolm Rosas,20,31/07/2022,Eagles,Win 107-104,9,2,0
2022,Ben Long,19,24/07/2022,Eagles,Win 90-62,5,1,0
