Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Braeden Campbell,6,17,1,11.2,0.0,0.2,0.6,40,0,0,0,0
Brodie Grundy,6,24,8,18.8,0.2,0.2,2.6,80,60,0,20,0
Caleb Mitchell,2,10,0,5.0,0.0,0.0,0.0,0,0,0,0,0
Chad Warner,6,28,19,23.6,1.4,0.6,0.8,100,80,40,80,40
Corey Warner,2,11,5,8.0,0.0,2.0,0.5,0,0,0,0,0
Dane Rampe,4,19,3,11.25,0.0,0.0,0.25,25,0,0,0,0
Errol Gulden,6,30,24,26.8,1.0,0.8,1.2,100,100,80,60,40
Harry Cunningham,5,18,0,11.4,0.0,0.0,0.0,60,0,0,0,0
Hayden McLean,6,15,8,12.0,0.8,0.8,0.8,20,0,0,60,20
Isaac Heeney,6,32,26,28.4,1.6,0.6,1.8,100,100,100,100,60
Jake Lloyd,6,32,13,19.6,0.0,0.2,0.2,80,40,20,0,0
James Jordon,6,19,12,16.4,0.4,0.0,0.2,80,0,0,40,0
James Rowbottom,6,19,10,16.6,0.2,0.2,1.2,80,0,0,20,0
Joel Amartey,6,10,5,7.0,2.2,0.8,0.8,0,0,0,100,80
Justin McInerney,6,26,21,22.2,0.2,0.4,1.6,100,100,20,20,0
Lewis Melican,6,11,6,8.8,0.0,0.0,0.6,0,0,0,0,0
Logan McDonald,6,15,5,10.0,2.4,1.2,0.4,20,0,0,100,80
Matt Roberts,6,27,15,20.2,0.2,0.2,0.4,100,40,20,20,0
Nick Blakey,6,25,18,21.4,0.4,0.2,0.4,100,60,20,40,0
Oliver Florent,6,25,19,20.8,0.0,0.4,0.8,100,60,20,0,0
Robbie Fox,5,16,9,12.2,0.6,0.4,1.0,20,0,0,60,0
Sam Wicks,4,11,2,6.5,1.0,0.25,0.25,0,0,0,75,25
Taylor Adams,2,18,17,17.5,0.5,0.5,1.0,100,0,0,50,0
Tom McCartin,6,15,9,12.4,0.0,0.0,0.8,20,0,0,0,0
Tom Papley,6,24,10,16.4,1.8,1.4,1.0,60,20,0,80,40
Will Hayward,6,18,8,11.2,1.4,0.8,0.6,20,0,0,60,60
