Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ben Keays,6,20,9,13.67,1.5,0.33,0.33,33,17,0,83,50
Brayden Cook,3,9,6,7.67,0.33,0.33,0.0,0,0,0,33,0
Brodie Smith,6,27,14,20.67,0.0,0.17,1.33,83,67,17,0,0
Chayce Jones,6,20,12,15.67,0.17,0.0,1.0,67,17,0,17,0
Chris Burgess,4,10,4,8.0,0.75,1.0,0.5,0,0,0,50,25
Darcy Fogarty,6,12,6,9.5,0.83,1.0,0.83,0,0,0,50,33
Ned McHenry,5,13,8,10.2,0.4,0.2,0.8,0,0,0,40,0
Elliott Himmelberg,3,12,5,8.67,0.33,0.0,0.67,0,0,0,33,0
Harry Schoenberg,11,23,5,13.55,0.18,0.36,0.55,45,18,0,18,0
Izak Rankine,6,23,12,17.33,1.5,0.67,0.5,83,17,0,83,50
Jake Soligo,6,31,8,21.5,0.33,0.17,2.0,83,67,50,33,0
James Borlase,3,14,10,12.0,0.0,0.0,1.67,0,0,0,0,0
Jordan Dawson,6,31,12,24.17,0.67,0.17,1.0,83,83,67,50,17
Jordon Butts,4,17,6,11.0,0.0,0.0,0.5,25,0,0,0,0
Josh Rachele,6,20,13,16.0,1.33,0.67,0.83,67,17,0,83,33
Josh Worrell,6,22,12,17.83,0.0,0.0,1.17,83,33,0,0,0
Lachlan Gollant,3,7,3,5.0,0.33,0.0,0.33,0,0,0,33,0
Lachlan Murphy,3,11,4,8.0,0.0,0.0,1.33,0,0,0,0,0
Lachlan Sholl,3,21,9,16.0,0.33,0.0,0.0,67,33,0,33,0
Luke Nankervis,3,18,17,17.33,0.0,0.0,0.33,100,0,0,0,0
Luke Pedlar,3,10,4,7.33,0.0,0.67,0.0,0,0,0,0,0
Mark Keane,5,26,12,18.4,0.0,0.0,1.0,60,40,20,0,0
Matt Crouch,5,37,27,31.0,0.0,0.2,1.8,100,100,100,0,0
Max Michalanney,6,17,9,14.17,0.0,0.0,0.83,67,0,0,0,0
Mitchell Hinge,6,26,19,22.67,0.0,0.0,0.67,100,67,33,0,0
Nick Murray,17,16,2,9.76,0.0,0.06,0.24,18,0,0,0,0
Patrick Parnell,1,10,10,10.0,0.0,0.0,0.0,0,0,0,0,0
Reilly O'Brien,6,18,7,11.17,0.17,0.0,0.67,17,0,0,17,0
Riley Thilthorpe,21,18,3,10.62,0.86,0.43,0.76,24,0,0,52,19
Rory Laird,6,30,22,25.5,0.17,0.5,1.0,100,100,50,17,0
Rory Sloane,22,30,9,18.14,0.27,0.09,0.86,73,27,14,23,5
Sam Berry,5,13,7,9.6,0.4,0.0,1.8,0,0,0,40,0
Taylor Walker,5,15,7,12.4,1.6,1.0,0.6,20,0,0,80,40
Wayne Milera,3,19,13,15.33,0.0,0.0,0.33,33,0,0,0,0
Will Hamill,2,10,10,10.0,0.0,0.0,1.0,0,0,0,0,0
