Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aidan Corr,6,16,14,15.0,0.0,0.0,0.67,67,0,0,0,0
Bailey Scott,6,27,21,23.0,0.0,0.0,0.0,100,100,33,0,0
Bigoa Nyuon,2,19,11,15.0,0.0,0.0,1.0,50,0,0,0,0
Blake Drury,2,17,9,13.0,1.5,0.0,0.5,50,0,0,100,50
Callum Coleman-Jones,3,9,3,6.0,0.0,0.0,1.0,0,0,0,0,0
Cameron Zurhaar,5,19,11,14.33,0.33,1.33,1.67,33,0,0,33,0
Charlie Comben,3,25,8,15.67,0.0,0.0,1.67,33,33,33,0,0
Charlie Lazzaro,5,16,11,14.33,0.33,0.0,0.33,67,0,0,33,0
Colby McKercher,6,17,1,10.33,0.0,0.0,0.0,33,0,0,0,0
Cooper Harvey,3,13,5,9.33,0.33,0.0,0.33,0,0,0,33,0
Curtis Taylor,16,16,8,12.0,0.67,0.33,0.33,33,0,0,67,0
Darcy Tucker,6,21,17,19.0,0.33,0.0,0.33,100,33,0,33,0
Dylan Stephens,6,18,5,12.0,0.0,0.0,0.0,33,0,0,0,0
Eddie Ford,6,20,5,12.33,1.67,0.0,0.0,33,33,0,100,33
George Wardlaw,5,17,11,14.67,0.33,0.0,1.33,67,0,0,33,0
Griffin Logue,15,16,1,9.67,0.0,0.0,0.33,33,0,0,0,0
Harry Sheezel,6,38,26,33.0,0.33,0.0,0.67,100,100,100,33,0
Hugh Greenwood,2,12,5,8.5,0.5,0.5,0.5,0,0,0,50,0
Jackson Archer,5,11,4,7.67,0.0,0.0,0.33,0,0,0,0,0
Jaidyn Stephenson,4,11,9,10.0,0.33,0.0,0.0,0,0,0,33,0
Josh Goater,1,10,10,10.0,0.0,0.0,1.0,0,0,0,0,0
Jy Simpkin,5,19,16,17.33,0.33,0.0,1.0,100,0,0,33,0
Kallan Dawson,4,13,8,11.0,0.0,0.0,0.67,0,0,0,0,0
Liam Shiels,2,12,4,8.0,0.5,0.0,0.0,0,0,0,50,0
Luke Davies-Uniacke,6,27,23,25.0,0.33,0.0,1.0,100,100,67,33,0
Luke McDonald,5,21,10,15.0,0.0,0.0,1.0,33,33,0,0,0
Miller Bergman,12,14,5,10.33,0.0,0.0,0.33,0,0,0,0,0
Nick Larkey,6,11,6,8.0,2.0,0.67,1.0,0,0,0,100,67
Paul Curtis,6,15,5,10.0,1.67,1.67,1.67,33,0,0,100,33
Tarryn Thomas,12,25,22,23.0,0.67,1.0,1.33,100,100,33,33,33
Toby Pink,3,10,5,8.33,0.0,0.0,0.67,0,0,0,0,0
Tom Powell,6,26,14,20.0,0.0,0.33,0.33,67,67,33,0,0
Tristan Xerri,6,18,9,13.33,0.33,0.0,2.0,33,0,0,33,0
Will Phillips,1,14,14,14.0,0.0,0.0,0.0,0,0,0,0,0
Zac Fisher,6,22,14,19.33,0.0,0.33,0.67,67,67,0,0,0
Zane Duursma,6,12,7,9.67,0.33,0.67,1.0,0,0,0,33,0
